trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-line,100,50,2798,NA
2,prasle-line,100,50,2799,NA
3,prasle-line,100,50,2836,NA
4,prasle-line,100,50,2887,NA
5,prasle-line,100,50,2765,NA
6,prasle-line,100,50,2901,NA
7,prasle-line,100,50,2941,NA
8,prasle-line,100,50,2862,NA
9,prasle-line,100,50,2805,NA
10,prasle-line,100,50,2888,NA
11,prasle-line,100,50,2892,NA
12,prasle-line,100,50,2773,NA
13,prasle-line,100,50,2849,NA
14,prasle-line,100,50,2750,NA
15,prasle-line,100,50,2756,NA
16,prasle-line,100,50,2818,NA
17,prasle-line,100,50,2802,NA
18,prasle-line,100,50,2820,NA
19,prasle-line,100,50,2873,NA
20,prasle-line,100,50,2743,NA
21,prasle-line,100,50,2817,NA
22,prasle-line,100,50,2804,NA
23,prasle-line,100,50,2809,NA
24,prasle-line,100,50,2867,NA
25,prasle-line,100,50,2793,NA
26,prasle-line,100,50,2752,NA
27,prasle-line,100,50,2751,NA
28,prasle-line,100,50,2847,NA
29,prasle-line,100,50,2794,NA
30,prasle-line,100,50,2842,NA
31,prasle-line,100,50,2915,NA
32,prasle-line,100,50,2777,NA
33,prasle-line,100,50,2875,NA
34,prasle-line,100,50,2822,NA
35,prasle-line,100,50,2894,NA
36,prasle-line,100,50,2845,NA
37,prasle-line,100,50,2849,NA
38,prasle-line,100,50,2721,NA
39,prasle-line,100,50,2766,NA
40,prasle-line,100,50,2826,NA
41,prasle-line,100,50,2832,NA
42,prasle-line,100,50,2865,NA
43,prasle-line,100,50,2826,NA
44,prasle-line,100,50,2830,NA
45,prasle-line,100,50,2709,NA
46,prasle-line,100,50,2852,NA
47,prasle-line,100,50,2903,NA
48,prasle-line,100,50,2811,NA
49,prasle-line,100,50,2738,NA
50,prasle-line,100,50,2817,NA
51,prasle-line,100,50,2865,NA
52,prasle-line,100,50,2958,NA
53,prasle-line,100,50,2797,NA
54,prasle-line,100,50,2780,NA
55,prasle-line,100,50,2840,NA
56,prasle-line,100,50,2802,NA
57,prasle-line,100,50,2759,NA
58,prasle-line,100,50,2826,NA
59,prasle-line,100,50,2752,NA
60,prasle-line,100,50,2821,NA
61,prasle-line,100,50,2814,NA
62,prasle-line,100,50,2780,NA
63,prasle-line,100,50,2831,NA
64,prasle-line,100,50,2832,NA
65,prasle-line,100,50,2853,NA
66,prasle-line,100,50,2740,NA
67,prasle-line,100,50,2783,NA
68,prasle-line,100,50,2779,NA
69,prasle-line,100,50,2795,NA
70,prasle-line,100,50,2856,NA
71,prasle-line,100,50,2794,NA
72,prasle-line,100,50,2729,NA
73,prasle-line,100,50,2897,NA
74,prasle-line,100,50,2706,NA
75,prasle-line,100,50,2824,NA
76,prasle-line,100,50,2800,NA
77,prasle-line,100,50,2764,NA
78,prasle-line,100,50,2777,NA
79,prasle-line,100,50,2856,NA
80,prasle-line,100,50,2821,NA
81,prasle-line,100,50,2916,NA
82,prasle-line,100,50,2791,NA
83,prasle-line,100,50,2740,NA
84,prasle-line,100,50,2800,NA
85,prasle-line,100,50,2844,NA
86,prasle-line,100,50,2776,NA
87,prasle-line,100,50,2833,NA
88,prasle-line,100,50,2766,NA
89,prasle-line,100,50,2924,NA
90,prasle-line,100,50,2824,NA
91,prasle-line,100,50,2808,NA
92,prasle-line,100,50,2873,NA
93,prasle-line,100,50,2879,NA
94,prasle-line,100,50,2846,NA
95,prasle-line,100,50,2748,NA
96,prasle-line,100,50,2816,NA
97,prasle-line,100,50,2849,NA
98,prasle-line,100,50,2840,NA
99,prasle-line,100,50,2790,NA
100,prasle-line,100,50,2778,NA
