trial,algorithm,node_count,convergence_time_ms
1,prasle-mesh,100,2810
2,prasle-mesh,100,2918
7,prasle-mesh,100,2780
4,prasle-mesh,100,2927
8,prasle-mesh,100,2774
10,prasle-mesh,100,2819
5,prasle-mesh,100,2787
3,prasle-mesh,100,2777
6,prasle-mesh,100,2827
9,prasle-mesh,100,2773
13,prasle-mesh,100,2843
11,prasle-mesh,100,2880
14,prasle-mesh,100,2948
12,prasle-mesh,100,2715
15,prasle-mesh,100,2820
16,prasle-mesh,100,2751
18,prasle-mesh,100,2796
21,prasle-mesh,100,2959
20,prasle-mesh,100,2804
17,prasle-mesh,100,2787
19,prasle-mesh,100,2732
22,prasle-mesh,100,2743
25,prasle-mesh,100,2849
24,prasle-mesh,100,2914
26,prasle-mesh,100,2879
23,prasle-mesh,100,2763
27,prasle-mesh,100,2783
28,prasle-mesh,100,2828
29,prasle-mesh,100,2779
30,prasle-mesh,100,2843
33,prasle-mesh,100,2884
35,prasle-mesh,100,2773
34,prasle-mesh,100,2786
32,prasle-mesh,100,2820
31,prasle-mesh,100,2757
37,prasle-mesh,100,2806
36,prasle-mesh,100,2819
38,prasle-mesh,100,2800
40,prasle-mesh,100,2848
39,prasle-mesh,100,2796
42,prasle-mesh,100,2807
41,prasle-mesh,100,2905
43,prasle-mesh,100,2829
48,prasle-mesh,100,2797
44,prasle-mesh,100,2850
46,prasle-mesh,100,2768
47,prasle-mesh,100,2856
52,prasle-mesh,100,2786
45,prasle-mesh,100,2987
53,prasle-mesh,100,2854
49,prasle-mesh,100,2762
50,prasle-mesh,100,2873
51,prasle-mesh,100,2886
54,prasle-mesh,100,2728
55,prasle-mesh,100,2859
56,prasle-mesh,100,2814
59,prasle-mesh,100,2814
58,prasle-mesh,100,2834
57,prasle-mesh,100,2893
64,prasle-mesh,100,2934
60,prasle-mesh,100,2884
66,prasle-mesh,100,2887
63,prasle-mesh,100,2808
61,prasle-mesh,100,2793
62,prasle-mesh,100,2806
67,prasle-mesh,100,2739
65,prasle-mesh,100,2844
69,prasle-mesh,100,2793
70,prasle-mesh,100,2749
68,prasle-mesh,100,2922
71,prasle-mesh,100,2748
73,prasle-mesh,100,2806
74,prasle-mesh,100,2789
72,prasle-mesh,100,2761
79,prasle-mesh,100,2954
77,prasle-mesh,100,2884
78,prasle-mesh,100,2812
76,prasle-mesh,100,2819
80,prasle-mesh,100,2846
75,prasle-mesh,100,2811
81,prasle-mesh,100,2832
82,prasle-mesh,100,2964
83,prasle-mesh,100,2863
84,prasle-mesh,100,2864
86,prasle-mesh,100,2864
85,prasle-mesh,100,2785
87,prasle-mesh,100,2783
88,prasle-mesh,100,2796
89,prasle-mesh,100,2787
90,prasle-mesh,100,2854
92,prasle-mesh,100,2932
91,prasle-mesh,100,2783
94,prasle-mesh,100,2991
93,prasle-mesh,100,2833
95,prasle-mesh,100,2787
97,prasle-mesh,100,2833
98,prasle-mesh,100,2892
96,prasle-mesh,100,2810
99,prasle-mesh,100,2753
100,prasle-mesh,100,2738
