timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
2779,4,adaptive-prasle,2779,1,1,2779,3,4,18,24,1,1,0,2779,0,2,0,0,0,NORMAL,0,3,1,1,3,6
2916,1,adaptive-prasle,2916,1,1,2916,3,5,18,30,1,1,0,2916,0,2,0,0,0,LEADER,1,3,1,1,1,6
2894,2,adaptive-prasle,2894,1,1,2894,3,7,18,42,1,1,0,2894,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3222,5,adaptive-prasle,3222,1,1,3222,3,8,18,48,1,1,0,3222,0,2,0,0,0,NORMAL,0,3,1,1,3,6
3337,3,adaptive-prasle,3337,1,1,3337,3,4,18,24,1,1,0,3337,0,2,0,0,0,NORMAL,0,3,1,1,2,6
5082,4,adaptive-prasle,2779,1,1,2779,6,10,36,60,1,1,2303,2779,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5219,1,adaptive-prasle,2916,1,1,2916,6,10,36,60,1,1,2303,2916,0,2,0,0,0,LEADER,1,3,1,1,1,12
5197,2,adaptive-prasle,2894,1,1,2894,6,16,36,96,1,1,2303,2894,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5525,5,adaptive-prasle,3222,1,1,3222,6,14,36,84,1,1,2303,3222,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5640,3,adaptive-prasle,3337,1,1,3337,6,7,36,42,1,1,2303,3337,0,2,0,0,0,NORMAL,0,3,1,1,2,12
7385,4,adaptive-prasle,2779,1,1,2779,9,16,54,96,1,1,4606,2779,0,2,0,0,0,NORMAL,0,3,1,1,3,18
7522,1,adaptive-prasle,2916,1,1,2916,9,16,54,96,1,1,4606,2916,0,2,0,0,0,LEADER,1,3,1,1,1,18
7500,2,adaptive-prasle,2894,1,1,2894,9,25,54,150,1,1,4606,2894,0,2,0,0,0,NORMAL,0,3,1,1,2,18
7828,5,adaptive-prasle,3222,1,1,3222,9,20,54,120,1,1,4606,3222,0,2,0,0,0,NORMAL,0,3,1,1,3,18
7943,3,adaptive-prasle,3337,1,1,3337,9,10,54,60,1,1,4606,3337,0,2,0,0,0,NORMAL,0,3,1,1,2,18
9688,4,adaptive-prasle,2779,1,2,12467,12,22,72,132,1,1,6909,2779,0,3,0,0,0,NORMAL,0,3,1,1,5,24
9825,1,adaptive-prasle,2916,1,2,12741,12,23,72,138,1,1,6909,2916,0,3,0,0,0,LEADER,1,3,1,1,2,24
9803,2,adaptive-prasle,2894,1,2,12697,12,34,72,204,1,1,6909,2894,0,3,0,0,0,NORMAL,0,3,1,1,4,24
10131,5,adaptive-prasle,3222,1,2,13353,12,26,72,156,1,1,6909,3222,0,3,0,0,0,NORMAL,0,3,1,1,6,24
10246,3,adaptive-prasle,3337,1,2,13583,12,13,72,78,1,1,6909,3337,0,3,0,0,0,NORMAL,0,3,1,1,5,24
11991,4,adaptive-prasle,2779,1,2,12467,15,28,90,168,1,1,9212,2779,0,3,0,0,0,NORMAL,0,3,1,1,5,30
12128,1,adaptive-prasle,2916,1,2,12741,15,29,90,174,1,1,9212,2916,0,3,0,0,0,LEADER,1,3,1,1,2,30
12105,2,adaptive-prasle,2894,1,2,12697,15,42,90,252,1,1,9211,2894,0,3,0,0,0,NORMAL,0,3,1,1,4,30
12434,5,adaptive-prasle,3222,1,2,13353,15,32,90,192,1,1,9212,3222,0,3,0,0,0,NORMAL,0,3,1,1,6,30
12549,3,adaptive-prasle,3337,1,2,13583,15,16,90,96,1,1,9212,3337,0,3,0,0,0,NORMAL,0,3,1,1,5,30
14294,4,adaptive-prasle,2779,1,2,12467,18,34,108,204,1,1,11515,2779,0,3,0,0,0,NORMAL,0,3,1,1,5,36
14431,1,adaptive-prasle,2916,1,2,12741,18,34,108,204,1,1,11515,2916,0,3,0,0,0,LEADER,1,3,1,1,2,36
14408,2,adaptive-prasle,2894,1,2,12697,18,51,108,306,1,1,11514,2894,0,3,0,0,0,NORMAL,0,3,1,1,4,36
14737,5,adaptive-prasle,3222,1,2,13353,18,38,108,228,1,1,11515,3222,0,3,0,0,0,NORMAL,0,3,1,1,6,36
14852,3,adaptive-prasle,3337,1,2,13583,18,19,108,114,1,1,11515,3337,0,3,0,0,0,NORMAL,0,3,1,1,5,36
16597,4,adaptive-prasle,2779,1,3,29064,21,40,126,240,1,1,13818,2779,0,4,0,0,0,NORMAL,0,3,1,1,7,42
16734,1,adaptive-prasle,2916,1,3,29475,21,40,126,240,1,1,13818,2916,0,4,0,0,0,LEADER,1,3,1,1,3,42
16711,2,adaptive-prasle,2894,1,3,29408,21,61,126,366,1,1,13817,2894,0,4,0,0,0,NORMAL,0,3,1,1,6,42
17040,5,adaptive-prasle,3222,1,3,30393,21,44,126,264,1,1,13818,3222,0,4,0,0,0,NORMAL,0,3,1,1,9,42
