trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-mesh,50,75,2848,76661,1661
2,prasle-mesh,50,75,2850,76647,1647
3,prasle-mesh,50,75,2891,76587,1587
4,prasle-mesh,50,75,2815,76821,1821
5,prasle-mesh,50,75,2877,76573,1573
6,prasle-mesh,50,75,2817,76744,1744
7,prasle-mesh,50,75,2848,76544,1544
8,prasle-mesh,50,75,2919,76615,1615
9,prasle-mesh,50,75,2831,76811,1811
10,prasle-mesh,50,75,2943,76639,1639
11,prasle-mesh,50,75,3043,76927,1927
12,prasle-mesh,50,75,2912,76608,1608
13,prasle-mesh,50,75,2718,76411,1411
14,prasle-mesh,50,75,3009,76758,1758
15,prasle-mesh,50,75,2768,76904,1904
16,prasle-mesh,50,75,3042,76809,1809
17,prasle-mesh,50,75,2940,76823,1823
18,prasle-mesh,50,75,2723,76419,1419
19,prasle-mesh,50,75,2837,76761,1761
20,prasle-mesh,50,75,2869,76621,1621
21,prasle-mesh,50,75,3020,76733,1733
22,prasle-mesh,50,75,2833,76529,1529
23,prasle-mesh,50,75,3007,76792,1792
24,prasle-mesh,50,75,2785,76481,1481
25,prasle-mesh,50,75,2826,76842,1842
26,prasle-mesh,50,75,2871,76566,1566
27,prasle-mesh,50,75,3018,76711,1711
28,prasle-mesh,50,75,2962,76884,1884
29,prasle-mesh,50,75,2936,76941,1941
30,prasle-mesh,50,75,2980,76676,1676
31,prasle-mesh,50,75,2834,76530,1530
32,prasle-mesh,50,75,2816,76897,1897
33,prasle-mesh,50,75,3078,76989,1989
34,prasle-mesh,50,75,2985,76864,1864
35,prasle-mesh,50,75,2827,76674,1674
36,prasle-mesh,50,75,2868,76843,1843
37,prasle-mesh,50,75,2877,76813,1813
38,prasle-mesh,50,75,2881,76577,1577
39,prasle-mesh,50,75,2941,76704,1704
40,prasle-mesh,50,75,2876,76778,1778
41,prasle-mesh,50,75,2996,76692,1692
42,prasle-mesh,50,75,2817,76755,1755
43,prasle-mesh,50,75,2857,76553,1553
44,prasle-mesh,50,75,2979,76740,1740
45,prasle-mesh,50,75,2761,76637,1637
46,prasle-mesh,50,75,2823,76600,1600
47,prasle-mesh,50,75,2806,76691,1691
48,prasle-mesh,50,75,3006,76891,1891
49,prasle-mesh,50,75,2989,76962,1962
50,prasle-mesh,50,75,2744,76568,1568
51,prasle-mesh,50,75,2946,76642,1642
52,prasle-mesh,50,75,2836,76532,1532
53,prasle-mesh,50,75,2756,76452,1452
54,prasle-mesh,50,75,2801,77059,2059
55,prasle-mesh,50,75,3042,76737,1737
56,prasle-mesh,50,75,2935,76631,1631
57,prasle-mesh,50,75,2819,77011,2011
58,prasle-mesh,50,75,2871,76663,1663
59,prasle-mesh,50,75,2831,76718,1718
60,prasle-mesh,50,75,2723,76881,1881
61,prasle-mesh,50,75,2893,76589,1589
62,prasle-mesh,50,75,2934,76843,1843
63,prasle-mesh,50,75,2927,76683,1683
64,prasle-mesh,50,75,2893,76782,1782
65,prasle-mesh,50,75,2946,76642,1642
66,prasle-mesh,50,75,2955,76651,1651
67,prasle-mesh,50,75,2862,76668,1668
68,prasle-mesh,50,75,2758,76621,1621
69,prasle-mesh,50,75,2854,76633,1633
70,prasle-mesh,50,75,2803,76820,1820
71,prasle-mesh,50,75,2917,77098,2098
72,prasle-mesh,50,75,2847,76592,1592
73,prasle-mesh,50,75,2825,76521,1521
74,prasle-mesh,50,75,2971,76684,1684
75,prasle-mesh,50,75,2914,76612,1612
76,prasle-mesh,50,75,2907,76603,1603
77,prasle-mesh,50,75,3064,76930,1930
78,prasle-mesh,50,75,2953,76967,1967
79,prasle-mesh,50,75,2824,76591,1591
80,prasle-mesh,50,75,2899,76819,1819
81,prasle-mesh,50,75,2861,76618,1618
82,prasle-mesh,50,75,2990,76831,1831
83,prasle-mesh,50,75,2793,76879,1879
84,prasle-mesh,50,75,2834,76738,1738
85,prasle-mesh,50,75,2824,76604,1604
86,prasle-mesh,50,75,2845,76702,1702
87,prasle-mesh,50,75,2807,76503,1503
88,prasle-mesh,50,75,2867,76683,1683
89,prasle-mesh,50,75,2822,76518,1518
90,prasle-mesh,50,75,2834,76755,1755
91,prasle-mesh,50,75,2747,76807,1807
92,prasle-mesh,50,75,2936,76714,1714
93,prasle-mesh,50,75,2793,76663,1663
94,prasle-mesh,50,75,2739,76937,1937
95,prasle-mesh,50,75,2805,76689,1689
96,prasle-mesh,50,75,3004,76808,1808
97,prasle-mesh,50,75,2746,76491,1491
98,prasle-mesh,50,75,2920,76635,1635
99,prasle-mesh,50,75,2985,76771,1771
100,prasle-mesh,50,75,2770,76946,1946
