timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
2965,3,adaptive-prasle,2965,1,1,2965,3,3,18,18,1,2,0,2965,0,2,0,0,0,NORMAL,0,3,1,2,3,6
2714,8,adaptive-prasle,2714,1,1,2714,3,4,18,24,1,6,0,2714,0,2,0,0,0,NORMAL,0,3,1,6,5,6
3135,10,adaptive-prasle,3135,1,1,3135,3,1,18,6,1,1,0,3135,0,2,0,0,0,NORMAL,0,3,1,1,3,6
3271,7,adaptive-prasle,3271,1,1,3271,3,6,18,36,1,5,0,3271,0,2,0,0,0,NORMAL,0,3,1,5,5,6
2829,6,adaptive-prasle,2829,1,1,2829,3,6,18,36,1,3,0,2829,0,2,0,0,0,NORMAL,0,3,1,3,5,6
3692,9,adaptive-prasle,3692,1,1,3692,3,4,18,24,1,6,0,3692,0,2,0,0,0,NORMAL,0,3,1,6,6,6
3386,5,adaptive-prasle,3386,1,1,3386,3,6,18,36,1,3,0,3386,0,2,0,0,0,NORMAL,0,3,1,3,3,6
3408,4,adaptive-prasle,3408,1,1,3408,3,7,18,42,1,1,0,3408,0,2,0,0,0,NORMAL,0,3,1,1,5,6
3523,2,adaptive-prasle,3523,1,1,3523,3,6,18,36,1,1,0,3523,0,2,0,0,0,NORMAL,0,3,1,1,3,6
3544,1,adaptive-prasle,3544,1,1,3544,3,4,18,24,1,1,0,3544,0,2,0,0,0,LEADER,1,3,1,1,1,6
5268,3,adaptive-prasle,2965,1,1,2965,6,9,36,54,1,2,2303,2965,0,2,0,0,0,NORMAL,0,3,1,1,5,12
5017,8,adaptive-prasle,2714,1,1,2714,6,10,36,60,1,6,2303,2714,0,2,0,0,0,NORMAL,0,3,1,3,9,12
5438,10,adaptive-prasle,3135,1,1,3135,6,4,36,24,1,1,2303,3135,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5574,7,adaptive-prasle,3271,1,1,3271,6,12,36,72,1,5,2303,3271,0,2,0,0,0,NORMAL,0,3,1,3,7,12
5132,6,adaptive-prasle,2829,1,1,2829,6,12,36,72,1,3,2303,2829,0,2,0,0,0,NORMAL,0,3,1,1,7,12
5995,9,adaptive-prasle,3692,1,1,3692,6,7,36,42,1,6,2303,3692,0,2,0,0,0,NORMAL,0,3,1,3,10,12
5689,5,adaptive-prasle,3386,1,1,3386,6,12,36,72,1,3,2303,3386,0,2,0,0,0,NORMAL,0,3,1,1,5,12
5711,4,adaptive-prasle,3408,1,1,3408,6,13,36,78,1,1,2303,3408,0,2,0,0,0,NORMAL,0,3,1,1,5,12
5826,2,adaptive-prasle,3523,1,1,3523,6,12,36,72,1,1,2303,3523,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5847,1,adaptive-prasle,3544,1,1,3544,6,7,36,42,1,1,2303,3544,0,2,0,0,0,LEADER,1,3,1,1,1,12
7571,3,adaptive-prasle,2965,1,1,2965,9,15,54,90,1,2,4606,2965,0,2,0,0,0,NORMAL,0,3,1,1,5,18
7320,8,adaptive-prasle,2714,1,1,2714,9,16,54,96,1,6,4606,2714,0,2,0,0,0,NORMAL,0,3,1,1,11,18
7741,10,adaptive-prasle,3135,1,1,3135,9,7,54,42,1,1,4606,3135,0,2,0,0,0,NORMAL,0,3,1,1,3,18
7877,7,adaptive-prasle,3271,1,1,3271,9,18,54,108,1,5,4606,3271,0,2,0,0,0,NORMAL,0,3,1,1,9,18
7435,6,adaptive-prasle,2829,1,1,2829,9,17,54,102,1,3,4606,2829,0,2,0,0,0,NORMAL,0,3,1,1,7,18
8298,9,adaptive-prasle,3692,1,1,3692,9,10,54,60,1,6,4606,3692,0,2,0,0,0,NORMAL,0,3,1,1,12,18
7992,5,adaptive-prasle,3386,1,1,3386,9,18,54,108,1,3,4606,3386,0,2,0,0,0,NORMAL,0,3,1,1,5,18
8014,4,adaptive-prasle,3408,1,1,3408,9,19,54,114,1,1,4606,3408,0,2,0,0,0,NORMAL,0,3,1,1,5,18
8129,2,adaptive-prasle,3523,1,1,3523,9,18,54,108,1,1,4606,3523,0,2,0,0,0,NORMAL,0,3,1,1,3,18
8150,1,adaptive-prasle,3544,1,1,3544,9,10,54,60,1,1,4606,3544,0,2,0,0,0,LEADER,1,3,1,1,1,18
9874,3,adaptive-prasle,2965,1,2,12839,12,21,72,126,2,1,6909,2965,0,3,0,0,0,NORMAL,0,3,1,1,7,24
9623,8,adaptive-prasle,2714,1,2,12337,12,22,72,132,2,1,6909,2714,0,3,0,0,0,NORMAL,0,3,1,1,14,24
10044,10,adaptive-prasle,3135,1,2,13179,12,10,72,60,1,1,6909,3135,0,3,0,0,0,NORMAL,0,3,1,1,5,24
10180,7,adaptive-prasle,3271,1,2,13451,12,24,72,144,2,1,6909,3271,0,3,0,0,0,NORMAL,0,3,1,1,12,24
9738,6,adaptive-prasle,2829,1,2,12567,12,24,72,144,2,1,6909,2829,0,3,0,0,0,NORMAL,0,3,1,1,10,24
10601,9,adaptive-prasle,3692,1,2,14293,12,13,72,78,2,1,6909,3692,0,3,0,0,0,NORMAL,0,3,1,1,15,24
10295,5,adaptive-prasle,3386,1,2,13681,12,24,72,144,2,1,6909,3386,0,3,0,0,0,NORMAL,0,3,1,1,8,24
10317,4,adaptive-prasle,3408,1,2,13725,12,25,72,150,1,1,6909,3408,0,3,0,0,0,NORMAL,0,3,1,1,8,24
