trial,algorithm,node_count,convergence_time_ms
11,prasle-ring,5,3289
13,prasle-ring,5,3169
3,prasle-ring,5,3195
10,prasle-ring,5,3236
2,prasle-ring,5,3436
9,prasle-ring,5,3526
5,prasle-ring,5,3368
14,prasle-ring,5,3334
8,prasle-ring,5,3182
1,prasle-ring,5,3382
7,prasle-ring,5,2957
4,prasle-ring,5,3213
6,prasle-ring,5,3055
12,prasle-ring,5,3529
15,prasle-ring,5,2996
16,prasle-ring,5,3514
19,prasle-ring,5,3217
17,prasle-ring,5,2848
18,prasle-ring,5,3667
20,prasle-ring,5,3210
22,prasle-ring,5,2891
23,prasle-ring,5,3303
21,prasle-ring,5,3291
26,prasle-ring,5,2953
24,prasle-ring,5,3347
28,prasle-ring,5,3023
27,prasle-ring,5,3381
29,prasle-ring,5,3173
30,prasle-ring,5,3489
25,prasle-ring,5,3428
32,prasle-ring,5,2900
33,prasle-ring,5,2945
31,prasle-ring,5,3033
34,prasle-ring,5,3428
37,prasle-ring,5,3042
38,prasle-ring,5,3251
36,prasle-ring,5,3457
35,prasle-ring,5,3571
39,prasle-ring,5,3096
40,prasle-ring,5,3011
41,prasle-ring,5,3490
43,prasle-ring,5,3734
42,prasle-ring,5,3283
45,prasle-ring,5,3002
44,prasle-ring,5,3557
46,prasle-ring,5,3065
49,prasle-ring,5,3089
47,prasle-ring,5,3671
50,prasle-ring,5,2960
53,prasle-ring,5,3204
51,prasle-ring,5,2838
48,prasle-ring,5,2953
52,prasle-ring,5,3228
54,prasle-ring,5,3903
55,prasle-ring,5,2832
56,prasle-ring,5,3558
57,prasle-ring,5,3004
58,prasle-ring,5,3125
59,prasle-ring,5,3033
60,prasle-ring,5,3496
62,prasle-ring,5,3343
61,prasle-ring,5,2775
65,prasle-ring,5,3259
66,prasle-ring,5,3452
67,prasle-ring,5,3039
64,prasle-ring,5,3211
63,prasle-ring,5,3190
68,prasle-ring,5,2771
70,prasle-ring,5,3558
71,prasle-ring,5,3056
69,prasle-ring,5,3123
72,prasle-ring,5,3479
73,prasle-ring,5,3571
74,prasle-ring,5,3067
75,prasle-ring,5,2756
79,prasle-ring,5,3305
76,prasle-ring,5,3326
77,prasle-ring,5,3317
78,prasle-ring,5,3233
85,prasle-ring,5,3211
81,prasle-ring,5,3519
80,prasle-ring,5,2824
82,prasle-ring,5,2984
83,prasle-ring,5,3355
87,prasle-ring,5,2907
84,prasle-ring,5,3323
86,prasle-ring,5,3101
89,prasle-ring,5,2950
88,prasle-ring,5,2975
92,prasle-ring,5,2985
93,prasle-ring,5,3085
90,prasle-ring,5,3009
91,prasle-ring,5,3008
94,prasle-ring,5,3469
97,prasle-ring,5,3181
98,prasle-ring,5,3295
96,prasle-ring,5,3101
95,prasle-ring,5,3008
99,prasle-ring,5,3452
100,prasle-ring,5,2916
