trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-ring,5,70,2875,NA
2,prasle-ring,5,70,3356,NA
3,prasle-ring,5,70,2771,NA
4,prasle-ring,5,70,2823,NA
5,prasle-ring,5,70,3066,NA
6,prasle-ring,5,70,3093,NA
7,prasle-ring,5,70,3323,NA
8,prasle-ring,5,70,2837,NA
9,prasle-ring,5,70,3498,NA
10,prasle-ring,5,70,3404,NA
11,prasle-ring,5,70,2751,NA
12,prasle-ring,5,70,3406,NA
13,prasle-ring,5,70,2992,NA
14,prasle-ring,5,70,3116,NA
15,prasle-ring,5,70,3573,NA
16,prasle-ring,5,70,2922,NA
17,prasle-ring,5,70,3379,NA
18,prasle-ring,5,70,3007,NA
19,prasle-ring,5,70,3389,NA
20,prasle-ring,5,70,3439,NA
21,prasle-ring,5,70,3545,NA
22,prasle-ring,5,70,3210,NA
23,prasle-ring,5,70,2985,NA
24,prasle-ring,5,70,3241,NA
25,prasle-ring,5,70,3219,NA
26,prasle-ring,5,70,3116,NA
27,prasle-ring,5,70,3419,NA
28,prasle-ring,5,70,3302,NA
29,prasle-ring,5,70,3141,NA
30,prasle-ring,5,70,3076,NA
31,prasle-ring,5,70,3167,NA
32,prasle-ring,5,70,3122,NA
33,prasle-ring,5,70,2979,NA
34,prasle-ring,5,70,3458,NA
35,prasle-ring,5,70,3134,NA
36,prasle-ring,5,70,3425,NA
37,prasle-ring,5,70,3222,NA
38,prasle-ring,5,70,3476,NA
39,prasle-ring,5,70,3035,NA
40,prasle-ring,5,70,3296,NA
41,prasle-ring,5,70,3357,NA
42,prasle-ring,5,70,3323,NA
43,prasle-ring,5,70,3298,NA
44,prasle-ring,5,70,2841,NA
45,prasle-ring,5,70,3207,NA
46,prasle-ring,5,70,3042,NA
47,prasle-ring,5,70,3217,NA
48,prasle-ring,5,70,3024,NA
49,prasle-ring,5,70,3069,NA
50,prasle-ring,5,70,3479,NA
51,prasle-ring,5,70,3355,NA
52,prasle-ring,5,70,3376,NA
53,prasle-ring,5,70,3849,NA
54,prasle-ring,5,70,2868,NA
55,prasle-ring,5,70,3669,NA
56,prasle-ring,5,70,3091,NA
57,prasle-ring,5,70,3599,NA
58,prasle-ring,5,70,3329,NA
59,prasle-ring,5,70,2779,NA
60,prasle-ring,5,70,2972,NA
61,prasle-ring,5,70,2988,NA
62,prasle-ring,5,70,3530,NA
63,prasle-ring,5,70,3017,NA
64,prasle-ring,5,70,3494,NA
65,prasle-ring,5,70,3372,NA
66,prasle-ring,5,70,3127,NA
67,prasle-ring,5,70,2947,NA
68,prasle-ring,5,70,3775,NA
69,prasle-ring,5,70,3170,NA
70,prasle-ring,5,70,3447,NA
71,prasle-ring,5,70,3514,NA
72,prasle-ring,5,70,2861,NA
73,prasle-ring,5,70,3152,NA
74,prasle-ring,5,70,3222,NA
75,prasle-ring,5,70,2940,NA
76,prasle-ring,5,70,2779,NA
77,prasle-ring,5,70,2951,NA
78,prasle-ring,5,70,3072,NA
79,prasle-ring,5,70,2988,NA
80,prasle-ring,5,70,2799,NA
81,prasle-ring,5,70,3244,NA
82,prasle-ring,5,70,2897,NA
83,prasle-ring,5,70,3101,NA
84,prasle-ring,5,70,3064,NA
85,prasle-ring,5,70,3368,NA
86,prasle-ring,5,70,3091,NA
87,prasle-ring,5,70,3646,NA
88,prasle-ring,5,70,3312,NA
89,prasle-ring,5,70,3376,NA
90,prasle-ring,5,70,3145,NA
91,prasle-ring,5,70,3055,NA
92,prasle-ring,5,70,3149,NA
93,prasle-ring,5,70,3157,NA
94,prasle-ring,5,70,3137,NA
95,prasle-ring,5,70,3108,NA
96,prasle-ring,5,70,2946,NA
97,prasle-ring,5,70,3042,NA
98,prasle-ring,5,70,3323,NA
99,prasle-ring,5,70,3453,NA
100,prasle-ring,5,70,3279,NA
