timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2834,4,bully,2834,1,1,2834,3,15,18,90,1,1,0,2834,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,15,0,0,0,0,0,0,0
3277,5,bully,3277,1,1,3277,3,17,18,102,1,1,0,3277,0,2,0,0,0,NORMAL,0,3,2,3,4,3,0,17,0,0,0,0,0,0,0
2971,1,bully,2971,1,1,2971,3,19,18,114,1,1,0,2971,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,19,0,0,0,0,0,0,0
3119,9,bully,3119,1,1,3119,3,22,18,132,1,1,0,3119,0,2,0,0,0,NORMAL,0,3,2,4,3,3,0,22,0,0,0,0,0,0,0
3141,8,bully,3141,1,1,3141,3,24,18,144,1,1,0,3141,0,2,0,0,0,NORMAL,0,3,2,4,3,3,0,24,0,0,0,0,0,0,0
2949,2,bully,2949,1,1,2949,3,25,18,150,1,1,0,2949,0,2,0,0,0,NORMAL,0,3,2,4,2,3,0,25,0,0,0,0,0,0,0
3392,3,bully,3392,1,1,3392,3,28,18,168,1,1,0,3392,0,2,0,0,0,NORMAL,0,3,2,4,2,3,0,28,0,0,0,0,0,0,0
3256,6,bully,3256,1,1,3256,3,30,18,180,1,1,0,3256,0,2,0,0,0,NORMAL,0,3,2,4,3,3,0,30,0,0,0,0,0,0,0
3698,7,bully,3698,1,1,3698,3,33,18,198,1,1,0,3698,0,2,0,0,0,NORMAL,0,3,2,4,3,3,0,33,0,0,0,0,0,0,0
3562,10,bully,3562,1,1,3562,3,31,18,186,1,1,0,3562,0,2,0,0,0,NORMAL,0,3,2,4,3,3,0,31,0,0,0,0,0,0,0
5137,4,bully,2834,1,1,2834,6,39,36,234,1,1,2303,2834,0,2,0,0,0,NORMAL,0,3,1,6,3,6,0,39,0,0,0,0,0,0,0
5580,5,bully,3277,1,1,3277,6,41,36,246,1,1,2303,3277,0,2,0,0,0,NORMAL,0,3,1,6,4,6,0,41,0,0,0,0,0,0,0
5274,1,bully,2971,1,1,2971,6,42,36,252,1,1,2303,2971,0,2,0,0,0,LEADER,1,4,1,7,1,6,0,42,0,0,0,0,0,0,0
5422,9,bully,3119,1,1,3119,6,45,36,270,1,1,2303,3119,0,2,0,0,0,NORMAL,0,3,1,7,3,6,0,45,0,0,0,0,0,0,0
