trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle,100,120,2841,120211,211
2,prasle,100,120,2721,120151,151
3,prasle,100,120,2756,120192,192
4,prasle,100,120,2841,120166,166
5,prasle,100,120,2847,120278,278
6,prasle,100,120,2819,120244,244
7,prasle,100,120,2810,120242,242
8,prasle,100,120,2732,120170,170
9,prasle,100,120,2778,120215,215
10,prasle,100,120,2759,120196,196
11,prasle,100,120,2810,120004,4
12,prasle,100,120,2803,120243,243
13,prasle,100,120,2759,120187,187
14,prasle,100,120,2869,120308,308
15,prasle,100,120,2773,120121,121
16,prasle,100,120,2793,120167,167
17,prasle,100,120,2803,120237,237
18,prasle,100,120,2812,120256,256
19,prasle,100,120,2911,120352,352
20,prasle,100,120,2729,120161,161
21,prasle,100,120,2831,120256,256
22,prasle,100,120,2764,120139,139
23,prasle,100,120,2912,120164,164
24,prasle,100,120,2829,120263,263
25,prasle,100,120,2857,120296,296
26,prasle,100,120,2729,120160,160
27,prasle,100,120,2823,120257,257
28,prasle,100,120,2881,120321,321
29,prasle,100,120,2715,120150,150
30,prasle,100,120,2849,120286,286
31,prasle,100,120,2842,120282,282
32,prasle,100,120,2763,120203,203
33,prasle,100,120,2798,120153,153
34,prasle,100,120,2756,120033,33
35,prasle,100,120,2804,120009,9
36,prasle,100,120,2828,120024,24
37,prasle,100,120,2802,120232,232
38,prasle,100,120,2719,120160,160
39,prasle,100,120,2873,120312,312
40,prasle,100,120,2839,120267,267
41,prasle,100,120,2800,120237,237
42,prasle,100,120,2920,120355,355
43,prasle,100,120,2750,120184,184
44,prasle,100,120,2807,120199,199
45,prasle,100,120,2890,120331,331
46,prasle,100,120,2796,120227,227
47,prasle,100,120,2763,120209,209
48,prasle,100,120,2813,120258,258
49,prasle,100,120,2847,120285,285
50,prasle,100,120,2831,120265,265
51,prasle,100,120,2978,120423,423
52,prasle,100,120,2877,120314,314
53,prasle,100,120,2781,120209,209
54,prasle,100,120,2851,120110,110
55,prasle,100,120,2854,120129,129
56,prasle,100,120,2936,120379,379
57,prasle,100,120,2785,120047,47
58,prasle,100,120,2901,120343,343
59,prasle,100,120,2825,120273,273
60,prasle,100,120,2860,120183,183
61,prasle,100,120,2742,120186,186
62,prasle,100,120,2801,120002,2
63,prasle,100,120,2801,120245,245
64,prasle,100,120,2773,120210,210
65,prasle,100,120,2845,120281,281
66,prasle,100,120,2729,120163,163
67,prasle,100,120,2883,120320,320
68,prasle,100,120,2769,120107,107
69,prasle,100,120,2782,120204,204
70,prasle,100,120,2811,120249,249
71,prasle,100,120,2837,120028,28
72,prasle,100,120,2860,120302,302
73,prasle,100,120,2849,120004,4
74,prasle,100,120,2916,120361,361
75,prasle,100,120,2939,120381,381
76,prasle,100,120,2859,120301,301
77,prasle,100,120,2727,120137,137
78,prasle,100,120,2875,120315,315
79,prasle,100,120,2832,120257,257
80,prasle,100,120,2927,120364,364
81,prasle,100,120,2874,120299,299
82,prasle,100,120,2766,120206,206
83,prasle,100,120,2733,120170,170
84,prasle,100,120,2746,120194,194
85,prasle,100,120,2829,120051,51
86,prasle,100,120,2706,120120,120
87,prasle,100,120,2724,120167,167
88,prasle,100,120,2846,120289,289
89,prasle,100,120,2732,120160,160
90,prasle,100,120,2770,120216,216
91,prasle,100,120,2780,120049,49
92,prasle,100,120,2966,120405,405
93,prasle,100,120,2884,120256,256
94,prasle,100,120,2839,120273,273
95,prasle,100,120,2825,120261,261
96,prasle,100,120,2764,120111,111
97,prasle,100,120,2741,120173,173
98,prasle,100,120,2961,120316,316
99,prasle,100,120,2749,120179,179
100,prasle,100,120,2819,120263,263
