trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle,5,3915,3136,1,3,true
2,prasle,5,3350,3208,1,3,true
3,prasle,5,3139,2905,1,3,true
4,prasle,5,4009,3413,1,3,true
5,prasle,5,4383,3269,1,3,true
6,prasle,5,3118,3107,1,3,true
7,prasle,5,3615,3692,1,3,true
8,prasle,5,3558,3136,1,3,true
9,prasle,5,3633,3419,1,3,true
10,prasle,5,3111,3767,1,3,true
11,prasle,5,3596,3602,1,3,true
12,prasle,5,3146,2864,1,3,true
13,prasle,5,3404,3055,1,3,true
14,prasle,5,3390,3376,1,3,true
15,prasle,5,3673,3185,1,3,true
16,prasle,5,3194,3656,1,3,true
17,prasle,5,3701,3024,1,3,true
18,prasle,5,3576,3320,1,3,true
19,prasle,5,3867,3078,1,3,true
20,prasle,5,3200,2878,1,3,true
21,prasle,5,3470,3398,1,3,true
22,prasle,5,2909,3472,1,3,true
23,prasle,5,3920,3165,1,3,true
24,prasle,5,2911,3121,1,3,true
25,prasle,5,3122,2962,1,3,true
26,prasle,5,3738,3590,1,3,true
27,prasle,5,3606,2836,1,3,true
28,prasle,5,3131,3551,1,3,true
29,prasle,5,3924,3164,1,3,true
30,prasle,5,3669,3075,1,3,true
31,prasle,5,3804,3874,1,3,true
32,prasle,5,3497,3573,1,3,true
33,prasle,5,3627,3392,1,3,true
34,prasle,5,3416,3361,1,3,true
35,prasle,5,3731,3091,1,3,true
36,prasle,5,3761,3296,1,3,true
37,prasle,5,3356,3630,1,3,true
38,prasle,5,3932,3721,1,3,true
39,prasle,5,3393,3338,1,3,true
40,prasle,5,3606,3045,1,3,true
41,prasle,5,2849,3581,1,3,true
42,prasle,5,3694,3347,1,3,true
43,prasle,5,3029,3278,1,3,true
44,prasle,5,3392,3576,1,3,true
45,prasle,5,4178,3235,1,3,true
46,prasle,5,3957,3066,1,3,true
47,prasle,5,3372,3600,1,3,true
48,prasle,5,3078,3624,1,3,true
49,prasle,5,3925,2977,1,3,true
50,prasle,5,3813,3448,1,3,true
51,prasle,5,4053,3416,1,3,true
52,prasle,5,2833,3382,1,3,true
53,prasle,5,3394,3668,1,3,true
54,prasle,5,3605,3203,1,3,true
55,prasle,5,3807,3817,1,3,true
56,prasle,5,3508,3308,1,3,true
57,prasle,5,3572,3156,1,3,true
58,prasle,5,3720,3432,1,3,true
59,prasle,5,2958,3422,1,3,true
60,prasle,5,3638,2920,1,3,true
61,prasle,5,3094,3245,1,3,true
62,prasle,5,3411,3959,1,3,true
63,prasle,5,3865,3200,1,3,true
64,prasle,5,2987,3815,1,3,true
65,prasle,5,3524,2841,1,3,true
66,prasle,5,3745,3151,1,3,true
67,prasle,5,3603,3614,1,3,true
68,prasle,5,3299,3320,1,3,true
69,prasle,5,3576,3269,1,3,true
70,prasle,5,3380,3400,1,3,true
71,prasle,5,3185,3946,1,3,true
72,prasle,5,3410,3073,1,3,true
73,prasle,5,3377,3733,1,3,true
74,prasle,5,3039,3660,1,3,true
75,prasle,5,2984,3056,1,3,true
76,prasle,5,3535,3505,1,3,true
77,prasle,5,3788,3572,1,3,true
78,prasle,5,3541,3668,1,3,true
79,prasle,5,3612,3728,1,3,true
80,prasle,5,3716,3594,1,3,true
81,prasle,5,3772,3008,1,3,true
82,prasle,5,3488,3270,1,3,true
83,prasle,5,3688,3082,1,3,true
84,prasle,5,3597,3054,1,3,true
85,prasle,5,4188,3386,1,3,true
86,prasle,5,3868,3390,1,3,true
87,prasle,5,3236,2870,1,3,true
88,prasle,5,3320,3243,1,3,true
89,prasle,5,3438,2962,1,3,true
90,prasle,5,2867,3281,1,3,true
91,prasle,5,3364,3161,1,3,true
92,prasle,5,3531,3428,1,3,true
93,prasle,5,3538,3549,1,3,true
94,prasle,5,3038,3558,1,3,true
95,prasle,5,3089,3444,1,3,true
96,prasle,5,3558,3274,1,3,true
97,prasle,5,3099,3607,1,3,true
98,prasle,5,3938,3225,1,3,true
99,prasle,5,3182,3955,1,3,true
100,prasle,5,3537,3543,1,3,true
