timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10165,21,bully,3956,0,0,0,5,7,70,98,1,50,6209,2373,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10028,24,bully,3877,0,0,0,5,7,70,98,1,50,6151,2425,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10098,1,bully,2676,0,0,0,5,7,70,98,1,50,7422,2299,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10095,44,bully,4810,0,0,0,5,7,70,98,1,50,5285,2483,0,2,1,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10334,47,bully,4995,0,0,0,5,7,70,98,1,50,5339,2490,0,2,1,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10722,20,bully,3995,0,0,0,5,7,70,98,1,50,6727,2381,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10287,50,bully,2518,1,1,2232,5,7,70,98,1,50,7769,2232,0,2,0,3,3,LEADER,1,6,5,2,2,6,1,2,4,5,4,0,0,0,0
10423,43,bully,4806,0,0,0,5,7,70,98,1,50,5617,2458,0,2,1,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10231,41,bully,4527,0,0,0,5,7,70,98,1,50,5704,2457,0,2,1,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10130,45,bully,4553,0,0,0,5,7,70,98,1,50,5577,2519,0,2,1,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10859,17,bully,3876,0,0,0,5,7,70,98,1,50,6983,2414,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10519,3,bully,2792,0,0,0,5,7,70,98,1,50,7727,2310,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
10438,15,bully,3314,0,0,0,5,7,70,98,1,50,7124,2388,0,2,0,3,3,NORMAL,0,0,5,2,2,6,1,2,4,5,4,0,0,0,0
