timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1444,2,bully,1444,1,0,0,1,0,14,0,1,2,0,1444,0,2,0,0,0,LEADER,1,1444000,0,3248,1440752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1459,53,bully,1459,1,0,0,1,0,14,0,1,53,0,1459,0,2,0,0,0,LEADER,1,1459000,0,3248,1455752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1644,28,bully,1644,1,0,0,1,0,14,0,1,28,0,1644,0,2,0,0,0,LEADER,1,1644000,0,3248,1640752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1699,37,bully,1699,1,0,0,1,0,14,0,1,37,0,1699,0,2,0,0,0,LEADER,1,1699000,0,3248,1695752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1573,87,bully,1573,1,0,0,1,0,14,0,1,87,0,1573,0,2,0,0,0,LEADER,1,1573000,0,3248,1569752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1514,62,bully,1514,1,0,0,1,0,14,0,1,62,0,1514,0,2,0,0,0,LEADER,1,1514000,0,3248,1510752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1617,49,bully,1617,1,0,0,1,0,14,0,1,49,0,1617,0,2,0,0,0,LEADER,1,1617000,0,3248,1613752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1548,72,bully,1548,1,0,0,1,0,14,0,1,72,0,1548,0,2,0,0,0,LEADER,1,1548000,0,3248,1544752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1577,68,bully,1577,1,0,0,1,0,14,0,1,68,0,1577,0,2,0,0,0,LEADER,1,1577000,0,3248,1573752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1611,18,bully,1611,1,0,0,1,0,14,0,1,18,0,1611,0,2,0,0,0,LEADER,1,1611000,0,3248,1607752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1474,21,bully,1474,1,0,0,1,0,14,0,1,21,0,1474,0,2,0,0,0,LEADER,1,1474000,0,3248,1470752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
