timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
1519,35,adaptive-prasle,1519,1,0,0,1,0,14,0,1,35,0,1519,0,2,0,0,0,LEADER,1,0,0,0,0,1
1858,14,adaptive-prasle,1858,1,0,0,1,0,14,0,1,14,0,1858,0,2,0,0,0,LEADER,1,0,0,0,0,1
1535,3,adaptive-prasle,1535,1,0,0,2,1,28,14,1,2,0,1535,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1778,31,adaptive-prasle,1778,1,0,0,1,0,14,0,1,31,0,1778,0,2,0,0,0,LEADER,1,0,0,0,0,1
1873,17,adaptive-prasle,1873,1,0,0,1,0,14,0,1,17,0,1873,0,2,0,0,0,LEADER,1,0,0,0,0,1
1928,26,adaptive-prasle,1928,1,0,0,1,0,14,0,1,26,0,1928,0,2,0,0,0,LEADER,1,0,0,0,0,1
1437,47,adaptive-prasle,1437,1,0,0,1,0,14,0,1,47,0,1437,0,2,0,0,0,LEADER,1,0,0,0,0,1
1452,15,adaptive-prasle,1452,1,0,0,1,0,14,0,1,15,0,1452,0,2,0,0,0,LEADER,1,0,0,0,0,1
1548,34,adaptive-prasle,1548,1,0,0,1,0,14,0,1,34,0,1548,0,2,0,0,0,LEADER,1,0,0,0,0,1
2077,49,adaptive-prasle,2077,1,0,0,1,0,14,0,1,49,0,2077,0,2,0,0,0,LEADER,1,0,0,0,0,1
1431,16,adaptive-prasle,1431,1,0,0,1,0,14,0,1,16,0,1431,0,2,0,0,0,LEADER,1,0,0,0,0,1
1552,45,adaptive-prasle,1552,1,0,0,1,0,14,0,1,45,0,1552,0,2,0,0,0,LEADER,1,0,0,0,0,1
1589,12,adaptive-prasle,1589,1,0,0,1,0,14,0,1,12,0,1589,0,2,0,0,0,LEADER,1,0,0,0,0,1
1792,29,adaptive-prasle,1792,1,0,0,1,0,14,0,1,29,0,1792,0,2,0,0,0,LEADER,1,0,0,0,0,1
