timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1534,5,bully,1534,1,0,0,1,1,14,14,1,5,0,1534,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1452,17,bully,1452,1,0,0,1,0,14,0,1,17,0,1452,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1670,2,bully,1670,1,0,0,1,1,14,14,1,2,0,1670,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1634,35,bully,1634,1,0,0,1,0,14,0,1,35,0,1634,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1737,22,bully,1737,1,0,0,1,0,14,0,1,22,0,1737,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1431,18,bully,1431,1,0,0,1,0,14,0,1,18,0,1431,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1940,39,bully,1940,1,0,0,1,0,14,0,1,39,0,1940,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1519,37,bully,1519,1,0,0,1,0,14,0,1,37,0,1519,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1779,14,bully,1779,1,0,0,1,0,14,0,1,14,0,1779,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1437,49,bully,1437,1,0,0,1,0,14,0,1,49,0,1437,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1840,9,bully,1840,1,0,0,1,0,14,0,1,9,0,1840,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1955,29,bully,1955,1,0,0,1,0,14,0,1,29,0,1955,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1825,41,bully,1825,1,0,0,1,0,14,0,1,41,0,1825,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1464,28,bully,1464,1,0,0,1,0,14,0,1,28,0,1464,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2067,6,bully,2067,1,0,0,1,2,14,28,1,5,0,2067,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1655,34,bully,1655,1,0,0,1,0,14,0,1,34,0,1655,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1704,12,bully,1704,1,0,0,1,0,14,0,1,12,0,1704,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1792,31,bully,1792,1,0,0,1,0,14,0,1,31,0,1792,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1552,47,bully,1552,1,0,0,1,0,14,0,1,47,0,1552,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2066,7,bully,2066,1,0,0,1,2,14,28,1,5,0,2066,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1567,15,bully,1567,1,0,0,1,0,14,0,1,15,0,1567,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1486,13,bully,1486,1,0,0,1,0,14,0,1,13,0,1486,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2125,32,bully,2125,1,0,0,1,0,14,0,1,32,0,2125,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2169,3,bully,2169,1,0,0,1,3,14,42,1,2,0,2169,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
1804,42,bully,1804,1,0,0,1,0,14,0,1,42,0,1804,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2383,40,bully,2383,1,0,0,1,0,14,0,1,40,0,2383,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2110,46,bully,2110,1,0,0,1,0,14,0,1,46,0,2110,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2043,26,bully,2043,1,0,0,1,0,14,0,1,26,0,2043,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2349,30,bully,2349,1,0,0,1,0,14,0,1,30,0,2349,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1962,38,bully,1962,1,0,0,1,0,14,0,1,38,0,1962,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2232,4,bully,2232,1,0,0,2,3,28,42,1,2,0,2232,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
2180,23,bully,2180,1,0,0,1,0,14,0,1,23,0,2180,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1601,25,bully,1601,1,0,0,1,0,14,0,1,25,0,1601,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2372,17,bully,1452,1,0,0,1,0,14,0,1,17,920,1452,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2077,36,bully,2077,1,0,0,1,0,14,0,1,36,0,2077,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1622,24,bully,1622,1,0,0,1,0,14,0,1,24,0,1622,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,48,bully,1995,1,0,0,1,0,14,0,1,48,0,1995,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1689,44,bully,1689,1,0,0,1,0,14,0,1,44,0,1689,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2131,45,bully,2131,1,0,0,1,0,14,0,1,45,0,2131,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2295,21,bully,2295,1,0,0,1,0,14,0,1,21,0,2295,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2554,35,bully,1634,1,0,0,1,0,14,0,1,35,920,1634,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2316,20,bully,2316,1,0,0,1,0,14,0,1,20,0,2316,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2657,22,bully,1737,1,0,0,1,0,14,0,1,22,920,1737,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
