trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-line,100,150,1569,150663,663
2,adaptive-prasle-line,100,150,1522,150616,616
3,adaptive-prasle-line,100,150,1655,150751,751
4,adaptive-prasle-line,100,150,1646,150740,740
5,adaptive-prasle-line,100,150,1564,150658,658
6,adaptive-prasle-line,100,150,1554,150245,245
7,adaptive-prasle-line,100,150,1536,150630,630
8,adaptive-prasle-line,100,150,1584,150678,678
9,adaptive-prasle-line,100,150,1487,150581,581
10,adaptive-prasle-line,100,150,1514,150608,608
