trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-line,50,50,1691,NA
2,adaptive-prasle-line,50,50,1618,NA
3,adaptive-prasle-line,50,50,1520,NA
4,adaptive-prasle-line,50,50,1445,NA
5,adaptive-prasle-line,50,50,1690,NA
6,adaptive-prasle-line,50,50,1525,NA
7,adaptive-prasle-line,50,50,1489,NA
8,adaptive-prasle-line,50,50,1528,NA
9,adaptive-prasle-line,50,50,1520,NA
10,adaptive-prasle-line,50,50,1610,NA
11,adaptive-prasle-line,50,50,1743,NA
12,adaptive-prasle-line,50,50,1668,NA
13,adaptive-prasle-line,50,50,1634,NA
14,adaptive-prasle-line,50,50,1583,NA
15,adaptive-prasle-line,50,50,1549,NA
16,adaptive-prasle-line,50,50,1551,NA
17,adaptive-prasle-line,50,50,1565,NA
18,adaptive-prasle-line,50,50,1752,NA
19,adaptive-prasle-line,50,50,1586,NA
20,adaptive-prasle-line,50,50,1540,NA
21,adaptive-prasle-line,50,50,1712,NA
22,adaptive-prasle-line,50,50,1578,NA
23,adaptive-prasle-line,50,50,1617,NA
24,adaptive-prasle-line,50,50,1505,NA
25,adaptive-prasle-line,50,50,1526,NA
26,adaptive-prasle-line,50,50,1579,NA
27,adaptive-prasle-line,50,50,1675,NA
28,adaptive-prasle-line,50,50,1546,NA
29,adaptive-prasle-line,50,50,1463,NA
30,adaptive-prasle-line,50,50,1642,NA
31,adaptive-prasle-line,50,50,1583,NA
32,adaptive-prasle-line,50,50,1537,NA
33,adaptive-prasle-line,50,50,1550,NA
34,adaptive-prasle-line,50,50,1628,NA
35,adaptive-prasle-line,50,50,1702,NA
36,adaptive-prasle-line,50,50,1823,NA
37,adaptive-prasle-line,50,50,1533,NA
38,adaptive-prasle-line,50,50,1738,NA
39,adaptive-prasle-line,50,50,1493,NA
40,adaptive-prasle-line,50,50,1640,NA
41,adaptive-prasle-line,50,50,1634,NA
42,adaptive-prasle-line,50,50,1723,NA
43,adaptive-prasle-line,50,50,1599,NA
44,adaptive-prasle-line,50,50,1603,NA
45,adaptive-prasle-line,50,50,1536,NA
46,adaptive-prasle-line,50,50,1601,NA
47,adaptive-prasle-line,50,50,1523,NA
48,adaptive-prasle-line,50,50,1773,NA
49,adaptive-prasle-line,50,50,1507,NA
50,adaptive-prasle-line,50,50,1565,NA
51,adaptive-prasle-line,50,50,1485,NA
52,adaptive-prasle-line,50,50,1563,NA
53,adaptive-prasle-line,50,50,1630,NA
54,adaptive-prasle-line,50,50,1699,NA
55,adaptive-prasle-line,50,50,1470,NA
56,adaptive-prasle-line,50,50,1529,NA
57,adaptive-prasle-line,50,50,1539,NA
58,adaptive-prasle-line,50,50,1490,NA
59,adaptive-prasle-line,50,50,1564,NA
60,adaptive-prasle-line,50,50,1674,NA
61,adaptive-prasle-line,50,50,1534,NA
62,adaptive-prasle-line,50,50,1451,NA
63,adaptive-prasle-line,50,50,1592,NA
64,adaptive-prasle-line,50,50,1605,NA
65,adaptive-prasle-line,50,50,1588,NA
66,adaptive-prasle-line,50,50,1568,NA
67,adaptive-prasle-line,50,50,1508,NA
68,adaptive-prasle-line,50,50,1616,NA
69,adaptive-prasle-line,50,50,1676,NA
70,adaptive-prasle-line,50,50,1749,NA
71,adaptive-prasle-line,50,50,1569,NA
72,adaptive-prasle-line,50,50,1643,NA
73,adaptive-prasle-line,50,50,1532,NA
74,adaptive-prasle-line,50,50,1592,NA
75,adaptive-prasle-line,50,50,1787,NA
76,adaptive-prasle-line,50,50,1657,NA
77,adaptive-prasle-line,50,50,1499,NA
78,adaptive-prasle-line,50,50,1663,NA
79,adaptive-prasle-line,50,50,1516,NA
80,adaptive-prasle-line,50,50,1726,NA
81,adaptive-prasle-line,50,50,1658,NA
82,adaptive-prasle-line,50,50,1486,NA
83,adaptive-prasle-line,50,50,1593,NA
84,adaptive-prasle-line,50,50,1531,NA
85,adaptive-prasle-line,50,50,1558,NA
86,adaptive-prasle-line,50,50,1562,NA
87,adaptive-prasle-line,50,50,1567,NA
88,adaptive-prasle-line,50,50,1505,NA
89,adaptive-prasle-line,50,50,1582,NA
90,adaptive-prasle-line,50,50,1535,NA
91,adaptive-prasle-line,50,50,1677,NA
92,adaptive-prasle-line,50,50,1565,NA
93,adaptive-prasle-line,50,50,1511,NA
94,adaptive-prasle-line,50,50,1699,NA
95,adaptive-prasle-line,50,50,1780,NA
96,adaptive-prasle-line,50,50,1649,NA
97,adaptive-prasle-line,50,50,1556,NA
98,adaptive-prasle-line,50,50,1549,NA
99,adaptive-prasle-line,50,50,1506,NA
100,adaptive-prasle-line,50,50,1666,NA
