timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
1592,20,adaptive-prasle,1592,1,0,0,1,0,14,0,1,20,0,1592,0,2,0,0,0,LEADER,1,0,0,0,0,1
1468,50,adaptive-prasle,1468,1,0,0,1,0,14,0,1,50,0,1468,0,2,0,0,0,LEADER,1,0,0,0,0,1
1571,31,adaptive-prasle,1571,1,0,0,1,0,14,0,1,31,0,1571,0,2,0,0,0,LEADER,1,0,0,0,0,1
1626,46,adaptive-prasle,1626,1,0,0,1,0,14,0,1,46,0,1626,0,2,0,0,0,LEADER,1,0,0,0,0,1
1609,4,adaptive-prasle,1609,1,0,0,2,2,28,28,1,3,0,1609,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1457,12,adaptive-prasle,1457,1,0,0,2,2,28,28,1,3,0,1457,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1605,47,adaptive-prasle,1605,1,0,0,1,0,14,0,1,47,0,1605,0,2,0,0,0,LEADER,1,0,0,0,0,1
1435,40,adaptive-prasle,1435,1,0,0,1,0,14,0,1,40,0,1435,0,2,0,0,0,LEADER,1,0,0,0,0,1
1741,44,adaptive-prasle,1741,1,0,0,1,0,14,0,1,44,0,1741,0,2,0,0,0,LEADER,1,0,0,0,0,1
1529,39,adaptive-prasle,1529,1,0,0,1,0,14,0,1,39,0,1529,0,2,0,0,0,LEADER,1,0,0,0,0,1
1947,18,adaptive-prasle,1947,1,0,0,1,0,14,0,1,18,0,1947,0,2,0,0,0,LEADER,1,0,0,0,0,1
1505,17,adaptive-prasle,1505,1,0,0,1,0,14,0,1,17,0,1505,0,2,0,0,0,LEADER,1,0,0,0,0,1
1936,37,adaptive-prasle,1936,1,0,0,1,0,14,0,1,37,0,1936,0,2,0,0,0,LEADER,1,0,0,0,0,1
1826,8,adaptive-prasle,1826,1,0,0,2,1,28,14,1,7,0,1826,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1472,7,adaptive-prasle,1472,1,0,0,2,2,28,28,1,4,0,1472,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2047,48,adaptive-prasle,2047,1,0,0,1,0,14,0,1,48,0,2047,0,2,0,0,0,LEADER,1,0,0,0,0,1
