trial,algorithm,node_count,convergence_time_ms
1,adaptive-prasle-mesh,50,1484
5,adaptive-prasle-mesh,50,1525
2,adaptive-prasle-mesh,50,1594
6,adaptive-prasle-mesh,50,1478
7,adaptive-prasle-mesh,50,1633
10,adaptive-prasle-mesh,50,1470
12,adaptive-prasle-mesh,50,1581
4,adaptive-prasle-mesh,50,1572
9,adaptive-prasle-mesh,50,1553
11,adaptive-prasle-mesh,50,1787
8,adaptive-prasle-mesh,50,1573
13,adaptive-prasle-mesh,50,1547
3,adaptive-prasle-mesh,50,1827
14,adaptive-prasle-mesh,50,1785
16,adaptive-prasle-mesh,50,1444
17,adaptive-prasle-mesh,50,1642
18,adaptive-prasle-mesh,50,1582
15,adaptive-prasle-mesh,50,1559
19,adaptive-prasle-mesh,50,1561
21,adaptive-prasle-mesh,50,1615
20,adaptive-prasle-mesh,50,1637
22,adaptive-prasle-mesh,50,1483
23,adaptive-prasle-mesh,50,1447
24,adaptive-prasle-mesh,50,1519
25,adaptive-prasle-mesh,50,1478
26,adaptive-prasle-mesh,50,1515
27,adaptive-prasle-mesh,50,1531
28,adaptive-prasle-mesh,50,1509
30,adaptive-prasle-mesh,50,1543
29,adaptive-prasle-mesh,50,1586
32,adaptive-prasle-mesh,50,1535
31,adaptive-prasle-mesh,50,1599
33,adaptive-prasle-mesh,50,1498
34,adaptive-prasle-mesh,50,1658
35,adaptive-prasle-mesh,50,1634
36,adaptive-prasle-mesh,50,1561
38,adaptive-prasle-mesh,50,1477
37,adaptive-prasle-mesh,50,1502
39,adaptive-prasle-mesh,50,1550
41,adaptive-prasle-mesh,50,1595
40,adaptive-prasle-mesh,50,1652
42,adaptive-prasle-mesh,50,1565
44,adaptive-prasle-mesh,50,1572
43,adaptive-prasle-mesh,50,1724
45,adaptive-prasle-mesh,50,1594
47,adaptive-prasle-mesh,50,1682
46,adaptive-prasle-mesh,50,1584
49,adaptive-prasle-mesh,50,1702
48,adaptive-prasle-mesh,50,1604
52,adaptive-prasle-mesh,50,1632
50,adaptive-prasle-mesh,50,1506
51,adaptive-prasle-mesh,50,1816
53,adaptive-prasle-mesh,50,1486
54,adaptive-prasle-mesh,50,1522
56,adaptive-prasle-mesh,50,1529
55,adaptive-prasle-mesh,50,1772
57,adaptive-prasle-mesh,50,1794
58,adaptive-prasle-mesh,50,1623
59,adaptive-prasle-mesh,50,1584
61,adaptive-prasle-mesh,50,1600
60,adaptive-prasle-mesh,50,1700
62,adaptive-prasle-mesh,50,1504
64,adaptive-prasle-mesh,50,1641
63,adaptive-prasle-mesh,50,1516
65,adaptive-prasle-mesh,50,1486
66,adaptive-prasle-mesh,50,1534
67,adaptive-prasle-mesh,50,1608
68,adaptive-prasle-mesh,50,1580
70,adaptive-prasle-mesh,50,1454
69,adaptive-prasle-mesh,50,1621
71,adaptive-prasle-mesh,50,1610
72,adaptive-prasle-mesh,50,1604
73,adaptive-prasle-mesh,50,1570
75,adaptive-prasle-mesh,50,1578
74,adaptive-prasle-mesh,50,1629
77,adaptive-prasle-mesh,50,1484
76,adaptive-prasle-mesh,50,1675
79,adaptive-prasle-mesh,50,1461
78,adaptive-prasle-mesh,50,1551
80,adaptive-prasle-mesh,50,1566
82,adaptive-prasle-mesh,50,1655
81,adaptive-prasle-mesh,50,1630
83,adaptive-prasle-mesh,50,1573
84,adaptive-prasle-mesh,50,1571
85,adaptive-prasle-mesh,50,1810
86,adaptive-prasle-mesh,50,1535
88,adaptive-prasle-mesh,50,1491
87,adaptive-prasle-mesh,50,1629
89,adaptive-prasle-mesh,50,1700
90,adaptive-prasle-mesh,50,1837
91,adaptive-prasle-mesh,50,1532
92,adaptive-prasle-mesh,50,1650
94,adaptive-prasle-mesh,50,1720
93,adaptive-prasle-mesh,50,1532
95,adaptive-prasle-mesh,50,1640
98,adaptive-prasle-mesh,50,1533
96,adaptive-prasle-mesh,50,1560
99,adaptive-prasle-mesh,50,1526
97,adaptive-prasle-mesh,50,1477
100,adaptive-prasle-mesh,50,1528
