timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1859,5,bully,1859,1,0,0,1,0,14,0,1,5,0,1859,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1552,1,bully,1552,1,0,0,1,2,14,28,1,1,0,1552,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1438,3,bully,1438,1,0,0,2,1,28,14,1,1,0,1438,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2467,4,bully,2467,1,0,0,1,3,14,42,1,1,0,2467,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
2171,2,bully,2171,1,0,0,1,5,14,70,1,1,0,2171,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3540,4,bully,2467,1,0,0,1,3,14,42,1,1,1073,2467,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
3619,2,bully,2171,1,0,0,1,5,14,70,1,1,1448,2171,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3792,1,bully,1552,1,0,0,1,2,14,28,1,1,2240,1552,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
3678,3,bully,1438,1,0,0,2,1,28,14,1,1,2240,1438,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
4406,5,bully,1859,1,0,0,2,2,28,28,1,5,2547,1859,0,2,0,0,0,LEADER,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
4613,4,bully,2467,1,0,0,1,3,14,42,1,1,2146,2467,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
5067,2,bully,2171,1,0,0,1,5,14,70,1,1,2896,2171,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
5687,4,bully,2467,1,0,0,2,3,28,42,2,4,3220,2467,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0
6032,1,bully,1552,1,0,0,1,4,14,56,1,1,4480,1552,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
5918,3,bully,1438,1,0,0,2,2,28,28,1,1,4480,1438,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
6760,4,bully,2467,1,0,0,2,3,28,42,2,4,4293,2467,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0
6516,2,bully,2171,1,0,0,2,5,28,70,2,2,4345,2171,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0
8283,1,bully,1552,1,0,0,2,5,28,70,1,1,6731,1552,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0
10553,1,bully,1552,1,0,0,2,6,28,84,1,1,9001,1552,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0
10907,2,bully,2171,1,0,0,3,6,42,84,2,2,8736,2171,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0
12823,1,bully,1552,1,0,0,2,6,28,84,1,1,11271,1552,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0
13318,4,bully,2467,1,0,0,3,4,42,56,2,4,10851,2467,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0
15159,5,bully,1859,1,0,0,2,6,28,84,1,5,13300,1859,0,2,0,0,0,LEADER,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0
15094,1,bully,1552,1,0,0,3,6,42,84,1,1,13542,1552,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0
20436,1,bully,1552,1,0,0,3,7,42,98,1,1,18884,1552,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,7,0,0,0,0,0,0,0
21119,3,bully,1438,1,0,0,3,3,42,42,1,1,19681,1438,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
22994,2,bully,2171,1,0,0,3,9,42,126,2,2,20823,2171,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,9,0,0,0,0,0,0,0
26552,4,bully,2467,1,0,0,4,6,56,84,3,1,24085,2467,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0
29610,5,bully,1859,1,0,0,3,8,42,112,2,1,27751,1859,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0
31922,1,bully,1552,1,0,0,3,8,42,112,1,1,30370,1552,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,8,0,0,0,0,0,0,0
36319,3,bully,1438,1,0,0,3,4,42,56,1,1,34881,1438,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
38196,2,bully,2171,1,0,0,5,10,70,140,3,1,36025,2171,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0
41752,4,bully,2467,1,0,0,4,7,56,98,3,1,39285,2467,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0
44810,5,bully,1859,1,0,0,3,9,42,126,2,1,42951,1859,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0
44647,1,bully,1552,1,0,0,4,9,56,126,1,1,43095,1552,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,9,0,0,0,0,0,0,0
51519,3,bully,1438,1,0,0,3,5,42,70,1,1,50081,1438,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0
53396,2,bully,2171,1,0,0,5,10,70,140,3,1,51225,2171,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0
56952,4,bully,2467,1,0,0,4,7,56,98,3,1,54485,2467,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0
60010,5,bully,1859,1,0,0,3,9,42,126,2,1,58151,1859,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0
59847,1,bully,1552,1,0,0,4,9,56,126,1,1,58295,1552,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,9,0,0,0,0,0,0,0
66720,3,bully,1438,1,0,0,4,5,56,70,2,3,65282,1438,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0
68596,2,bully,2171,1,0,0,5,12,70,168,3,1,66425,2171,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0
72153,4,bully,2467,1,0,0,5,8,70,112,4,4,69686,2467,0,5,0,0,0,LEADER,1,0,0,5,0,0,0,8,0,0,0,0,0,0,0
75212,5,bully,1859,1,0,0,5,11,70,154,3,2,73353,1859,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0
75047,1,bully,1552,1,0,0,4,11,56,154,1,1,73495,1552,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,11,0,0,0,0,0,0,0
81921,3,bully,1438,1,0,0,5,6,70,84,2,3,80483,1438,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,6,0,0,0,0,0,0,0
83798,2,bully,2171,1,0,0,7,15,98,210,3,1,81627,2171,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0
87355,4,bully,2467,1,0,0,7,11,98,154,4,4,84888,2467,0,5,0,0,0,LEADER,1,0,0,7,0,0,0,11,0,0,0,0,0,0,0
90413,5,bully,1859,1,0,0,6,14,84,196,3,2,88554,1859,0,4,0,0,0,NORMAL,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0
90248,1,bully,1552,1,0,0,5,14,70,196,1,1,88696,1552,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,14,0,0,0,0,0,0,0
97122,3,bully,1438,1,0,0,6,7,84,98,2,3,95684,1438,0,4,0,0,0,LEADER,1,0,0,6,0,0,0,7,0,0,0,0,0,0,0
98998,2,bully,2171,1,0,0,7,17,98,238,3,1,96827,2171,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0
102555,4,bully,2467,1,0,0,7,11,98,154,4,4,100088,2467,0,5,0,0,0,LEADER,1,0,0,7,0,0,0,11,0,0,0,0,0,0,0
105613,5,bully,1859,1,0,0,6,14,84,196,3,2,103754,1859,0,4,0,0,0,NORMAL,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0
105448,1,bully,1552,1,0,0,5,14,70,196,1,1,103896,1552,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,14,0,0,0,0,0,0,0
112323,3,bully,1438,1,0,0,7,7,98,98,2,3,110885,1438,0,5,0,0,0,LEADER,1,0,0,7,0,0,0,7,0,0,0,0,0,0,0
114198,2,bully,2171,1,0,0,7,19,98,266,3,1,112027,2171,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,19,0,0,0,0,0,0,0
117756,4,bully,2467,1,0,0,8,12,112,168,4,4,115289,2467,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,12,0,0,0,0,0,0,0
120814,5,bully,1859,1,0,0,7,16,98,224,4,4,118955,1859,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0
120648,1,bully,1552,1,0,0,5,16,70,224,1,1,119096,1552,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,16,0,0,0,0,0,0,0
127523,3,bully,1438,1,0,0,7,8,98,112,2,3,126085,1438,0,5,0,0,0,LEADER,1,0,0,7,0,0,0,8,0,0,0,0,0,0,0
129400,2,bully,2171,1,0,0,9,20,126,280,3,1,127229,2171,0,6,0,0,0,NORMAL,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0
132956,4,bully,2467,1,0,0,8,13,112,182,4,4,130489,2467,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,13,0,0,0,0,0,0,0
136014,5,bully,1859,1,0,0,7,17,98,238,4,4,134155,1859,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0
135849,1,bully,1552,1,0,0,6,17,84,238,1,1,134297,1552,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,17,0,0,0,0,0,0,0
142723,3,bully,1438,1,0,0,7,9,98,126,2,3,141285,1438,0,5,0,0,0,LEADER,1,0,0,7,0,0,0,9,0,0,0,0,0,0,0
144600,2,bully,2171,1,0,0,9,20,126,280,3,1,142429,2171,0,6,0,0,0,NORMAL,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0
148156,4,bully,2467,1,0,0,8,13,112,182,4,4,145689,2467,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,13,0,0,0,0,0,0,0
151214,5,bully,1859,1,0,0,7,17,98,238,4,4,149355,1859,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0
151049,1,bully,1552,1,0,0,6,17,84,238,1,1,149497,1552,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,17,0,0,0,0,0,0,0
157924,3,bully,1438,1,0,0,8,9,112,126,2,3,156486,1438,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,9,0,0,0,0,0,0,0
159800,2,bully,2171,1,0,0,9,22,126,308,3,1,157629,2171,0,6,0,0,0,NORMAL,0,0,0,9,0,0,0,22,0,0,0,0,0,0,0
163357,4,bully,2467,1,0,0,9,14,126,196,4,4,160890,2467,0,7,0,0,0,LEADER,1,0,0,9,0,0,0,14,0,0,0,0,0,0,0
166415,5,bully,1859,1,0,0,8,19,112,266,4,4,164556,1859,0,6,0,0,0,NORMAL,0,0,0,8,0,0,0,19,0,0,0,0,0,0,0
166249,1,bully,1552,1,0,0,6,19,84,266,1,1,164697,1552,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,19,0,0,0,0,0,0,0
173124,3,bully,1438,1,0,0,8,10,112,140,2,3,171686,1438,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,10,0,0,0,0,0,0,0
175002,2,bully,2171,1,0,0,11,23,154,322,3,1,172831,2171,0,7,0,0,0,NORMAL,0,0,0,11,0,0,0,23,0,0,0,0,0,0,0
178557,4,bully,2467,1,0,0,9,15,126,210,4,4,176090,2467,0,7,0,0,0,LEADER,1,0,0,9,0,0,0,15,0,0,0,0,0,0,0
181615,5,bully,1859,1,0,0,8,20,112,280,4,4,179756,1859,0,6,0,0,0,NORMAL,0,0,0,8,0,0,0,20,0,0,0,0,0,0,0
181450,1,bully,1552,1,0,0,7,20,98,280,1,1,179898,1552,0,8,0,0,0,LEADER,1,0,0,7,0,0,0,20,0,0,0,0,0,0,0
188324,3,bully,1438,1,0,0,8,11,112,154,2,3,186886,1438,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,11,0,0,0,0,0,0,0
