timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1754,3,bully,1754,1,0,0,2,1,28,14,1,2,0,1754,0,2,0,0,0,NORMAL,0,1754000,0,6496,1747504,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2183,2,bully,2183,1,0,0,2,4,28,56,1,1,0,2183,0,2,0,0,0,NORMAL,0,2183000,0,3248,2179752,0,0,2,0,0,0,4,0,0,0,0,0,0,0
2397,4,bully,2397,1,0,0,2,2,28,28,1,1,0,2397,0,2,0,0,0,NORMAL,0,2397000,0,3248,2393752,0,0,2,0,0,0,2,0,0,0,0,0,0,0
2210,1,bully,2210,1,0,0,1,4,14,56,1,1,0,2210,0,2,0,0,0,LEADER,1,2210000,0,3248,2206752,0,0,1,0,0,0,4,0,0,0,0,0,0,0
2424,5,bully,2424,1,0,0,2,4,28,56,1,1,0,2424,0,2,0,0,0,NORMAL,0,2424000,0,3248,2420752,0,0,2,0,0,0,4,0,0,0,0,0,0,0
3746,2,bully,2183,1,0,0,2,6,28,84,1,1,1563,2183,0,2,0,0,0,NORMAL,0,3746000,0,6496,3739504,0,0,2,0,0,0,6,0,0,0,0,0,0,0
3178,1,bully,2210,1,0,0,1,4,14,56,1,1,968,2210,0,2,0,0,0,LEADER,1,3178000,0,3248,3174752,0,0,1,0,0,0,4,0,0,0,0,0,0,0
4319,3,bully,1754,1,0,0,3,2,42,28,1,2,2565,1754,0,2,0,0,0,NORMAL,0,4319000,0,9744,4309256,0,0,3,0,0,0,2,0,0,0,0,0,0,0
4146,1,bully,2210,1,0,0,1,4,14,56,1,1,1936,2210,0,2,0,0,0,LEADER,1,4146000,0,3248,4142752,0,0,1,0,0,0,4,0,0,0,0,0,0,0
4553,5,bully,2424,1,0,0,2,4,28,56,1,1,2129,2424,0,2,0,0,0,NORMAL,0,4553000,0,6496,4546504,0,0,2,0,0,0,4,0,0,0,0,0,0,0
4955,4,bully,2397,1,0,0,2,3,28,42,1,1,2558,2397,0,2,0,0,0,NORMAL,0,4955000,0,6496,4948504,0,0,2,0,0,0,3,0,0,0,0,0,0,0
5593,2,bully,2183,1,0,0,2,7,28,98,1,1,3410,2183,0,2,0,0,0,NORMAL,0,5593000,0,6496,5586504,0,0,2,0,0,0,7,0,0,0,0,0,0,0
