trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-mesh,5,2172,1826,2,5,true
2,adaptive-prasle-mesh,5,1618,2039,2,5,true
3,adaptive-prasle-mesh,5,1783,2156,2,5,true
4,adaptive-prasle-mesh,5,2015,2264,2,5,true
5,adaptive-prasle-mesh,5,1834,1627,2,5,true
6,adaptive-prasle-mesh,5,1991,2262,2,5,true
7,adaptive-prasle-mesh,5,2215,2213,2,5,true
8,adaptive-prasle-mesh,5,1768,2179,2,5,true
9,adaptive-prasle-mesh,5,2329,2225,2,5,true
10,adaptive-prasle-mesh,5,2514,1771,2,5,true
11,adaptive-prasle-mesh,5,2366,2007,2,5,true
12,adaptive-prasle-mesh,5,1862,2046,2,5,true
13,adaptive-prasle-mesh,5,2623,1735,2,5,true
14,adaptive-prasle-mesh,5,2507,2325,2,5,true
15,adaptive-prasle-mesh,5,2086,1939,2,5,true
16,adaptive-prasle-mesh,5,2309,1695,2,5,true
17,adaptive-prasle-mesh,5,2736,2106,2,5,true
18,adaptive-prasle-mesh,5,2469,1774,2,5,true
19,adaptive-prasle-mesh,5,2244,1688,2,5,true
20,adaptive-prasle-mesh,5,1969,1714,2,5,true
21,adaptive-prasle-mesh,5,2214,1882,2,5,true
22,adaptive-prasle-mesh,5,2348,1641,2,5,true
23,adaptive-prasle-mesh,5,2017,1682,2,5,true
24,adaptive-prasle-mesh,5,2410,1588,2,5,true
25,adaptive-prasle-mesh,5,2388,2068,2,5,true
26,adaptive-prasle-mesh,5,2389,2126,2,5,true
27,adaptive-prasle-mesh,5,2014,2247,2,5,true
28,adaptive-prasle-mesh,5,1973,1822,2,5,true
29,adaptive-prasle-mesh,5,1664,2342,2,5,true
30,adaptive-prasle-mesh,5,2153,1718,2,5,true
31,adaptive-prasle-mesh,5,1966,2328,2,5,true
32,adaptive-prasle-mesh,5,2614,2023,2,5,true
33,adaptive-prasle-mesh,5,2281,1562,2,5,true
34,adaptive-prasle-mesh,5,2592,2139,2,5,true
35,adaptive-prasle-mesh,5,2761,2378,2,5,true
36,adaptive-prasle-mesh,5,2334,2399,2,5,true
37,adaptive-prasle-mesh,5,2510,1629,2,5,true
38,adaptive-prasle-mesh,5,2040,1624,2,5,true
39,adaptive-prasle-mesh,5,1696,2219,2,5,true
40,adaptive-prasle-mesh,5,2169,1849,2,5,true
41,adaptive-prasle-mesh,5,1979,2453,2,5,true
42,adaptive-prasle-mesh,5,2485,2202,2,5,true
43,adaptive-prasle-mesh,5,2043,1895,2,5,true
44,adaptive-prasle-mesh,5,2553,1774,2,5,true
45,adaptive-prasle-mesh,5,1797,1879,2,5,true
46,adaptive-prasle-mesh,5,1860,2093,2,5,true
47,adaptive-prasle-mesh,5,2656,1910,2,5,true
48,adaptive-prasle-mesh,5,2101,1980,2,5,true
49,adaptive-prasle-mesh,5,1707,1791,2,5,true
50,adaptive-prasle-mesh,5,1896,2005,2,5,true
51,adaptive-prasle-mesh,5,2052,2313,2,5,true
52,adaptive-prasle-mesh,5,1786,2145,2,5,true
53,adaptive-prasle-mesh,5,2057,1670,2,5,true
54,adaptive-prasle-mesh,5,2509,1449,2,5,true
55,adaptive-prasle-mesh,5,1823,1729,2,5,true
56,adaptive-prasle-mesh,5,1844,2217,2,5,true
57,adaptive-prasle-mesh,5,2239,1521,2,5,true
58,adaptive-prasle-mesh,5,2329,2328,2,5,true
59,adaptive-prasle-mesh,5,1800,1889,2,5,true
60,adaptive-prasle-mesh,5,1479,1924,2,5,true
61,adaptive-prasle-mesh,5,1635,1991,2,5,true
62,adaptive-prasle-mesh,5,1872,2337,2,5,true
63,adaptive-prasle-mesh,5,2587,1787,2,5,true
64,adaptive-prasle-mesh,5,1697,2200,2,5,true
65,adaptive-prasle-mesh,5,1763,2183,2,5,true
66,adaptive-prasle-mesh,5,1903,1861,2,5,true
67,adaptive-prasle-mesh,5,1956,1929,2,5,true
68,adaptive-prasle-mesh,5,2750,1781,2,5,true
69,adaptive-prasle-mesh,5,2119,2093,2,5,true
70,adaptive-prasle-mesh,5,2360,1803,2,5,true
71,adaptive-prasle-mesh,5,2051,2313,2,5,true
72,adaptive-prasle-mesh,5,2402,2133,2,5,true
73,adaptive-prasle-mesh,5,2374,2467,2,5,true
74,adaptive-prasle-mesh,5,2666,2557,2,5,true
75,adaptive-prasle-mesh,5,2275,1823,2,5,true
76,adaptive-prasle-mesh,5,1922,1941,2,5,true
77,adaptive-prasle-mesh,5,2316,1671,2,5,true
78,adaptive-prasle-mesh,5,1822,2085,2,5,true
79,adaptive-prasle-mesh,5,2707,1912,2,5,true
80,adaptive-prasle-mesh,5,2252,2048,2,5,true
81,adaptive-prasle-mesh,5,2382,1874,2,5,true
82,adaptive-prasle-mesh,5,2697,2446,2,5,true
83,adaptive-prasle-mesh,5,1770,2958,2,5,true
84,adaptive-prasle-mesh,5,2387,2176,2,5,true
85,adaptive-prasle-mesh,5,1859,2183,2,5,true
86,adaptive-prasle-mesh,5,1927,1829,2,5,true
87,adaptive-prasle-mesh,5,1764,2109,2,5,true
88,adaptive-prasle-mesh,5,2211,1696,2,5,true
89,adaptive-prasle-mesh,5,1785,2264,2,5,true
90,adaptive-prasle-mesh,5,2099,1991,2,5,true
91,adaptive-prasle-mesh,5,1680,1802,2,5,true
92,adaptive-prasle-mesh,5,2692,2334,2,5,true
93,adaptive-prasle-mesh,5,1970,1709,2,5,true
94,adaptive-prasle-mesh,5,1873,2070,2,5,true
95,adaptive-prasle-mesh,5,1890,2019,2,5,true
96,adaptive-prasle-mesh,5,2593,2101,2,5,true
97,adaptive-prasle-mesh,5,2599,2105,2,5,true
98,adaptive-prasle-mesh,5,2428,1672,2,5,true
99,adaptive-prasle-mesh,5,2418,1977,2,5,true
100,adaptive-prasle-mesh,5,2198,2334,2,5,true
