trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-mesh,5,90,2004,NA
2,adaptive-prasle-mesh,5,90,2478,NA
3,adaptive-prasle-mesh,5,90,1636,NA
4,adaptive-prasle-mesh,5,90,1936,NA
5,adaptive-prasle-mesh,5,90,2377,NA
6,adaptive-prasle-mesh,5,90,2150,NA
7,adaptive-prasle-mesh,5,90,1921,NA
8,adaptive-prasle-mesh,5,90,2089,NA
9,adaptive-prasle-mesh,5,90,1602,NA
10,adaptive-prasle-mesh,5,90,2371,NA
11,adaptive-prasle-mesh,5,90,2526,NA
12,adaptive-prasle-mesh,5,90,1928,NA
13,adaptive-prasle-mesh,5,90,2087,NA
14,adaptive-prasle-mesh,5,90,2072,NA
15,adaptive-prasle-mesh,5,90,1822,NA
16,adaptive-prasle-mesh,5,90,1787,NA
17,adaptive-prasle-mesh,5,90,2485,NA
18,adaptive-prasle-mesh,5,90,2015,NA
19,adaptive-prasle-mesh,5,90,2468,NA
20,adaptive-prasle-mesh,5,90,2026,NA
21,adaptive-prasle-mesh,5,90,1821,NA
22,adaptive-prasle-mesh,5,90,1761,NA
23,adaptive-prasle-mesh,5,90,2224,NA
24,adaptive-prasle-mesh,5,90,1912,NA
25,adaptive-prasle-mesh,5,90,1800,NA
26,adaptive-prasle-mesh,5,90,1803,NA
27,adaptive-prasle-mesh,5,90,1681,NA
28,adaptive-prasle-mesh,5,90,2112,NA
29,adaptive-prasle-mesh,5,90,2486,NA
30,adaptive-prasle-mesh,5,90,1888,NA
31,adaptive-prasle-mesh,5,90,2052,NA
32,adaptive-prasle-mesh,5,90,1900,NA
33,adaptive-prasle-mesh,5,90,1655,NA
34,adaptive-prasle-mesh,5,90,2155,NA
35,adaptive-prasle-mesh,5,90,2070,NA
36,adaptive-prasle-mesh,5,90,1748,NA
37,adaptive-prasle-mesh,5,90,2486,NA
38,adaptive-prasle-mesh,5,90,1923,NA
39,adaptive-prasle-mesh,5,90,1871,NA
40,adaptive-prasle-mesh,5,90,2451,NA
41,adaptive-prasle-mesh,5,90,2216,NA
42,adaptive-prasle-mesh,5,90,1776,NA
43,adaptive-prasle-mesh,5,90,2357,NA
44,adaptive-prasle-mesh,5,90,1740,NA
45,adaptive-prasle-mesh,5,90,2303,NA
46,adaptive-prasle-mesh,5,90,2300,NA
47,adaptive-prasle-mesh,5,90,1774,NA
48,adaptive-prasle-mesh,5,90,2136,NA
49,adaptive-prasle-mesh,5,90,2414,NA
50,adaptive-prasle-mesh,5,90,1598,NA
51,adaptive-prasle-mesh,5,90,2093,NA
52,adaptive-prasle-mesh,5,90,2047,NA
53,adaptive-prasle-mesh,5,90,1902,NA
54,adaptive-prasle-mesh,5,90,2323,NA
55,adaptive-prasle-mesh,5,90,2000,NA
56,adaptive-prasle-mesh,5,90,2087,NA
57,adaptive-prasle-mesh,5,90,2460,NA
58,adaptive-prasle-mesh,5,90,1950,NA
59,adaptive-prasle-mesh,5,90,1901,NA
60,adaptive-prasle-mesh,5,90,1737,NA
61,adaptive-prasle-mesh,5,90,1794,NA
62,adaptive-prasle-mesh,5,90,1701,NA
63,adaptive-prasle-mesh,5,90,2154,NA
64,adaptive-prasle-mesh,5,90,2294,NA
65,adaptive-prasle-mesh,5,90,2675,NA
66,adaptive-prasle-mesh,5,90,1857,NA
67,adaptive-prasle-mesh,5,90,2443,NA
68,adaptive-prasle-mesh,5,90,2461,NA
69,adaptive-prasle-mesh,5,90,2043,NA
70,adaptive-prasle-mesh,5,90,2556,NA
71,adaptive-prasle-mesh,5,90,2084,NA
72,adaptive-prasle-mesh,5,90,2117,NA
73,adaptive-prasle-mesh,5,90,2284,NA
74,adaptive-prasle-mesh,5,90,2073,NA
75,adaptive-prasle-mesh,5,90,1946,NA
76,adaptive-prasle-mesh,5,90,1935,NA
77,adaptive-prasle-mesh,5,90,2012,NA
78,adaptive-prasle-mesh,5,90,2139,NA
79,adaptive-prasle-mesh,5,90,1562,NA
80,adaptive-prasle-mesh,5,90,2194,NA
81,adaptive-prasle-mesh,5,90,2594,NA
82,adaptive-prasle-mesh,5,90,1984,NA
83,adaptive-prasle-mesh,5,90,1848,NA
84,adaptive-prasle-mesh,5,90,2302,NA
85,adaptive-prasle-mesh,5,90,1909,NA
86,adaptive-prasle-mesh,5,90,2211,NA
87,adaptive-prasle-mesh,5,90,1838,NA
88,adaptive-prasle-mesh,5,90,2190,NA
89,adaptive-prasle-mesh,5,90,1494,NA
90,adaptive-prasle-mesh,5,90,2342,NA
91,adaptive-prasle-mesh,5,90,1614,NA
92,adaptive-prasle-mesh,5,90,2208,NA
93,adaptive-prasle-mesh,5,90,2040,NA
94,adaptive-prasle-mesh,5,90,1683,NA
95,adaptive-prasle-mesh,5,90,1708,NA
96,adaptive-prasle-mesh,5,90,1667,NA
97,adaptive-prasle-mesh,5,90,1917,NA
98,adaptive-prasle-mesh,5,90,1545,NA
99,adaptive-prasle-mesh,5,90,1901,NA
100,adaptive-prasle-mesh,5,90,2650,NA
