timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1476,4,bully,1476,1,0,0,1,1,14,14,1,4,0,1476,0,2,0,0,0,LEADER,1,1476000,0,3248,1472752,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1570,5,bully,1570,1,0,0,1,2,14,28,1,4,0,1570,0,2,0,0,0,NORMAL,0,1570000,0,3248,1566752,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2096,1,bully,2096,1,0,0,1,1,14,14,1,1,0,2096,0,2,0,0,0,LEADER,1,2096000,0,3248,2092752,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1965,6,bully,1965,1,0,0,1,2,14,28,1,4,0,1965,0,2,0,0,0,NORMAL,0,1965000,0,3248,1961752,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1591,2,bully,1591,1,0,0,1,2,14,28,1,1,0,1591,0,2,0,0,0,NORMAL,0,1591000,0,3248,1587752,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2339,7,bully,2339,1,0,0,1,2,14,28,1,4,0,2339,0,2,0,0,0,NORMAL,0,2339000,0,3248,2335752,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2203,10,bully,2203,1,0,0,1,1,14,14,1,1,0,2203,0,2,0,0,0,NORMAL,0,2203000,0,3248,2199752,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2266,8,bully,2266,1,0,0,1,3,14,42,1,4,0,2266,0,2,0,0,0,NORMAL,0,2266000,0,3248,2262752,0,0,1,0,0,0,3,0,0,0,0,0,0,0
2008,9,bully,2008,1,0,0,2,1,28,14,1,4,0,2008,0,2,0,0,0,NORMAL,0,2008000,0,6496,2001504,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2397,4,bully,1476,1,0,0,2,2,28,28,1,4,921,1476,0,2,0,0,0,LEADER,1,2397000,0,6496,2390504,0,0,2,0,0,0,2,0,0,0,0,0,0,0
2938,1,bully,2096,1,0,0,1,1,14,14,1,1,842,2096,0,2,0,0,0,LEADER,1,2938000,0,3248,2934752,0,0,1,0,0,0,1,0,0,0,0,0,0,0
