timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1641,2,bully,1641,1,0,0,2,1,28,14,1,1,0,1641,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1525,4,bully,1525,1,0,0,1,1,14,14,1,4,0,1525,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1592,24,bully,1592,1,0,0,1,0,14,0,1,24,0,1592,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1795,41,bully,1795,1,0,0,1,0,14,0,1,41,0,1795,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1762,31,bully,1762,1,0,0,1,0,14,0,1,31,0,1762,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1522,47,bully,1522,1,0,0,1,0,14,0,1,47,0,1522,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1673,12,bully,1673,1,0,0,1,0,14,0,1,12,0,1673,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1455,27,bully,1455,1,0,0,1,0,14,0,1,27,0,1455,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1489,37,bully,1489,1,0,0,1,0,14,0,1,37,0,1489,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1695,11,bully,1695,1,0,0,1,0,14,0,1,11,0,1695,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2101,45,bully,2101,1,0,0,1,0,14,0,1,45,0,2101,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1827,50,bully,1827,1,0,0,2,1,28,14,1,1,0,1827,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1544,46,bully,1544,1,0,0,1,0,14,0,1,46,0,1544,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1931,38,bully,1931,1,0,0,1,0,14,0,1,38,0,1931,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2225,6,bully,2225,1,0,0,2,1,28,14,1,4,0,2225,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1494,5,bully,1494,1,0,0,1,3,14,42,1,4,0,1494,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
1380,1,bully,1380,1,0,0,1,2,14,28,1,1,0,1380,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2116,13,bully,2116,1,0,0,1,0,14,0,1,13,0,2116,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1559,14,bully,1559,1,0,0,1,0,14,0,1,14,0,1559,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1965,48,bully,1965,1,0,0,1,0,14,0,1,48,0,1965,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2204,32,bully,2204,1,0,0,1,0,14,0,1,32,0,2204,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1422,36,bully,1422,1,0,0,1,0,14,0,1,36,0,1422,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1728,21,bully,1728,1,0,0,1,0,14,0,1,21,0,1728,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1865,18,bully,1865,1,0,0,1,0,14,0,1,18,0,1865,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2286,20,bully,2286,1,0,0,1,0,14,0,1,20,0,2286,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2319,30,bully,2319,1,0,0,1,0,14,0,1,30,0,2319,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1659,44,bully,1659,1,0,0,1,0,14,0,1,44,0,1659,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1879,40,bully,1879,1,0,0,1,0,14,0,1,40,0,1879,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,9,bully,2024,1,0,0,2,1,28,14,1,8,0,2024,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1969,16,bully,1969,1,0,0,1,0,14,0,1,16,0,1969,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1980,29,bully,1980,1,0,0,1,0,14,0,1,29,0,1980,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2382,8,bully,2382,1,0,0,2,3,28,42,1,4,0,2382,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
2001,15,bully,2001,1,0,0,1,0,14,0,1,15,0,2001,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2068,35,bully,2068,1,0,0,1,0,14,0,1,35,0,2068,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1680,43,bully,1680,1,0,0,1,0,14,0,1,43,0,1680,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,26,bully,2013,1,0,0,1,0,14,0,1,26,0,2013,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2149,23,bully,2149,1,0,0,1,0,14,0,1,23,0,2149,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1843,19,bully,1843,1,0,0,1,0,14,0,1,19,0,1843,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2083,3,bully,2083,1,0,0,1,4,14,56,1,1,0,2083,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
2512,24,bully,1592,1,0,0,1,0,14,0,1,24,920,1592,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1898,28,bully,1898,1,0,0,1,0,14,0,1,28,0,1898,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2715,41,bully,1795,1,0,0,1,0,14,0,1,41,920,1795,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2682,31,bully,1762,1,0,0,1,0,14,0,1,31,920,1762,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2442,47,bully,1522,1,0,0,1,0,14,0,1,47,920,1522,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2593,12,bully,1673,1,0,0,1,0,14,0,1,12,920,1673,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2375,27,bully,1455,1,0,0,1,0,14,0,1,27,920,1455,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2352,34,bully,2352,1,0,0,1,0,14,0,1,34,0,2352,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2409,37,bully,1489,1,0,0,1,0,14,0,1,37,920,1489,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2071,17,bully,2071,1,0,0,1,0,14,0,1,17,0,2071,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
