trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-ring,50,80,1577,80012,12
2,adaptive-prasle-ring,50,80,1521,80033,33
3,adaptive-prasle-ring,50,80,1558,80011,11
4,adaptive-prasle-ring,50,80,1685,80025,25
5,adaptive-prasle-ring,50,80,1725,80010,10
6,adaptive-prasle-ring,50,80,1670,80040,40
7,adaptive-prasle-ring,50,80,1563,80008,8
8,adaptive-prasle-ring,50,80,1725,80109,109
9,adaptive-prasle-ring,50,80,1608,80118,118
10,adaptive-prasle-ring,50,80,1587,80058,58
11,adaptive-prasle-ring,50,80,1604,80004,4
12,adaptive-prasle-ring,50,80,1634,80043,43
13,adaptive-prasle-ring,50,80,1522,80102,102
14,adaptive-prasle-ring,50,80,1632,80021,21
15,adaptive-prasle-ring,50,80,1835,80024,24
16,adaptive-prasle-ring,50,80,1768,80007,7
17,adaptive-prasle-ring,50,80,1605,80007,7
18,adaptive-prasle-ring,50,80,1690,80021,21
19,adaptive-prasle-ring,50,80,1703,80096,96
20,adaptive-prasle-ring,50,80,1659,80040,40
21,adaptive-prasle-ring,50,80,1791,80012,12
22,adaptive-prasle-ring,50,80,1733,80005,5
23,adaptive-prasle-ring,50,80,1579,80094,94
24,adaptive-prasle-ring,50,80,1528,80013,13
25,adaptive-prasle-ring,50,80,1587,80001,1
26,adaptive-prasle-ring,50,80,1658,80022,22
27,adaptive-prasle-ring,50,80,1571,80021,21
28,adaptive-prasle-ring,50,80,1538,80033,33
29,adaptive-prasle-ring,50,80,1510,80050,50
30,adaptive-prasle-ring,50,80,1596,80002,2
31,adaptive-prasle-ring,50,80,1665,80030,30
32,adaptive-prasle-ring,50,80,1469,80049,49
33,adaptive-prasle-ring,50,80,1542,80032,32
34,adaptive-prasle-ring,50,80,1587,80005,5
35,adaptive-prasle-ring,50,80,1538,80001,1
36,adaptive-prasle-ring,50,80,1485,80031,31
37,adaptive-prasle-ring,50,80,1642,80002,2
38,adaptive-prasle-ring,50,80,1594,80049,49
39,adaptive-prasle-ring,50,80,1562,80085,85
40,adaptive-prasle-ring,50,80,1564,80007,7
41,adaptive-prasle-ring,50,80,1573,80014,14
42,adaptive-prasle-ring,50,80,1714,80025,25
43,adaptive-prasle-ring,50,80,1561,80027,27
44,adaptive-prasle-ring,50,80,1576,80031,31
45,adaptive-prasle-ring,50,80,1559,80191,191
46,adaptive-prasle-ring,50,80,1623,80002,2
47,adaptive-prasle-ring,50,80,1485,80017,17
48,adaptive-prasle-ring,50,80,1576,80038,38
49,adaptive-prasle-ring,50,80,1524,80026,26
50,adaptive-prasle-ring,50,80,1630,80012,12
51,adaptive-prasle-ring,50,80,1519,80045,45
52,adaptive-prasle-ring,50,80,1546,80025,25
53,adaptive-prasle-ring,50,80,1545,80055,55
54,adaptive-prasle-ring,50,80,1539,80073,73
55,adaptive-prasle-ring,50,80,1638,80073,73
56,adaptive-prasle-ring,50,80,1599,80060,60
57,adaptive-prasle-ring,50,80,1520,80088,88
58,adaptive-prasle-ring,50,80,1629,80066,66
59,adaptive-prasle-ring,50,80,1703,80013,13
60,adaptive-prasle-ring,50,80,1665,80038,38
61,adaptive-prasle-ring,50,80,1581,80034,34
62,adaptive-prasle-ring,50,80,1635,80048,48
63,adaptive-prasle-ring,50,80,1500,80025,25
64,adaptive-prasle-ring,50,80,1483,80016,16
65,adaptive-prasle-ring,50,80,1581,80024,24
66,adaptive-prasle-ring,50,80,1519,80050,50
67,adaptive-prasle-ring,50,80,1680,80020,20
68,adaptive-prasle-ring,50,80,1473,80065,65
69,adaptive-prasle-ring,50,80,1678,80011,11
70,adaptive-prasle-ring,50,80,1707,80005,5
71,adaptive-prasle-ring,50,80,1650,80081,81
72,adaptive-prasle-ring,50,80,1680,80033,33
73,adaptive-prasle-ring,50,80,1651,80060,60
74,adaptive-prasle-ring,50,80,1720,80006,6
75,adaptive-prasle-ring,50,80,1463,80001,1
76,adaptive-prasle-ring,50,80,1658,80030,30
77,adaptive-prasle-ring,50,80,1610,80058,58
78,adaptive-prasle-ring,50,80,1465,80006,6
79,adaptive-prasle-ring,50,80,1459,80015,15
80,adaptive-prasle-ring,50,80,1636,80019,19
81,adaptive-prasle-ring,50,80,1649,80069,69
82,adaptive-prasle-ring,50,80,1499,80014,14
83,adaptive-prasle-ring,50,80,1677,80033,33
84,adaptive-prasle-ring,50,80,1455,80053,53
85,adaptive-prasle-ring,50,80,1553,80018,18
86,adaptive-prasle-ring,50,80,1503,80025,25
87,adaptive-prasle-ring,50,80,1604,80015,15
88,adaptive-prasle-ring,50,80,1585,80156,156
89,adaptive-prasle-ring,50,80,1597,80021,21
90,adaptive-prasle-ring,50,80,1524,80001,1
91,adaptive-prasle-ring,50,80,1682,80071,71
92,adaptive-prasle-ring,50,80,1892,80013,13
93,adaptive-prasle-ring,50,80,1674,80018,18
94,adaptive-prasle-ring,50,80,1523,80006,6
95,adaptive-prasle-ring,50,80,1751,80080,80
96,adaptive-prasle-ring,50,80,1656,80055,55
97,adaptive-prasle-ring,50,80,1661,80010,10
98,adaptive-prasle-ring,50,80,1685,80022,22
99,adaptive-prasle-ring,50,80,1570,80163,163
100,adaptive-prasle-ring,50,80,1578,80002,2
