trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-ring,10,2157,2354,5,10,true
2,adaptive-prasle-ring,10,1722,1668,5,10,true
3,adaptive-prasle-ring,10,2473,1551,5,10,true
4,adaptive-prasle-ring,10,2265,2316,5,10,true
5,adaptive-prasle-ring,10,2393,1774,5,10,true
6,adaptive-prasle-ring,10,1894,2203,5,10,true
7,adaptive-prasle-ring,10,2484,2037,5,10,true
8,adaptive-prasle-ring,10,1723,2150,5,10,true
9,adaptive-prasle-ring,10,1917,1794,5,10,true
10,adaptive-prasle-ring,10,1712,2270,5,10,true
