trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-ring,10,70,2015,NA
2,adaptive-prasle-ring,10,70,1871,NA
3,adaptive-prasle-ring,10,70,1686,NA
4,adaptive-prasle-ring,10,70,1538,NA
5,adaptive-prasle-ring,10,70,1431,NA
6,adaptive-prasle-ring,10,70,1886,NA
7,adaptive-prasle-ring,10,70,1809,NA
8,adaptive-prasle-ring,10,70,2082,NA
9,adaptive-prasle-ring,10,70,1753,NA
10,adaptive-prasle-ring,10,70,1589,NA
11,adaptive-prasle-ring,10,70,1931,NA
12,adaptive-prasle-ring,10,70,1737,NA
13,adaptive-prasle-ring,10,70,1768,NA
14,adaptive-prasle-ring,10,70,1507,NA
15,adaptive-prasle-ring,10,70,1656,NA
16,adaptive-prasle-ring,10,70,1712,NA
17,adaptive-prasle-ring,10,70,1817,NA
18,adaptive-prasle-ring,10,70,2109,NA
19,adaptive-prasle-ring,10,70,2305,NA
20,adaptive-prasle-ring,10,70,1867,NA
21,adaptive-prasle-ring,10,70,2140,NA
22,adaptive-prasle-ring,10,70,1948,NA
23,adaptive-prasle-ring,10,70,2053,NA
24,adaptive-prasle-ring,10,70,1833,NA
25,adaptive-prasle-ring,10,70,2038,NA
26,adaptive-prasle-ring,10,70,1465,NA
27,adaptive-prasle-ring,10,70,1745,NA
28,adaptive-prasle-ring,10,70,1796,NA
29,adaptive-prasle-ring,10,70,1731,NA
30,adaptive-prasle-ring,10,70,1723,NA
31,adaptive-prasle-ring,10,70,1697,NA
32,adaptive-prasle-ring,10,70,1815,NA
33,adaptive-prasle-ring,10,70,1835,NA
34,adaptive-prasle-ring,10,70,1689,NA
35,adaptive-prasle-ring,10,70,1892,NA
36,adaptive-prasle-ring,10,70,1889,NA
37,adaptive-prasle-ring,10,70,2096,NA
38,adaptive-prasle-ring,10,70,2006,NA
39,adaptive-prasle-ring,10,70,1708,NA
40,adaptive-prasle-ring,10,70,1697,NA
41,adaptive-prasle-ring,10,70,1790,NA
42,adaptive-prasle-ring,10,70,1796,NA
43,adaptive-prasle-ring,10,70,1760,NA
44,adaptive-prasle-ring,10,70,1645,NA
45,adaptive-prasle-ring,10,70,1712,NA
46,adaptive-prasle-ring,10,70,1915,NA
47,adaptive-prasle-ring,10,70,1855,NA
48,adaptive-prasle-ring,10,70,1891,NA
49,adaptive-prasle-ring,10,70,2074,NA
50,adaptive-prasle-ring,10,70,2128,NA
51,adaptive-prasle-ring,10,70,1860,NA
52,adaptive-prasle-ring,10,70,2162,NA
53,adaptive-prasle-ring,10,70,2114,NA
54,adaptive-prasle-ring,10,70,1645,NA
55,adaptive-prasle-ring,10,70,2267,NA
56,adaptive-prasle-ring,10,70,1636,NA
57,adaptive-prasle-ring,10,70,1588,NA
58,adaptive-prasle-ring,10,70,1634,NA
59,adaptive-prasle-ring,10,70,1749,NA
60,adaptive-prasle-ring,10,70,1638,NA
61,adaptive-prasle-ring,10,70,2015,NA
62,adaptive-prasle-ring,10,70,1737,NA
63,adaptive-prasle-ring,10,70,1766,NA
64,adaptive-prasle-ring,10,70,1609,NA
65,adaptive-prasle-ring,10,70,1697,NA
66,adaptive-prasle-ring,10,70,1688,NA
67,adaptive-prasle-ring,10,70,1967,NA
68,adaptive-prasle-ring,10,70,1733,NA
69,adaptive-prasle-ring,10,70,1570,NA
70,adaptive-prasle-ring,10,70,1823,NA
71,adaptive-prasle-ring,10,70,1897,NA
72,adaptive-prasle-ring,10,70,1922,NA
73,adaptive-prasle-ring,10,70,2027,NA
74,adaptive-prasle-ring,10,70,1630,NA
75,adaptive-prasle-ring,10,70,2089,NA
76,adaptive-prasle-ring,10,70,1761,NA
77,adaptive-prasle-ring,10,70,1874,NA
78,adaptive-prasle-ring,10,70,2083,NA
79,adaptive-prasle-ring,10,70,1997,NA
80,adaptive-prasle-ring,10,70,1742,NA
81,adaptive-prasle-ring,10,70,1709,NA
82,adaptive-prasle-ring,10,70,1954,NA
83,adaptive-prasle-ring,10,70,1597,NA
84,adaptive-prasle-ring,10,70,1823,NA
85,adaptive-prasle-ring,10,70,2064,NA
86,adaptive-prasle-ring,10,70,1806,NA
87,adaptive-prasle-ring,10,70,2121,NA
88,adaptive-prasle-ring,10,70,1707,NA
89,adaptive-prasle-ring,10,70,1562,NA
90,adaptive-prasle-ring,10,70,1950,NA
91,adaptive-prasle-ring,10,70,1484,NA
92,adaptive-prasle-ring,10,70,2127,NA
93,adaptive-prasle-ring,10,70,1873,NA
94,adaptive-prasle-ring,10,70,1949,NA
95,adaptive-prasle-ring,10,70,1560,NA
96,adaptive-prasle-ring,10,70,2087,NA
97,adaptive-prasle-ring,10,70,2076,NA
98,adaptive-prasle-ring,10,70,1944,NA
99,adaptive-prasle-ring,10,70,1755,NA
100,adaptive-prasle-ring,10,70,2026,NA
