timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1856,7,bully,1856,1,0,0,2,7,28,98,1,1,0,1856,0,2,0,0,0,NORMAL,0,1856000,0,3248,1852752,0,0,2,0,0,0,7,0,0,0,0,0,0,0
1626,5,bully,1626,1,0,0,2,6,28,84,1,1,0,1626,0,2,0,0,0,NORMAL,0,1626000,0,6496,1619504,0,0,2,0,0,0,6,0,0,0,0,0,0,0
1934,1,bully,1934,1,0,0,1,9,14,126,1,1,0,1934,0,2,0,0,0,LEADER,1,1934000,0,3248,1930752,0,0,1,0,0,0,9,0,0,0,0,0,0,0
1715,4,bully,1715,1,0,0,1,9,14,126,1,1,0,1715,0,2,0,0,0,NORMAL,0,1715000,0,3248,1711752,0,0,1,0,0,0,9,0,0,0,0,0,0,0
2226,6,bully,2226,1,0,0,1,9,14,126,1,1,0,2226,0,2,0,0,0,NORMAL,0,2226000,0,3248,2222752,0,0,1,0,0,0,9,0,0,0,0,0,0,0
1820,2,bully,1820,1,0,0,1,9,14,126,1,1,0,1820,0,2,0,0,0,NORMAL,0,1820000,0,3248,1816752,0,0,1,0,0,0,9,0,0,0,0,0,0,0
1921,9,bully,1921,1,0,0,1,10,14,140,1,1,0,1921,0,2,0,0,0,NORMAL,0,1921000,0,3248,1917752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
1971,8,bully,1971,1,0,0,1,10,14,140,1,1,0,1971,0,2,0,0,0,NORMAL,0,1971000,0,3248,1967752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
2660,5,bully,1626,1,0,0,2,9,28,126,1,1,1034,1626,0,2,0,0,0,NORMAL,0,2660000,0,6496,2653504,0,0,2,0,0,0,9,0,0,0,0,0,0,0
2222,3,bully,2222,1,0,0,1,9,14,126,1,1,0,2222,0,2,0,0,0,NORMAL,0,2221752,0,3248,2218504,0,0,1,0,0,0,9,0,0,0,0,0,0,0
2710,4,bully,1715,1,0,0,1,10,14,140,1,1,995,1715,0,2,0,0,0,NORMAL,0,2710000,0,3248,2706752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
2526,10,bully,2526,1,0,0,1,10,14,140,1,1,0,2526,0,2,0,0,0,NORMAL,0,2526000,0,3248,2522752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
2799,9,bully,1921,1,0,0,1,10,14,140,1,1,878,1921,0,2,0,0,0,NORMAL,0,2799000,0,3248,2795752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
2860,2,bully,1820,1,0,0,1,10,14,140,1,1,1040,1820,0,2,0,0,0,NORMAL,0,2860000,0,3248,2856752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
3253,1,bully,1934,1,0,0,1,10,14,140,1,1,1319,1934,0,2,0,0,0,LEADER,1,3253000,0,3248,3249752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
3356,6,bully,2226,1,0,0,1,10,14,140,1,1,1130,2226,0,2,0,0,0,NORMAL,0,3356000,0,3248,3352752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
3715,7,bully,1856,1,0,0,2,9,28,126,1,1,1859,1856,0,2,0,0,0,NORMAL,0,3715000,0,6496,3708504,0,0,2,0,0,0,9,0,0,0,0,0,0,0
3694,5,bully,1626,1,0,0,2,9,28,126,1,1,2068,1626,0,2,0,0,0,NORMAL,0,3694000,0,6496,3687504,0,0,2,0,0,0,9,0,0,0,0,0,0,0
3142,3,bully,2222,1,0,0,1,9,14,126,1,1,920,2222,0,2,0,0,0,NORMAL,0,3141752,0,3248,3138504,0,0,1,0,0,0,9,0,0,0,0,0,0,0
3705,4,bully,1715,1,0,0,1,10,14,140,1,1,1990,1715,0,2,0,0,0,NORMAL,0,3705000,0,3248,3701752,0,0,1,0,0,0,10,0,0,0,0,0,0,0
