trial,algorithm,node_count,convergence_time_ms
1,adaptive-prasle,50,1603
2,adaptive-prasle,50,1627
3,adaptive-prasle,50,1775
6,adaptive-prasle,50,1568
8,adaptive-prasle,50,1761
4,adaptive-prasle,50,1591
13,adaptive-prasle,50,1607
12,adaptive-prasle,50,1485
7,adaptive-prasle,50,1889
5,adaptive-prasle,50,1977
10,adaptive-prasle,50,1775
9,adaptive-prasle,50,1616
14,adaptive-prasle,50,1841
11,adaptive-prasle,50,2074
15,adaptive-prasle,50,1874
16,adaptive-prasle,50,1479
19,adaptive-prasle,50,1549
17,adaptive-prasle,50,1582
18,adaptive-prasle,50,1483
20,adaptive-prasle,50,1764
22,adaptive-prasle,50,1740
21,adaptive-prasle,50,1657
28,adaptive-prasle,50,1547
25,adaptive-prasle,50,1546
24,adaptive-prasle,50,1513
23,adaptive-prasle,50,1666
27,adaptive-prasle,50,1569
26,adaptive-prasle,50,1714
29,adaptive-prasle,50,1628
32,adaptive-prasle,50,1870
33,adaptive-prasle,50,1626
30,adaptive-prasle,50,1649
31,adaptive-prasle,50,1747
35,adaptive-prasle,50,1973
34,adaptive-prasle,50,1618
37,adaptive-prasle,50,1751
36,adaptive-prasle,50,1601
40,adaptive-prasle,50,1933
38,adaptive-prasle,50,1542
42,adaptive-prasle,50,1720
41,adaptive-prasle,50,1835
39,adaptive-prasle,50,1653
43,adaptive-prasle,50,1529
45,adaptive-prasle,50,1738
47,adaptive-prasle,50,1574
46,adaptive-prasle,50,1839
44,adaptive-prasle,50,1768
52,adaptive-prasle,50,1749
49,adaptive-prasle,50,1676
51,adaptive-prasle,50,1717
53,adaptive-prasle,50,1861
48,adaptive-prasle,50,1595
54,adaptive-prasle,50,1663
56,adaptive-prasle,50,1715
50,adaptive-prasle,50,1634
55,adaptive-prasle,50,1522
57,adaptive-prasle,50,1607
60,adaptive-prasle,50,1497
59,adaptive-prasle,50,1580
58,adaptive-prasle,50,1669
64,adaptive-prasle,50,1747
66,adaptive-prasle,50,1480
61,adaptive-prasle,50,1820
62,adaptive-prasle,50,1535
63,adaptive-prasle,50,1627
68,adaptive-prasle,50,1744
65,adaptive-prasle,50,1617
67,adaptive-prasle,50,1845
70,adaptive-prasle,50,1583
69,adaptive-prasle,50,1980
71,adaptive-prasle,50,1700
72,adaptive-prasle,50,1697
74,adaptive-prasle,50,1648
73,adaptive-prasle,50,1608
75,adaptive-prasle,50,1694
78,adaptive-prasle,50,1545
76,adaptive-prasle,50,1524
77,adaptive-prasle,50,1841
81,adaptive-prasle,50,1559
79,adaptive-prasle,50,1503
80,adaptive-prasle,50,1614
83,adaptive-prasle,50,1607
84,adaptive-prasle,50,1753
82,adaptive-prasle,50,1562
85,adaptive-prasle,50,1554
86,adaptive-prasle,50,1730
91,adaptive-prasle,50,1819
88,adaptive-prasle,50,1515
89,adaptive-prasle,50,1843
92,adaptive-prasle,50,2007
90,adaptive-prasle,50,1609
87,adaptive-prasle,50,1500
93,adaptive-prasle,50,1573
95,adaptive-prasle,50,1679
94,adaptive-prasle,50,1844
98,adaptive-prasle,50,1720
97,adaptive-prasle,50,1761
96,adaptive-prasle,50,1683
99,adaptive-prasle,50,1485
100,adaptive-prasle,50,1576
