trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle,5,50,1930,NA
2,adaptive-prasle,5,50,1666,NA
3,adaptive-prasle,5,50,1845,NA
4,adaptive-prasle,5,50,2477,NA
5,adaptive-prasle,5,50,2179,NA
6,adaptive-prasle,5,50,1471,NA
7,adaptive-prasle,5,50,2185,NA
8,adaptive-prasle,5,50,1624,NA
9,adaptive-prasle,5,50,1728,NA
10,adaptive-prasle,5,50,1814,NA
11,adaptive-prasle,5,50,2078,NA
12,adaptive-prasle,5,50,1746,NA
13,adaptive-prasle,5,50,2138,NA
14,adaptive-prasle,5,50,1648,NA
15,adaptive-prasle,5,50,1668,NA
16,adaptive-prasle,5,50,2564,NA
17,adaptive-prasle,5,50,2177,NA
18,adaptive-prasle,5,50,1722,NA
19,adaptive-prasle,5,50,2284,NA
20,adaptive-prasle,5,50,2086,NA
21,adaptive-prasle,5,50,1748,NA
22,adaptive-prasle,5,50,1613,NA
23,adaptive-prasle,5,50,1947,NA
24,adaptive-prasle,5,50,1676,NA
25,adaptive-prasle,5,50,2198,NA
26,adaptive-prasle,5,50,1643,NA
27,adaptive-prasle,5,50,1925,NA
28,adaptive-prasle,5,50,2031,NA
29,adaptive-prasle,5,50,1909,NA
30,adaptive-prasle,5,50,1717,NA
31,adaptive-prasle,5,50,1996,NA
32,adaptive-prasle,5,50,2008,NA
33,adaptive-prasle,5,50,1730,NA
34,adaptive-prasle,5,50,2405,NA
35,adaptive-prasle,5,50,2133,NA
36,adaptive-prasle,5,50,2383,NA
37,adaptive-prasle,5,50,1591,NA
38,adaptive-prasle,5,50,1816,NA
39,adaptive-prasle,5,50,1970,NA
40,adaptive-prasle,5,50,2275,NA
41,adaptive-prasle,5,50,1990,NA
42,adaptive-prasle,5,50,1616,NA
43,adaptive-prasle,5,50,2024,NA
44,adaptive-prasle,5,50,1727,NA
45,adaptive-prasle,5,50,1683,NA
46,adaptive-prasle,5,50,2020,NA
47,adaptive-prasle,5,50,1931,NA
48,adaptive-prasle,5,50,1865,NA
49,adaptive-prasle,5,50,2039,NA
50,adaptive-prasle,5,50,1639,NA
51,adaptive-prasle,5,50,2060,NA
52,adaptive-prasle,5,50,1911,NA
53,adaptive-prasle,5,50,1691,NA
54,adaptive-prasle,5,50,2303,NA
55,adaptive-prasle,5,50,1722,NA
56,adaptive-prasle,5,50,2727,NA
57,adaptive-prasle,5,50,1983,NA
58,adaptive-prasle,5,50,2198,NA
59,adaptive-prasle,5,50,1934,NA
60,adaptive-prasle,5,50,1811,NA
61,adaptive-prasle,5,50,2499,NA
62,adaptive-prasle,5,50,1998,NA
63,adaptive-prasle,5,50,2057,NA
64,adaptive-prasle,5,50,2161,NA
65,adaptive-prasle,5,50,2090,NA
66,adaptive-prasle,5,50,2253,NA
67,adaptive-prasle,5,50,2151,NA
68,adaptive-prasle,5,50,2297,NA
69,adaptive-prasle,5,50,1922,NA
70,adaptive-prasle,5,50,2251,NA
71,adaptive-prasle,5,50,2021,NA
72,adaptive-prasle,5,50,1617,NA
73,adaptive-prasle,5,50,2400,NA
74,adaptive-prasle,5,50,1881,NA
75,adaptive-prasle,5,50,1686,NA
76,adaptive-prasle,5,50,1863,NA
77,adaptive-prasle,5,50,2222,NA
78,adaptive-prasle,5,50,1756,NA
79,adaptive-prasle,5,50,2098,NA
80,adaptive-prasle,5,50,1962,NA
81,adaptive-prasle,5,50,1896,NA
82,adaptive-prasle,5,50,2122,NA
83,adaptive-prasle,5,50,2067,NA
84,adaptive-prasle,5,50,2154,NA
85,adaptive-prasle,5,50,2616,NA
86,adaptive-prasle,5,50,2143,NA
87,adaptive-prasle,5,50,2407,NA
88,adaptive-prasle,5,50,2285,NA
89,adaptive-prasle,5,50,1864,NA
90,adaptive-prasle,5,50,1865,NA
91,adaptive-prasle,5,50,1586,NA
92,adaptive-prasle,5,50,1775,NA
93,adaptive-prasle,5,50,1507,NA
94,adaptive-prasle,5,50,1609,NA
95,adaptive-prasle,5,50,1865,NA
96,adaptive-prasle,5,50,2278,NA
97,adaptive-prasle,5,50,2192,NA
98,adaptive-prasle,5,50,1754,NA
99,adaptive-prasle,5,50,1931,NA
100,adaptive-prasle,5,50,1652,NA
