timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
10120,61,adaptive-prasle,7853,8,1,27,121,2228,968,17824,20,82,1398,4603,4000,30,1,0,4,NORMAL,0,0,0,0,0,121
10069,9,adaptive-prasle,6316,2,2,93,16,2262,128,18096,37,82,3753,93,6155,45,1,0,6,NORMAL,0,0,0,0,0,16
10241,90,adaptive-prasle,8384,7,2,4143,144,2273,1152,18184,5,99,298,5702,4000,13,2,0,7,ELECTION,0,0,0,0,0,144
10039,73,adaptive-prasle,8077,8,2,4039,132,2260,1056,18080,15,82,1386,4615,4000,25,2,0,7,NORMAL,0,0,0,0,0,132
10189,38,adaptive-prasle,6448,5,2,403,63,2282,504,18256,36,78,3592,688,5720,46,1,0,8,NORMAL,0,0,0,0,0,63
10036,83,adaptive-prasle,8153,9,3,2539,138,2278,1104,18224,9,98,619,4147,5234,22,1,0,8,ELECTION,0,0,0,0,0,138
10475,43,adaptive-prasle,6606,6,3,566,81,2307,648,18456,37,56,3687,748,5566,49,1,0,8,NORMAL,0,0,0,0,0,81
10175,70,adaptive-prasle,7895,10,1,54,132,2298,1056,18384,18,98,1476,4525,4000,30,1,0,8,ELECTION,0,0,0,0,0,132
10254,85,adaptive-prasle,8303,9,3,3491,142,2307,1136,18456,7,98,424,5745,3831,19,0,0,8,ELECTION,0,0,0,0,0,142
10312,67,adaptive-prasle,7624,10,3,981,131,2314,1048,18512,23,98,1697,3019,5285,37,1,0,8,ELECTION,0,0,0,0,0,131
10378,87,adaptive-prasle,8416,9,3,769,145,2328,1160,18624,5,98,304,3476,6221,17,1,0,8,ELECTION,0,0,0,0,0,145
10298,99,adaptive-prasle,4297,2,2,8002,235,2326,1880,18608,1,99,2000,8002,0,4,1,3,8,LEADER,1,0,0,0,0,235
10625,8,adaptive-prasle,6547,2,2,1736,14,2344,112,18752,41,56,4078,1736,4186,49,1,0,8,NORMAL,0,0,0,0,0,14
10205,6,adaptive-prasle,6121,2,2,341,11,2317,88,18536,41,56,4084,341,5576,49,1,0,8,NORMAL,0,0,0,0,0,11
10514,84,adaptive-prasle,4514,7,1,4000,181,2346,1448,18768,8,98,2377,7623,0,15,1,1,9,ELECTION,0,0,0,0,0,181
10530,52,adaptive-prasle,6481,11,2,314,116,2349,928,18792,33,81,3467,1032,5502,50,1,0,10,NORMAL,0,0,0,0,0,116
10610,44,adaptive-prasle,4610,5,1,4000,101,2358,808,18864,39,81,5682,4318,0,48,1,0,11,NORMAL,0,0,0,0,0,101
10611,40,adaptive-prasle,6511,6,3,285,69,2356,552,18848,42,81,3951,523,5527,54,1,0,11,NORMAL,0,0,0,0,0,69
