trial,algorithm,node_count,convergence_time_ms
8,bully,100,4420
3,bully,100,4726
10,bully,100,4507
1,bully,100,4458
11,bully,100,4466
2,bully,100,4446
7,bully,100,4384
14,bully,100,4619
9,bully,100,4180
6,bully,100,4376
5,bully,100,4341
4,bully,100,4460
12,bully,100,4461
13,bully,100,4586
16,bully,100,4612
18,bully,100,4699
27,bully,100,4596
15,bully,100,4744
19,bully,100,4637
21,bully,100,4452
22,bully,100,4441
17,bully,100,4087
26,bully,100,4520
28,bully,100,4734
20,bully,100,4518
24,bully,100,4567
25,bully,100,4546
23,bully,100,4572
29,bully,100,4384
33,bully,100,4280
37,bully,100,4636
31,bully,100,4363
36,bully,100,4664
30,bully,100,4110
35,bully,100,4452
34,bully,100,4803
32,bully,100,4174
38,bully,100,4271
39,bully,100,4735
42,bully,100,4445
40,bully,100,4493
41,bully,100,4669
44,bully,100,4554
51,bully,100,4770
43,bully,100,4314
52,bully,100,4658
50,bully,100,4408
48,bully,100,4739
46,bully,100,4113
54,bully,100,4548
55,bully,100,4503
47,bully,100,4771
49,bully,100,4310
56,bully,100,4618
53,bully,100,4530
45,bully,100,4499
59,bully,100,4454
57,bully,100,4305
61,bully,100,4629
58,bully,100,4082
60,bully,100,4402
67,bully,100,4264
62,bully,100,4507
63,bully,100,4493
64,bully,100,4725
65,bully,100,4563
66,bully,100,4708
69,bully,100,4626
68,bully,100,4352
71,bully,100,4697
70,bully,100,4743
76,bully,100,4527
74,bully,100,4679
75,bully,100,4654
73,bully,100,4526
72,bully,100,4117
78,bully,100,4428
79,bully,100,4081
81,bully,100,4527
84,bully,100,4627
85,bully,100,4531
77,bully,100,4682
83,bully,100,4740
80,bully,100,4233
82,bully,100,4619
86,bully,100,4669
87,bully,100,4548
91,bully,100,4795
92,bully,100,4066
90,bully,100,4756
88,bully,100,4396
95,bully,100,4755
96,bully,100,4529
94,bully,100,4705
89,bully,100,4700
97,bully,100,4430
93,bully,100,4666
98,bully,100,4513
99,bully,100,4241
100,bully,100,4485
