timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10147,1,bully,4575,2,2,94,2,64,16,512,2,10,5572,94,4335,7,1,0,1,NORMAL,0,10147000,0,6112,10140888,0,2,2,0,0,0,11,49,3,1,0,0,0,0
10011,4,bully,4199,2,2,57,5,59,40,472,2,10,5812,57,4132,7,1,0,1,NORMAL,0,10011000,0,15280,9995720,0,2,2,3,0,0,10,45,3,1,0,0,0,0
10432,6,bully,4480,2,1,33,9,58,72,464,2,10,5952,49,4000,6,1,0,2,NORMAL,0,10432000,0,31504,10400496,0,1,2,7,0,0,11,42,3,2,0,0,0,0
10296,9,bully,4296,1,1,4001,13,51,104,408,2,10,6000,4001,0,3,1,0,2,LEADER,1,10296000,0,40728,10255272,1,0,1,10,2,0,11,37,1,2,0,0,1,0
11126,2,bully,4614,1,1,37,3,64,24,512,2,10,6512,37,3452,5,0,0,2,NORMAL,0,11126000,0,9168,11116832,0,1,1,2,0,0,12,47,3,2,0,0,0,0
10568,3,bully,3855,1,1,17,3,55,24,440,2,10,6713,17,3271,5,0,0,2,NORMAL,0,10568000,0,9168,10558832,0,1,1,2,0,0,8,42,3,2,0,0,0,0
11453,5,bully,4101,1,1,34,5,56,40,448,2,10,7352,34,2615,5,0,0,2,NORMAL,0,11453000,0,16280,11436720,0,1,1,4,0,0,10,41,3,2,0,0,0,0
11317,8,bully,3832,1,1,40,8,50,64,400,2,10,7485,40,2476,5,0,0,2,NORMAL,0,11317000,0,25448,11291552,0,1,1,7,0,0,8,37,3,2,0,0,0,0
11739,10,bully,5738,1,1,4001,13,46,104,368,1,10,6001,4001,0,2,1,3,0,LEADER,1,11739000,0,37672,11701328,1,0,1,8,1,3,8,36,2,0,0,2,0,0
11875,7,bully,3998,1,1,24,7,52,56,416,2,10,7877,24,2100,5,0,0,2,NORMAL,0,11875000,0,22392,11852608,0,1,1,6,0,0,9,38,3,2,0,0,0,0
20147,1,bully,4575,2,2,94,2,69,16,552,2,10,15572,94,4335,7,1,0,6,NORMAL,0,20147000,0,6112,20140888,0,2,2,0,0,0,11,49,3,6,0,0,0,0
20011,4,bully,4199,2,2,57,5,64,40,512,2,10,15812,57,4132,7,1,0,6,NORMAL,0,20011000,0,18080,19992920,0,2,2,3,0,0,10,45,3,6,0,0,0,0
20432,6,bully,4480,2,1,33,9,63,72,504,2,10,15952,49,4000,6,1,0,7,NORMAL,0,20432000,0,31504,20400496,0,1,2,7,0,0,11,42,3,7,0,0,0,0
20296,9,bully,4296,1,1,4001,13,56,104,448,2,10,16000,4001,0,3,1,0,7,LEADER,1,20296000,0,40728,20255272,1,0,1,10,2,0,11,37,1,7,0,0,1,0
21126,2,bully,4614,1,1,37,3,69,24,552,2,10,16512,37,3452,5,0,0,7,NORMAL,0,21126000,0,9168,21116832,0,1,1,2,0,0,12,47,3,7,0,0,0,0
20568,3,bully,3855,1,1,17,3,60,24,480,2,10,16713,17,3271,5,0,0,7,NORMAL,0,20568000,0,9168,20558832,0,1,1,2,0,0,8,42,3,7,0,0,0,0
21453,5,bully,4101,1,1,34,5,61,40,488,2,10,17352,34,2615,5,0,0,7,NORMAL,0,21453000,0,19080,21433920,0,1,1,4,0,0,10,41,3,7,0,0,0,0
21317,8,bully,3832,1,1,40,8,55,64,440,2,10,17485,40,2476,5,0,0,7,NORMAL,0,21317000,0,25448,21291552,0,1,1,7,0,0,8,37,3,7,0,0,0,0
21739,10,bully,5738,1,1,4001,18,46,144,368,1,10,16001,4001,0,2,1,8,0,LEADER,1,21739000,0,52952,21686048,1,0,1,8,1,8,8,36,2,0,0,2,0,0
21875,7,bully,3998,1,1,24,7,57,56,456,2,10,17877,24,2100,5,0,0,7,NORMAL,0,21875000,0,22392,21852608,0,1,1,6,0,0,9,38,3,7,0,0,0,0
30147,1,bully,4575,2,2,94,2,74,16,592,2,10,25572,94,4335,7,1,0,11,NORMAL,0,30147000,0,6112,30140888,0,2,2,0,0,0,11,49,3,11,0,0,0,0
30011,4,bully,4199,2,2,57,5,69,40,552,2,10,25812,57,4132,7,1,0,11,NORMAL,0,30011000,0,18080,29992920,0,2,2,3,0,0,10,45,3,11,0,0,0,0
30432,6,bully,4480,2,1,33,9,68,72,544,2,10,25952,49,4000,6,1,0,12,NORMAL,0,30432000,0,34304,30397696,0,1,2,7,0,0,11,42,3,12,0,0,0,0
30296,9,bully,4296,1,1,4001,13,61,104,488,2,10,26000,4001,0,3,1,0,12,LEADER,1,30296000,0,40728,30255272,1,0,1,10,2,0,11,37,1,12,0,0,1,0
31126,2,bully,4614,1,1,37,3,74,24,592,2,10,26512,37,3452,5,0,0,12,NORMAL,0,31126000,0,9168,31116832,0,1,1,2,0,0,12,47,3,12,0,0,0,0
30568,3,bully,3855,1,1,17,3,65,24,520,2,10,26713,17,3271,5,0,0,12,NORMAL,0,30568000,0,9168,30558832,0,1,1,2,0,0,8,42,3,12,0,0,0,0
31453,5,bully,4101,1,1,34,5,66,40,528,2,10,27352,34,2615,5,0,0,12,NORMAL,0,31453000,0,19080,31433920,0,1,1,4,0,0,10,41,3,12,0,0,0,0
