trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,bully,100,4561,5342,50,100,true
2,bully,100,4290,4615,50,100,true
3,bully,100,5390,5129,50,100,true
4,bully,100,5055,5176,50,100,true
5,bully,100,4765,5450,50,100,true
6,bully,100,5687,5284,50,100,true
7,bully,100,4224,5025,50,100,true
8,bully,100,4329,4063,50,100,true
9,bully,100,5209,5274,50,100,true
10,bully,100,5616,5075,50,100,true
11,bully,100,4416,4782,50,100,true
12,bully,100,5215,4496,50,100,true
13,bully,100,4372,4544,50,100,true
14,bully,100,4121,4760,50,100,true
15,bully,100,5313,5066,50,100,true
16,bully,100,5157,4136,50,100,true
17,bully,100,4631,4939,50,100,true
18,bully,100,4781,4485,50,100,true
19,bully,100,4955,5380,50,100,true
20,bully,100,5175,5461,50,100,true
21,bully,100,5295,4111,50,100,true
22,bully,100,5447,5149,50,100,true
23,bully,100,4118,4282,50,100,true
24,bully,100,4861,4249,50,100,true
25,bully,100,5045,5210,50,100,true
26,bully,100,5330,4516,50,100,true
27,bully,100,4113,4708,50,100,true
28,bully,100,5274,4118,50,100,true
29,bully,100,4746,4667,50,100,true
30,bully,100,4696,5094,50,100,true
31,bully,100,4631,5645,50,100,true
32,bully,100,5332,5420,50,100,true
33,bully,100,5078,4121,50,100,true
34,bully,100,4525,4481,50,100,true
35,bully,100,4882,5324,50,100,true
36,bully,100,5498,4970,50,100,true
37,bully,100,4715,4315,50,100,true
38,bully,100,5359,4233,50,100,true
39,bully,100,4826,5537,50,100,true
40,bully,100,5063,4643,50,100,true
41,bully,100,4054,4210,50,100,true
42,bully,100,4756,5297,50,100,true
43,bully,100,4623,5173,50,100,true
44,bully,100,5054,5039,50,100,true
45,bully,100,5617,5171,50,100,true
46,bully,100,5031,5232,50,100,true
47,bully,100,5119,5682,50,100,true
48,bully,100,4950,4099,50,100,true
49,bully,100,4854,4041,50,100,true
50,bully,100,4607,4212,50,100,true
51,bully,100,5279,4164,50,100,true
52,bully,100,4885,4795,50,100,true
53,bully,100,5615,5559,50,100,true
54,bully,100,4938,4820,50,100,true
55,bully,100,5176,5288,50,100,true
56,bully,100,5344,4970,50,100,true
57,bully,100,5123,5474,50,100,true
58,bully,100,4143,4843,50,100,true
59,bully,100,4535,4596,50,100,true
60,bully,100,4252,5771,50,100,true
61,bully,100,4250,4392,50,100,true
62,bully,100,4216,4788,50,100,true
63,bully,100,4541,4862,50,100,true
64,bully,100,4921,5365,50,100,true
65,bully,100,4590,4922,50,100,true
66,bully,100,4281,5190,50,100,true
67,bully,100,5137,5897,50,100,true
68,bully,100,5266,5346,50,100,true
69,bully,100,4634,5445,50,100,true
70,bully,100,5088,4705,50,100,true
71,bully,100,5334,5337,50,100,true
72,bully,100,5718,4090,50,100,true
73,bully,100,4671,4375,50,100,true
74,bully,100,5513,5236,50,100,true
75,bully,100,4365,4845,50,100,true
76,bully,100,4075,5176,50,100,true
77,bully,100,4960,4921,50,100,true
78,bully,100,4145,5202,50,100,true
79,bully,100,4821,5081,50,100,true
80,bully,100,5175,5345,50,100,true
81,bully,100,5614,5338,50,100,true
82,bully,100,5714,5039,50,100,true
83,bully,100,4267,4123,50,100,true
84,bully,100,4128,4850,50,100,true
85,bully,100,5361,5176,50,100,true
86,bully,100,4366,4860,50,100,true
87,bully,100,5185,4815,50,100,true
88,bully,100,4711,5299,50,100,true
89,bully,100,5010,5021,50,100,true
90,bully,100,4916,5167,50,100,true
91,bully,100,4922,5060,50,100,true
92,bully,100,4070,5415,50,100,true
93,bully,100,4911,4314,50,100,true
94,bully,100,4892,4832,50,100,true
95,bully,100,5152,5223,50,100,true
96,bully,100,5420,4523,50,100,true
97,bully,100,4935,5161,50,100,true
98,bully,100,4456,5280,50,100,true
99,bully,100,5566,5024,50,100,true
100,bully,100,5070,4995,50,100,true
