trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,bully,10,70,4159,NA
2,bully,10,70,5604,NA
3,bully,10,70,4417,NA
4,bully,10,70,4302,NA
5,bully,10,70,5091,NA
6,bully,10,70,4846,NA
7,bully,10,70,4416,NA
8,bully,10,70,5059,NA
9,bully,10,70,4705,NA
10,bully,10,70,4501,NA
11,bully,10,70,5215,NA
12,bully,10,70,4930,NA
13,bully,10,70,4624,NA
14,bully,10,70,4136,NA
15,bully,10,70,4102,NA
16,bully,10,70,4607,NA
17,bully,10,70,4325,NA
18,bully,10,70,5200,NA
19,bully,10,70,4481,NA
20,bully,10,70,4548,NA
21,bully,10,70,4548,NA
22,bully,10,70,5885,NA
23,bully,10,70,4433,NA
24,bully,10,70,4424,NA
25,bully,10,70,4943,NA
26,bully,10,70,4705,NA
27,bully,10,70,5553,NA
28,bully,10,70,5099,NA
29,bully,10,70,5158,NA
30,bully,10,70,5225,NA
31,bully,10,70,4254,NA
32,bully,10,70,4390,NA
33,bully,10,70,4807,NA
34,bully,10,70,4526,NA
35,bully,10,70,4138,NA
36,bully,10,70,4901,NA
37,bully,10,70,4664,NA
38,bully,10,70,4515,NA
39,bully,10,70,4501,NA
40,bully,10,70,4290,NA
41,bully,10,70,4318,NA
42,bully,10,70,4259,NA
43,bully,10,70,4325,NA
44,bully,10,70,4424,NA
45,bully,10,70,4572,NA
46,bully,10,70,4374,NA
47,bully,10,70,4651,NA
48,bully,10,70,4812,NA
49,bully,10,70,5066,NA
50,bully,10,70,5044,NA
51,bully,10,70,5286,NA
52,bully,10,70,5173,NA
53,bully,10,70,4307,NA
54,bully,10,70,4766,NA
55,bully,10,70,4482,NA
56,bully,10,70,5054,NA
57,bully,10,70,5084,NA
58,bully,10,70,4975,NA
59,bully,10,70,4731,NA
60,bully,10,70,4404,NA
61,bully,10,70,5269,NA
62,bully,10,70,5336,NA
63,bully,10,70,5750,NA
64,bully,10,70,5080,NA
65,bully,10,70,4522,NA
66,bully,10,70,5722,NA
67,bully,10,70,4456,NA
68,bully,10,70,4616,NA
69,bully,10,70,5570,NA
70,bully,10,70,4986,NA
71,bully,10,70,5158,NA
72,bully,10,70,4796,NA
73,bully,10,70,4348,NA
74,bully,10,70,4789,NA
75,bully,10,70,4209,NA
76,bully,10,70,5076,NA
77,bully,10,70,4528,NA
78,bully,10,70,4759,NA
79,bully,10,70,4833,NA
80,bully,10,70,4874,NA
81,bully,10,70,4266,NA
82,bully,10,70,4458,NA
83,bully,10,70,4873,NA
84,bully,10,70,4740,NA
85,bully,10,70,4476,NA
86,bully,10,70,4804,NA
87,bully,10,70,4705,NA
88,bully,10,70,4627,NA
89,bully,10,70,4869,NA
90,bully,10,70,4652,NA
91,bully,10,70,5013,NA
92,bully,10,70,4883,NA
93,bully,10,70,5136,NA
94,bully,10,70,4415,NA
95,bully,10,70,4302,NA
96,bully,10,70,4968,NA
97,bully,10,70,5023,NA
98,bully,10,70,4658,NA
99,bully,10,70,5100,NA
100,bully,10,70,5214,NA
