Algorithm,Nodes,Conv. Mean (ms),Conv. Std (ms),Conv. 95% CI,Messages Mean,Messages Std,Elections Mean,Leader Changes Mean,Trials
Bully,5,5051.10,551.66,±341.92,17.9,45.1,1.0,1.1,10
Bully,10,5200.40,619.31,±383.85,21.8,44.2,1.0,1.0,10
Bully,50,5174.80,252.27,±156.36,65.8,67.7,2.6,10.0,10
Bully,100,4509.60,138.60,±85.90,94.6,67.0,5.9,51.8,10
Ring,5,1080.70,608.22,±376.98,146.6,0.5,0.4,1.0,10
Ring,10,1463.60,646.96,±400.99,146.5,0.5,0.3,1.0,10
Ring,50,2880.30,329.19,±204.03,145.6,0.7,0.0,1.0,10
Ring,100,6740.00,1476.45,±915.11,175.0,21.3,0.0,1.0,10
PraSLE,5,3222.90,278.71,±172.75,387.9,1.4,1.0,1.0,10
PraSLE,10,2962.70,103.32,±64.04,388.8,1.5,1.0,1.0,10
PraSLE,50,2850.10,92.40,±57.27,389.7,0.9,1.0,1.0,10
PraSLE,100,2803.10,54.13,±33.55,390.0,0.0,1.0,1.0,10
Adaptive-PraSLE,5,2094.10,192.48,±119.30,15.9,4.3,1.0,4.4,10
Adaptive-PraSLE,10,1940.00,213.25,±132.17,18.4,3.3,1.0,5.4,10
Adaptive-PraSLE,50,1741.70,103.95,±64.43,20.2,3.3,1.0,5.1,10
Adaptive-PraSLE,100,1709.70,133.56,±82.78,18.8,3.5,1.0,4.4,10
