Algorithm,Nodes,Conv. Mean (ms),Conv. Std (ms),Conv. 95% CI,Messages Mean,Messages Std,Elections Mean,Leader Changes Mean,Trials
Bully,5,5408.89,707.69,±138.71,35.7,61.9,1.0,1.0,100
Bully,10,5274.06,675.99,±132.49,18.7,40.4,1.0,1.1,100
Bully,50,4918.82,398.47,±78.10,37.3,31.8,1.7,10.9,100
Bully,100,4507.44,185.93,±36.44,123.3,89.7,6.5,48.9,100
Ring,5,1101.19,562.79,±110.31,146.6,1.3,0.2,1.0,100
Ring,10,1263.03,549.36,±107.67,146.7,0.5,0.1,1.0,100
Ring,50,3464.48,2921.56,±572.63,146.4,2.5,0.1,1.0,100
Ring,100,7112.69,3134.14,±614.29,163.8,15.8,0.2,1.0,100
PraSLE,5,3208.78,238.95,±46.83,388.0,1.4,1.0,1.0,100
PraSLE,10,3075.02,188.60,±36.97,388.2,1.5,1.0,1.0,100
PraSLE,50,2891.58,95.46,±18.71,382.6,13.1,1.0,1.0,100
PraSLE,100,2818.53,52.80,±10.35,273.6,18.9,1.0,1.0,100
Adaptive-PraSLE,5,1998.08,262.42,±51.43,15.8,3.6,1.0,3.6,100
Adaptive-PraSLE,10,1865.99,180.11,±35.30,19.2,3.7,1.0,5.1,100
Adaptive-PraSLE,50,1676.82,134.21,±26.31,21.0,4.5,1.0,5.4,100
Adaptive-PraSLE,100,1630.24,114.80,±22.50,20.9,4.4,1.0,5.5,100
