timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
3139,5,adaptive-prasle,3139,1,1,3139,3,4,18,24,1,2,0,3139,0,2,0,0,0,NORMAL,0,3,1,2,5,6
3003,8,adaptive-prasle,3003,1,1,3003,3,4,18,24,1,3,0,3003,0,2,0,0,0,NORMAL,0,3,1,3,5,6
3254,3,adaptive-prasle,3254,1,1,3254,3,4,18,24,1,1,0,3254,0,2,0,0,0,NORMAL,0,3,1,1,5,6
3276,2,adaptive-prasle,3276,1,1,3276,3,4,18,24,1,1,0,3276,0,2,0,0,0,NORMAL,0,3,1,1,3,6
3424,10,adaptive-prasle,3424,1,1,3424,3,0,18,0,1,10,0,3424,0,2,0,0,0,LEADER,1,3,1,10,1,6
2833,1,adaptive-prasle,2833,1,1,2833,3,4,18,24,1,1,0,2833,0,2,0,0,0,LEADER,1,3,1,1,1,6
3118,6,adaptive-prasle,3118,1,1,3118,3,6,18,36,1,2,0,3118,0,2,0,0,0,NORMAL,0,3,1,2,6,6
3446,9,adaptive-prasle,3446,1,1,3446,3,4,18,24,1,3,0,3446,0,2,0,0,0,NORMAL,0,3,1,3,6,6
3697,4,adaptive-prasle,3697,1,1,3697,3,8,18,48,1,1,0,3697,0,2,0,0,0,NORMAL,0,3,1,1,6,6
3560,7,adaptive-prasle,3560,1,1,3560,3,8,18,48,1,2,0,3560,0,2,0,0,0,NORMAL,0,3,1,2,6,6
5442,5,adaptive-prasle,3139,1,1,3139,6,10,36,60,1,2,2303,3139,0,2,0,0,0,NORMAL,0,3,1,1,7,12
5306,8,adaptive-prasle,3003,1,1,3003,6,10,36,60,1,3,2303,3003,0,2,0,0,0,NORMAL,0,3,1,1,9,12
5557,3,adaptive-prasle,3254,1,1,3254,6,10,36,60,1,1,2303,3254,0,2,0,0,0,NORMAL,0,3,1,1,5,12
5579,2,adaptive-prasle,3276,1,1,3276,6,10,36,60,1,1,2303,3276,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5727,10,adaptive-prasle,3424,1,1,3424,6,0,36,0,1,10,2303,3424,0,2,0,0,0,LEADER,1,3,1,10,1,12
5136,1,adaptive-prasle,2833,1,1,2833,6,7,36,42,1,1,2303,2833,0,2,0,0,0,LEADER,1,3,1,1,1,12
5421,6,adaptive-prasle,3118,1,1,3118,6,12,36,72,1,2,2303,3118,0,2,0,0,0,NORMAL,0,3,1,1,8,12
5749,9,adaptive-prasle,3446,1,1,3446,6,7,36,42,1,3,2303,3446,0,2,0,0,0,NORMAL,0,3,1,1,10,12
6000,4,adaptive-prasle,3697,1,1,3697,6,14,36,84,1,1,2303,3697,0,2,0,0,0,NORMAL,0,3,1,1,6,12
5863,7,adaptive-prasle,3560,1,1,3560,6,14,36,84,1,2,2303,3560,0,2,0,0,0,NORMAL,0,3,1,1,8,12
7745,5,adaptive-prasle,3139,1,1,3139,9,16,54,96,1,2,4606,3139,0,2,0,0,0,NORMAL,0,3,1,1,7,18
7609,8,adaptive-prasle,3003,1,1,3003,9,16,54,96,1,3,4606,3003,0,2,0,0,0,NORMAL,0,3,1,1,9,18
7860,3,adaptive-prasle,3254,1,1,3254,9,16,54,96,1,1,4606,3254,0,2,0,0,0,NORMAL,0,3,1,1,5,18
7882,2,adaptive-prasle,3276,1,1,3276,9,16,54,96,1,1,4606,3276,0,2,0,0,0,NORMAL,0,3,1,1,3,18
8030,10,adaptive-prasle,3424,1,1,3424,9,0,54,0,1,10,4606,3424,0,2,0,0,0,LEADER,1,3,1,10,1,18
7439,1,adaptive-prasle,2833,1,1,2833,9,9,54,54,1,1,4606,2833,0,2,0,0,0,LEADER,1,3,1,1,1,18
7724,6,adaptive-prasle,3118,1,1,3118,9,18,54,108,1,2,4606,3118,0,2,0,0,0,NORMAL,0,3,1,1,8,18
8052,9,adaptive-prasle,3446,1,1,3446,9,10,54,60,1,3,4606,3446,0,2,0,0,0,NORMAL,0,3,1,1,10,18
8303,4,adaptive-prasle,3697,1,1,3697,9,20,54,120,1,1,4606,3697,0,2,0,0,0,NORMAL,0,3,1,1,6,18
8166,7,adaptive-prasle,3560,1,1,3560,9,20,54,120,1,2,4606,3560,0,2,0,0,0,NORMAL,0,3,1,1,8,18
10048,5,adaptive-prasle,3139,1,2,13187,12,22,72,132,2,1,6909,3139,0,3,0,0,0,NORMAL,0,3,1,1,10,24
9912,8,adaptive-prasle,3003,1,2,12915,12,22,72,132,2,1,6909,3003,0,3,0,0,0,NORMAL,0,3,1,1,12,24
10163,3,adaptive-prasle,3254,1,2,13417,12,22,72,132,1,1,6909,3254,0,3,0,0,0,NORMAL,0,3,1,1,7,24
10185,2,adaptive-prasle,3276,1,2,13461,12,22,72,132,1,1,6909,3276,0,3,0,0,0,NORMAL,0,3,1,1,5,24
10333,10,adaptive-prasle,3424,1,2,13757,12,0,72,0,1,10,6909,3424,0,3,0,0,0,LEADER,1,3,1,10,2,24
9742,1,adaptive-prasle,2833,1,2,12575,12,13,72,78,1,1,6909,2833,0,3,0,0,0,LEADER,1,3,1,1,2,24
10027,6,adaptive-prasle,3118,1,2,13145,12,24,72,144,2,1,6909,3118,0,3,0,0,0,NORMAL,0,3,1,1,11,24
10355,9,adaptive-prasle,3446,1,2,13801,12,13,72,78,2,1,6909,3446,0,3,0,0,0,NORMAL,0,3,1,1,13,24
10606,4,adaptive-prasle,3697,1,2,14303,12,26,72,156,1,1,6909,3697,0,3,0,0,0,NORMAL,0,3,1,1,9,24
