timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2798,7,bully,2798,1,1,2798,3,4,18,24,1,4,0,2798,0,2,0,0,0,NORMAL,0,2798000,0,5984,2792016,3,2,5,5,3,0,4,0,0,0,0,0,0,0
3219,9,bully,3219,1,1,3219,3,2,18,12,1,5,0,3219,0,2,0,0,0,NORMAL,0,3219000,0,5984,3213016,3,2,6,5,3,0,2,0,0,0,0,0,0,0
2913,5,bully,2913,1,1,2913,3,4,18,24,1,2,0,2913,0,2,0,0,0,NORMAL,0,2913000,0,5984,2907016,3,2,3,5,3,0,4,0,0,0,0,0,0,0
3356,6,bully,3356,1,1,3356,3,8,18,48,1,2,0,3356,0,2,0,0,0,NORMAL,0,3356000,0,5984,3350016,3,2,3,6,3,0,8,0,0,0,0,0,0,0
2777,8,bully,2777,1,1,2777,3,7,18,42,1,4,0,2777,0,2,0,0,0,NORMAL,0,2777000,0,5984,2771016,3,2,5,5,3,0,7,0,0,0,0,0,0,0
3050,2,bully,3050,1,1,3050,3,4,18,24,1,1,0,3050,0,2,0,0,0,NORMAL,0,3050000,0,5984,3044016,3,2,3,3,3,0,4,0,0,0,0,0,0,0
3471,4,bully,3471,1,1,3471,3,6,18,36,1,1,0,3471,0,2,0,0,0,NORMAL,0,3471000,0,5984,3465016,3,2,2,5,3,0,6,0,0,0,0,0,0,0
3662,10,bully,3662,1,1,3662,3,0,18,0,1,10,0,3662,0,2,0,0,0,LEADER,1,3662000,0,5984,3656016,4,1,13,1,3,0,0,0,0,0,0,0,0,0
3607,1,bully,3607,1,1,3607,3,4,18,24,1,1,0,3607,0,2,0,0,0,LEADER,1,3607000,0,5984,3601016,4,1,4,1,3,0,4,0,0,0,0,0,0,0
3492,3,bully,3492,1,1,3492,3,8,18,48,1,1,0,3492,0,2,0,0,0,NORMAL,0,3492000,0,5984,3486016,3,2,3,4,3,0,8,0,0,0,0,0,0,0
5101,7,bully,2798,1,1,2798,6,10,36,60,1,4,2303,2798,0,2,0,0,0,NORMAL,0,5101000,0,14960,5086040,3,1,2,9,6,0,10,0,0,0,0,0,0,0
5522,9,bully,3219,1,1,3219,6,5,36,30,1,5,2303,3219,0,2,0,0,0,NORMAL,0,5522000,0,14960,5507040,3,1,3,9,6,0,5,0,0,0,0,0,0,0
5216,5,bully,2913,1,1,2913,6,10,36,60,1,2,2303,2913,0,2,0,0,0,NORMAL,0,5216000,0,14960,5201040,3,1,3,7,6,0,10,0,0,0,0,0,0,0
5659,6,bully,3356,1,1,3356,6,14,36,84,1,2,2303,3356,0,2,0,0,0,NORMAL,0,5659000,0,14960,5644040,3,1,3,8,6,0,14,0,0,0,0,0,0,0
5080,8,bully,2777,1,1,2777,6,13,36,78,1,4,2303,2777,0,2,0,0,0,NORMAL,0,5080000,0,14960,5065040,3,1,2,9,6,0,13,0,0,0,0,0,0,0
5353,2,bully,3050,1,1,3050,6,10,36,60,1,1,2303,3050,0,2,0,0,0,NORMAL,0,5353000,0,14960,5338040,3,1,6,3,6,0,10,0,0,0,0,0,0,0
5774,4,bully,3471,1,1,3471,6,12,36,72,1,1,2303,3471,0,2,0,0,0,NORMAL,0,5774000,0,14960,5759040,3,1,5,5,6,0,12,0,0,0,0,0,0,0
5965,10,bully,3662,1,1,3662,6,0,36,0,1,10,2303,3662,0,2,0,0,0,LEADER,1,5965000,0,14960,5950040,4,1,16,1,6,0,0,0,0,0,0,0,0,0
5910,1,bully,3607,1,1,3607,6,7,36,42,1,1,2303,3607,0,2,0,0,0,LEADER,1,5910000,0,14960,5895040,4,1,7,1,6,0,7,0,0,0,0,0,0,0
5795,3,bully,3492,1,1,3492,6,14,36,84,1,1,2303,3492,0,2,0,0,0,NORMAL,0,5795000,0,14960,5780040,3,1,6,4,6,0,14,0,0,0,0,0,0,0
