timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2820,49,bully,2820,1,1,2820,3,0,18,0,1,49,0,2820,0,2,0,0,0,LEADER,1,4,1,52,1,3,0,0,0,0,0,0,0,0,0
2802,7,bully,2802,1,1,2802,3,4,18,24,1,1,0,2802,0,2,0,0,0,NORMAL,0,3,2,2,5,3,0,4,0,0,0,0,0,0,0
2720,19,bully,2720,1,1,2720,3,0,18,0,1,19,0,2720,0,2,0,0,0,LEADER,1,4,1,22,1,3,0,0,0,0,0,0,0,0,0
2857,16,bully,2857,1,1,2857,3,0,18,0,1,16,0,2857,0,2,0,0,0,LEADER,1,4,1,19,1,3,0,0,0,0,0,0,0,0,0
2835,17,bully,2835,1,1,2835,3,0,18,0,1,17,0,2835,0,2,0,0,0,LEADER,1,4,1,20,1,3,0,0,0,0,0,0,0,0,0
3060,33,bully,3060,1,1,3060,3,0,18,0,1,33,0,3060,0,2,0,0,0,LEADER,1,4,1,36,1,3,0,0,0,0,0,0,0,0,0
2923,36,bully,2923,1,1,2923,3,0,18,0,1,36,0,2923,0,2,0,0,0,LEADER,1,4,1,39,1,3,0,0,0,0,0,0,0,0,0
3196,30,bully,3196,1,1,3196,3,0,18,0,1,30,0,3196,0,2,0,0,0,LEADER,1,4,1,33,1,3,0,0,0,0,0,0,0,0,0
3026,23,bully,3026,1,1,3026,3,0,18,0,1,23,0,3026,0,2,0,0,0,LEADER,1,4,1,26,1,3,0,0,0,0,0,0,0,0,0
2842,28,bully,2842,1,1,2842,3,0,18,0,1,28,0,2842,0,2,0,0,0,LEADER,1,4,1,31,1,3,0,0,0,0,0,0,0,0,0
2978,45,bully,2978,1,1,2978,3,0,18,0,1,45,0,2978,0,2,0,0,0,LEADER,1,4,1,48,1,3,0,0,0,0,0,0,0,0,0
3075,1,bully,3075,1,1,3075,3,2,18,12,1,1,0,3075,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,2,0,0,0,0,0,0,0
3245,8,bully,3245,1,1,3245,3,6,18,36,1,1,0,3245,0,2,0,0,0,NORMAL,0,3,2,2,6,3,0,6,0,0,0,0,0,0,0
2957,13,bully,2957,1,1,2957,3,0,18,0,1,13,0,2957,0,2,0,0,0,LEADER,1,4,1,16,1,3,0,0,0,0,0,0,0,0,0
3152,27,bully,3152,1,1,3152,3,0,18,0,1,27,0,3152,0,2,0,0,0,LEADER,1,4,1,30,1,3,0,0,0,0,0,0,0,0,0
2938,4,bully,2938,1,1,2938,3,4,18,24,1,1,0,2938,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,4,0,0,0,0,0,0,0
3108,11,bully,3108,1,1,3108,3,0,18,0,1,11,0,3108,0,2,0,0,0,LEADER,1,4,1,14,1,3,0,0,0,0,0,0,0,0,0
3230,40,bully,3230,1,1,3230,3,0,18,0,1,40,0,3230,0,2,0,0,0,LEADER,1,4,1,43,1,3,0,0,0,0,0,0,0,0,0
3366,37,bully,3366,1,1,3366,3,0,18,0,1,37,0,3366,0,2,0,0,0,LEADER,1,4,1,40,1,3,0,0,0,0,0,0,0,0,0
2972,14,bully,2972,1,1,2972,3,0,18,0,1,14,0,2972,0,2,0,0,0,LEADER,1,4,1,17,1,3,0,0,0,0,0,0,0,0,0
2808,38,bully,2808,1,1,2808,3,0,18,0,1,38,0,2808,0,2,0,0,0,LEADER,1,4,1,41,1,3,0,0,0,0,0,0,0,0,0
3088,46,bully,3088,1,1,3088,3,0,18,0,1,46,0,3088,0,2,0,0,0,LEADER,1,4,1,49,1,3,0,0,0,0,0,0,0,0,0
3381,5,bully,3381,1,1,3381,3,5,18,30,1,1,0,3381,0,2,0,0,0,NORMAL,0,3,2,3,4,3,0,5,0,0,0,0,0,0,0
