trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-line,100,2799,2770,1,79,true
2,prasle-line,100,2893,2835,1,52,true
3,prasle-line,100,2905,2963,38,57,true
4,prasle-line,100,2805,2965,45,65,true
5,prasle-line,100,2811,2802,37,82,true
6,prasle-line,100,2965,2975,1,93,true
7,prasle-line,100,2783,2830,1,64,true
8,prasle-line,100,2921,2874,1,77,true
9,prasle-line,100,2959,2956,41,97,true
10,prasle-line,100,2875,2890,36,95,true
