timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2777,7,bully,2777,1,1,2777,3,6,18,36,1,1,0,2777,0,2,0,0,0,NORMAL,0,2777000,0,5984,2771016,3,2,2,6,3,0,6,0,0,0,0,0,0,0
2756,8,bully,2756,1,1,2756,3,6,18,36,1,1,0,2756,0,2,0,0,0,NORMAL,0,2756000,0,5984,2750016,3,2,2,6,3,0,6,0,0,0,0,0,0,0
2892,5,bully,2892,1,1,2892,3,6,18,36,1,1,0,2892,0,2,0,0,0,NORMAL,0,2892000,0,5984,2886016,3,2,3,4,3,0,6,0,0,0,0,0,0,0
3198,9,bully,3198,1,1,3198,3,3,18,18,1,1,0,3198,0,2,0,0,0,NORMAL,0,3198000,0,5984,3192016,3,2,3,4,3,0,3,0,0,0,0,0,0,0
3471,2,bully,3471,1,1,3471,3,6,18,36,1,1,0,3471,0,2,0,0,0,NORMAL,0,3471000,0,5984,3465016,3,2,3,3,3,0,6,0,0,0,0,0,0,0
3484,3,bully,3484,1,1,3484,3,8,18,48,1,1,0,3484,0,2,0,0,0,NORMAL,0,3484000,0,5984,3478016,3,2,2,5,3,0,8,0,0,0,0,0,0,0
3335,6,bully,3335,1,1,3335,3,12,18,72,1,1,0,3335,0,2,0,0,0,NORMAL,0,3335000,0,5984,3329016,3,2,3,5,3,0,12,0,0,0,0,0,0,0
3586,1,bully,3586,1,1,3586,3,8,18,48,1,1,0,3586,0,2,0,0,0,LEADER,1,3586000,0,5984,3580016,4,1,4,1,3,0,8,0,0,0,0,0,0,0
3450,4,bully,3450,1,1,3450,3,8,18,48,1,1,0,3450,0,2,0,0,0,NORMAL,0,3450000,0,5984,3444016,3,2,2,6,3,0,8,0,0,0,0,0,0,0
3641,10,bully,3641,1,1,3641,3,4,18,24,1,1,0,3641,0,2,0,0,0,NORMAL,0,3641000,0,5984,3635016,3,2,3,4,3,0,4,0,0,0,0,0,0,0
5080,7,bully,2777,1,1,2777,6,15,36,90,1,1,2303,2777,0,2,0,0,0,NORMAL,0,5080000,0,14960,5065040,3,1,5,6,6,0,15,0,0,0,0,0,0,0
5059,8,bully,2756,1,1,2756,6,12,36,72,1,1,2303,2756,0,2,0,0,0,NORMAL,0,5059000,0,14960,5044040,3,1,5,6,6,0,12,0,0,0,0,0,0,0
5195,5,bully,2892,1,1,2892,6,15,36,90,1,1,2303,2892,0,2,0,0,0,NORMAL,0,5195000,0,14960,5180040,3,1,6,4,6,0,15,0,0,0,0,0,0,0
5501,9,bully,3198,1,1,3198,6,6,36,36,1,1,2303,3198,0,2,0,0,0,NORMAL,0,5501000,0,14960,5486040,3,1,6,4,6,0,6,0,0,0,0,0,0,0
5774,2,bully,3471,1,1,3471,6,15,36,90,1,1,2303,3471,0,2,0,0,0,NORMAL,0,5774000,0,14960,5759040,3,1,6,3,6,0,15,0,0,0,0,0,0,0
5787,3,bully,3484,1,1,3484,6,17,36,102,1,1,2303,3484,0,2,0,0,0,NORMAL,0,5787000,0,14960,5772040,3,1,5,5,6,0,17,0,0,0,0,0,0,0
5638,6,bully,3335,1,1,3335,6,21,36,126,1,1,2303,3335,0,2,0,0,0,NORMAL,0,5638000,0,14960,5623040,3,1,6,5,6,0,21,0,0,0,0,0,0,0
5889,1,bully,3586,1,1,3586,6,14,36,84,1,1,2303,3586,0,2,0,0,0,LEADER,1,5889000,0,14960,5874040,4,1,7,1,6,0,14,0,0,0,0,0,0,0
5753,4,bully,3450,1,1,3450,6,14,36,84,1,1,2303,3450,0,2,0,0,0,NORMAL,0,5753000,0,14960,5738040,3,1,5,6,6,0,14,0,0,0,0,0,0,0
5944,10,bully,3641,1,1,3641,6,7,36,42,1,1,2303,3641,0,2,0,0,0,NORMAL,0,5944000,0,14960,5929040,3,1,6,4,6,0,7,0,0,0,0,0,0,0
7383,7,bully,2777,1,1,2777,9,24,54,144,1,1,4606,2777,0,2,0,0,0,NORMAL,0,7383000,0,23936,7359064,3,1,8,6,9,0,24,0,0,0,0,0,0,0
