timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2763,28,bully,2763,1,1,2763,3,0,18,0,1,28,0,2763,0,2,0,0,0,LEADER,1,4,1,31,1,3,0,0,0,0,0,0,0,0,0
2796,38,bully,2796,1,1,2796,3,0,18,0,1,38,0,2796,0,2,0,0,0,LEADER,1,4,1,41,1,3,0,0,0,0,0,0,0,0,0
3062,1,bully,3062,1,1,3062,3,3,18,18,1,1,0,3062,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,3,0,0,0,0,0,0,0
2813,40,bully,2813,1,1,2813,3,0,18,0,1,40,0,2813,0,2,0,0,0,LEADER,1,4,1,43,1,3,0,0,0,0,0,0,0,0,0
2981,13,bully,2981,1,1,2981,3,2,18,12,1,4,0,2981,0,2,0,0,0,NORMAL,0,3,2,5,5,3,0,2,0,0,0,0,0,0,0
3081,43,bully,3081,1,1,3081,3,0,18,0,1,43,0,3081,0,2,0,0,0,LEADER,1,4,1,46,1,3,0,0,0,0,0,0,0,0,0
2773,39,bully,2773,1,1,2773,3,0,18,0,1,39,0,2773,0,2,0,0,0,LEADER,1,4,1,42,1,3,0,0,0,0,0,0,0,0,0
2911,36,bully,2911,1,1,2911,3,0,18,0,1,36,0,2911,0,2,0,0,0,LEADER,1,4,1,39,1,3,0,0,0,0,0,0,0,0,0
2708,19,bully,2708,1,1,2708,3,0,18,0,1,19,0,2708,0,2,0,0,0,LEADER,1,4,1,22,1,3,0,0,0,0,0,0,0,0,0
3095,11,bully,3095,1,1,3095,3,2,18,12,1,1,0,3095,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,2,0,0,0,0,0,0,0
2966,45,bully,2966,1,1,2966,3,0,18,0,1,45,0,2966,0,2,0,0,0,LEADER,1,4,1,48,1,3,0,0,0,0,0,0,0,0,0
2944,24,bully,2944,1,1,2944,3,0,18,0,1,24,0,2944,0,2,0,0,0,LEADER,1,4,1,27,1,3,0,0,0,0,0,0,0,0,0
2844,16,bully,2844,1,1,2844,3,2,18,12,1,7,0,2844,0,2,0,0,0,NORMAL,0,3,2,8,5,3,0,2,0,0,0,0,0,0,0
