trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-mesh,50,2837,2817,23,41,true
2,prasle-mesh,50,2888,2898,15,27,true
3,prasle-mesh,50,2915,2849,1,36,true
4,prasle-mesh,50,2813,3046,1,36,true
5,prasle-mesh,50,2799,2757,1,29,true
6,prasle-mesh,50,3126,2884,1,36,true
7,prasle-mesh,50,2816,3141,1,48,true
8,prasle-mesh,50,3062,2873,15,38,true
9,prasle-mesh,50,3117,3062,20,42,true
10,prasle-mesh,50,3022,2721,1,46,true
