trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-mesh,5,50,3165,NA
2,prasle-mesh,5,50,3331,NA
3,prasle-mesh,5,50,3216,NA
4,prasle-mesh,5,50,3321,NA
5,prasle-mesh,5,50,3181,NA
6,prasle-mesh,5,50,3374,NA
7,prasle-mesh,5,50,3159,NA
8,prasle-mesh,5,50,3409,NA
9,prasle-mesh,5,50,3333,NA
10,prasle-mesh,5,50,3130,NA
11,prasle-mesh,5,50,3497,NA
12,prasle-mesh,5,50,3040,NA
13,prasle-mesh,5,50,3081,NA
14,prasle-mesh,5,50,3529,NA
15,prasle-mesh,5,50,2968,NA
16,prasle-mesh,5,50,3461,NA
17,prasle-mesh,5,50,2796,NA
18,prasle-mesh,5,50,2940,NA
19,prasle-mesh,5,50,3234,NA
20,prasle-mesh,5,50,3090,NA
21,prasle-mesh,5,50,3138,NA
22,prasle-mesh,5,50,3065,NA
23,prasle-mesh,5,50,3193,NA
24,prasle-mesh,5,50,3311,NA
25,prasle-mesh,5,50,3251,NA
26,prasle-mesh,5,50,3069,NA
27,prasle-mesh,5,50,2818,NA
28,prasle-mesh,5,50,2916,NA
29,prasle-mesh,5,50,2926,NA
30,prasle-mesh,5,50,3294,NA
31,prasle-mesh,5,50,2983,NA
32,prasle-mesh,5,50,3494,NA
33,prasle-mesh,5,50,3453,NA
34,prasle-mesh,5,50,3158,NA
35,prasle-mesh,5,50,3092,NA
36,prasle-mesh,5,50,3057,NA
37,prasle-mesh,5,50,3259,NA
38,prasle-mesh,5,50,2887,NA
39,prasle-mesh,5,50,2966,NA
40,prasle-mesh,5,50,3090,NA
41,prasle-mesh,5,50,3165,NA
42,prasle-mesh,5,50,2954,NA
43,prasle-mesh,5,50,3543,NA
44,prasle-mesh,5,50,3252,NA
45,prasle-mesh,5,50,3166,NA
46,prasle-mesh,5,50,3545,NA
47,prasle-mesh,5,50,2897,NA
48,prasle-mesh,5,50,3157,NA
49,prasle-mesh,5,50,3070,NA
50,prasle-mesh,5,50,2915,NA
51,prasle-mesh,5,50,3497,NA
52,prasle-mesh,5,50,3051,NA
53,prasle-mesh,5,50,3145,NA
54,prasle-mesh,5,50,2983,NA
55,prasle-mesh,5,50,3322,NA
56,prasle-mesh,5,50,3127,NA
57,prasle-mesh,5,50,2975,NA
58,prasle-mesh,5,50,2896,NA
59,prasle-mesh,5,50,3062,NA
60,prasle-mesh,5,50,3118,NA
61,prasle-mesh,5,50,3172,NA
62,prasle-mesh,5,50,2996,NA
63,prasle-mesh,5,50,3213,NA
64,prasle-mesh,5,50,3256,NA
65,prasle-mesh,5,50,3047,NA
66,prasle-mesh,5,50,3204,NA
67,prasle-mesh,5,50,3342,NA
68,prasle-mesh,5,50,3072,NA
69,prasle-mesh,5,50,3630,NA
70,prasle-mesh,5,50,3560,NA
71,prasle-mesh,5,50,3279,NA
72,prasle-mesh,5,50,3224,NA
73,prasle-mesh,5,50,3242,NA
74,prasle-mesh,5,50,3497,NA
75,prasle-mesh,5,50,3488,NA
76,prasle-mesh,5,50,3632,NA
77,prasle-mesh,5,50,3276,NA
78,prasle-mesh,5,50,3230,NA
79,prasle-mesh,5,50,2790,NA
80,prasle-mesh,5,50,3089,NA
81,prasle-mesh,5,50,3342,NA
82,prasle-mesh,5,50,3154,NA
83,prasle-mesh,5,50,3284,NA
84,prasle-mesh,5,50,3138,NA
85,prasle-mesh,5,50,3459,NA
86,prasle-mesh,5,50,3218,NA
87,prasle-mesh,5,50,3154,NA
88,prasle-mesh,5,50,3265,NA
89,prasle-mesh,5,50,2823,NA
90,prasle-mesh,5,50,3409,NA
91,prasle-mesh,5,50,3123,NA
92,prasle-mesh,5,50,3177,NA
93,prasle-mesh,5,50,3486,NA
94,prasle-mesh,5,50,3011,NA
95,prasle-mesh,5,50,3104,NA
96,prasle-mesh,5,50,3069,NA
97,prasle-mesh,5,50,3367,NA
98,prasle-mesh,5,50,3438,NA
99,prasle-mesh,5,50,3123,NA
100,prasle-mesh,5,50,3318,NA
