timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2732,90,bully,2732,1,1,2732,3,0,18,0,1,90,0,2732,0,2,0,0,0,LEADER,1,4,1,93,1,3,0,0,0,0,0,0,0,0,0
2859,80,bully,2859,1,1,2859,3,0,18,0,1,80,0,2859,0,2,0,0,0,LEADER,1,4,1,83,1,3,0,0,0,0,0,0,0,0,0
2762,26,bully,2762,1,1,2762,3,0,18,0,1,26,0,2762,0,2,0,0,0,LEADER,1,4,1,29,1,3,0,0,0,0,0,0,0,0,0
2847,88,bully,2847,1,1,2847,3,0,18,0,1,88,0,2847,0,2,0,0,0,LEADER,1,4,1,91,1,3,0,0,0,0,0,0,0,0,0
2710,91,bully,2710,1,1,2710,3,0,18,0,1,91,0,2710,0,2,0,0,0,LEADER,1,4,1,94,1,3,0,0,0,0,0,0,0,0,0
2941,71,bully,2941,1,1,2941,3,0,18,0,1,71,0,2941,0,2,0,0,0,LEADER,1,4,1,74,1,3,0,0,0,0,0,0,0,0,0
2880,98,bully,2880,1,1,2880,3,0,18,0,1,98,0,2880,0,2,0,0,0,LEADER,1,4,1,101,1,3,0,0,0,0,0,0,0,0,0
2839,70,bully,2839,1,1,2839,3,0,18,0,1,70,0,2839,0,2,0,0,0,LEADER,1,4,1,73,1,3,0,0,0,0,0,0,0,0,0
2954,7,bully,2954,1,1,2954,3,3,18,18,1,4,0,2954,0,2,0,0,0,NORMAL,0,3,2,5,3,3,0,3,0,0,0,0,0,0,0
2843,14,bully,2843,1,1,2843,3,0,18,0,1,14,0,2843,0,2,0,0,0,LEADER,1,4,1,17,1,3,0,0,0,0,0,0,0,0,0
2714,48,bully,2714,1,1,2714,3,0,18,0,1,48,0,2714,0,2,0,0,0,LEADER,1,4,1,51,1,3,0,0,0,0,0,0,0,0,0
3135,50,bully,3135,1,1,3135,3,0,18,0,1,50,0,3135,0,2,0,0,0,LEADER,1,4,1,53,1,3,0,0,0,0,0,0,0,0,0
2780,68,bully,2780,1,1,2780,3,0,18,0,1,68,0,2780,0,2,0,0,0,LEADER,1,4,1,71,1,3,0,0,0,0,0,0,0,0,0
2980,11,bully,2980,1,1,2980,3,0,18,0,1,11,0,2980,0,2,0,0,0,LEADER,1,4,1,14,1,3,0,0,0,0,0,0,0,0,0
2950,75,bully,2950,1,1,2950,3,0,18,0,1,75,0,2950,0,2,0,0,0,LEADER,1,4,1,78,1,3,0,0,0,0,0,0,0,0,0
2998,53,bully,2998,1,1,2998,3,0,18,0,1,53,0,2998,0,2,0,0,0,LEADER,1,4,1,56,1,3,0,0,0,0,0,0,0,0,0
2810,4,bully,2810,1,1,2810,3,4,18,24,1,1,0,2810,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,4,0,0,0,0,0,0,0
2868,87,bully,2868,1,1,2868,3,0,18,0,1,87,0,2868,0,2,0,0,0,LEADER,1,4,1,90,1,3,0,0,0,0,0,0,0,0,0
3017,95,bully,3017,1,1,3017,3,0,18,0,1,95,0,3017,0,2,0,0,0,LEADER,1,4,1,98,1,3,0,0,0,0,0,0,0,0,0
3238,37,bully,3238,1,1,3238,3,0,18,0,1,37,0,3238,0,2,0,0,0,LEADER,1,4,1,40,1,3,0,0,0,0,0,0,0,0,0
3216,38,bully,3216,1,1,3216,3,0,18,0,1,38,0,3216,0,2,0,0,0,LEADER,1,4,1,41,1,3,0,0,0,0,0,0,0,0,0
2902,97,bully,2902,1,1,2902,3,0,18,0,1,97,0,2902,0,2,0,0,0,LEADER,1,4,1,100,1,3,0,0,0,0,0,0,0,0,0
3024,62,bully,3024,1,1,3024,3,0,18,0,1,62,0,3024,0,2,0,0,0,LEADER,1,4,1,65,1,3,0,0,0,0,0,0,0,0,0
2795,36,bully,2795,1,1,2795,3,0,18,0,1,36,0,2795,0,2,0,0,0,LEADER,1,4,1,39,1,3,0,0,0,0,0,0,0,0,0
3053,34,bully,3053,1,1,3053,3,0,18,0,1,34,0,3053,0,2,0,0,0,LEADER,1,4,1,37,1,3,0,0,0,0,0,0,0,0,0
2947,1,bully,2947,1,1,2947,3,2,18,12,1,1,0,2947,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,2,0,0,0,0,0,0,0
3101,40,bully,3101,1,1,3101,3,0,18,0,1,40,0,3101,0,2,0,0,0,LEADER,1,4,1,43,1,3,0,0,0,0,0,0,0,0,0
2779,21,bully,2779,1,1,2779,3,0,18,0,1,21,0,2779,0,2,0,0,0,LEADER,1,4,1,24,1,3,0,0,0,0,0,0,0,0,0
