timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2774,23,bully,2774,1,1,2774,3,0,18,0,1,23,0,2774,0,2,0,0,0,LEADER,1,2774000,0,5984,2768016,4,1,26,1,3,0,0,0,0,0,0,0,0,0
2864,68,bully,2864,1,1,2864,3,0,18,0,1,68,0,2864,0,2,0,0,0,LEADER,1,2864000,0,5984,2858016,4,1,71,1,3,0,0,0,0,0,0,0,0,0
2935,93,bully,2935,1,1,2935,3,0,18,0,1,93,0,2935,0,2,0,0,0,LEADER,1,2935000,0,5984,2929016,4,1,96,1,3,0,0,0,0,0,0,0,0,0
2777,97,bully,2777,1,1,2777,3,0,18,0,1,97,0,2777,0,2,0,0,0,LEADER,1,2777000,0,5984,2771016,4,1,100,1,3,0,0,0,0,0,0,0,0,0
2895,52,bully,2895,1,1,2895,3,0,18,0,1,52,0,2895,0,2,0,0,0,LEADER,1,2895000,0,5984,2889016,4,1,55,1,3,0,0,0,0,0,0,0,0,0
3013,7,bully,3013,1,1,3013,3,3,18,18,1,3,0,3013,0,2,0,0,0,NORMAL,0,3013000,0,5984,3007016,3,2,4,5,3,0,3,0,0,0,0,0,0,0
2910,20,bully,2910,1,1,2910,3,0,18,0,1,20,0,2910,0,2,0,0,0,LEADER,1,2910000,0,5984,2904016,4,1,23,1,3,0,0,0,0,0,0,0,0,0
3032,49,bully,3032,1,1,3032,3,0,18,0,1,49,0,3032,0,2,0,0,0,LEADER,1,3032000,0,5984,3026016,4,1,52,1,3,0,0,0,0,0,0,0,0,0
3120,24,bully,3120,1,1,3120,3,0,18,0,1,24,0,3120,0,2,0,0,0,LEADER,1,3120000,0,5984,3114016,4,1,27,1,3,0,0,0,0,0,0,0,0,0
3135,36,bully,3135,1,1,3135,3,0,18,0,1,36,0,3135,0,2,0,0,0,LEADER,1,3135000,0,5984,3129016,4,1,39,1,3,0,0,0,0,0,0,0,0,0
3168,46,bully,3168,1,1,3168,3,0,18,0,1,46,0,3168,0,2,0,0,0,LEADER,1,3168000,0,5984,3162016,4,1,49,1,3,0,0,0,0,0,0,0,0,0
2814,64,bully,2814,1,1,2814,3,0,18,0,1,64,0,2814,0,2,0,0,0,LEADER,1,2814000,0,5984,2808016,4,1,67,1,3,0,0,0,0,0,0,0,0,0
2847,74,bully,2847,1,1,2847,3,0,18,0,1,74,0,2847,0,2,0,0,0,LEADER,1,2847000,0,5984,2841016,4,1,77,1,3,0,0,0,0,0,0,0,0,0
3153,42,bully,3153,1,1,3153,3,0,18,0,1,42,0,3153,0,2,0,0,0,LEADER,1,3153000,0,5984,3147016,4,1,45,1,3,0,0,0,0,0,0,0,0,0
3017,81,bully,3017,1,1,3017,3,0,18,0,1,81,0,3017,0,2,0,0,0,LEADER,1,3017000,0,5984,3011016,4,1,84,1,3,0,0,0,0,0,0,0,0,0
2781,54,bully,2781,1,1,2781,3,0,18,0,1,54,0,2781,0,2,0,0,0,LEADER,1,2781000,0,5984,2775016,4,1,57,1,3,0,0,0,0,0,0,0,0,0
3132,79,bully,3132,1,1,3132,3,0,18,0,1,79,0,3132,0,2,0,0,0,LEADER,1,3132000,0,5984,3126016,4,1,82,1,3,0,0,0,0,0,0,0,0,0
2766,86,bully,2766,1,1,2766,3,0,18,0,1,86,0,2766,0,2,0,0,0,LEADER,1,2766000,0,5984,2760016,4,1,89,1,3,0,0,0,0,0,0,0,0,0
2726,45,bully,2726,1,1,2726,3,0,18,0,1,45,0,2726,0,2,0,0,0,LEADER,1,2726000,0,5984,2720016,4,1,48,1,3,0,0,0,0,0,0,0,0,0
2795,94,bully,2795,1,1,2795,3,0,18,0,1,94,0,2795,0,2,0,0,0,LEADER,1,2795000,0,5984,2789016,4,1,97,1,3,0,0,0,0,0,0,0,0,0
2707,3,bully,2707,1,1,2707,3,4,18,24,1,1,0,2707,0,2,0,0,0,NORMAL,0,2707000,0,5984,2701016,3,2,2,5,3,0,4,0,0,0,0,0,0,0
2944,30,bully,2944,1,1,2944,3,0,18,0,1,30,0,2944,0,2,0,0,0,LEADER,1,2944000,0,5984,2938016,4,1,33,1,3,0,0,0,0,0,0,0,0,0
2744,87,bully,2744,1,1,2744,3,0,18,0,1,87,0,2744,0,2,0,0,0,LEADER,1,2744000,0,5984,2738016,4,1,90,1,3,0,0,0,0,0,0,0,0,0
3080,27,bully,3080,1,1,3080,3,0,18,0,1,27,0,3080,0,2,0,0,0,LEADER,1,3080000,0,5984,3074016,4,1,30,1,3,0,0,0,0,0,0,0,0,0
2877,10,bully,2877,1,1,2877,3,0,18,0,1,10,0,2877,0,2,0,0,0,LEADER,1,2877000,0,5984,2871016,4,1,13,1,3,0,0,0,0,0,0,0,0,0
2984,71,bully,2984,1,1,2984,3,0,18,0,1,71,0,2984,0,2,0,0,0,LEADER,1,2984000,0,5984,2978016,4,1,74,1,3,0,0,0,0,0,0,0,0,0
3347,78,bully,3347,1,1,3347,3,0,18,0,1,78,0,3347,0,2,0,0,0,LEADER,1,3347000,0,5984,3341016,4,1,81,1,3,0,0,0,0,0,0,0,0,0
2950,61,bully,2950,1,1,2950,3,0,18,0,1,61,0,2950,0,2,0,0,0,LEADER,1,2950000,0,5984,2944016,4,1,64,1,3,0,0,0,0,0,0,0,0,0
3105,100,bully,3105,1,1,3105,3,2,18,12,1,1,0,3105,0,2,0,0,0,NORMAL,0,3105000,0,5984,3099016,3,2,3,3,3,0,2,0,0,0,0,0,0,0
2759,55,bully,2759,1,1,2759,3,0,18,0,1,55,0,2759,0,2,0,0,0,LEADER,1,2759000,0,5984,2753016,4,1,58,1,3,0,0,0,0,0,0,0,0,0
3150,4,bully,3150,1,1,3150,3,6,18,36,1,1,0,3150,0,2,0,0,0,NORMAL,0,3150000,0,5984,3144016,3,2,2,6,3,0,6,0,0,0,0,0,0,0
2828,70,bully,2828,1,1,2828,3,0,18,0,1,70,0,2828,0,2,0,0,0,LEADER,1,2828000,0,5984,2822016,4,1,73,1,3,0,0,0,0,0,0,0,0,0
3323,85,bully,3323,1,1,3323,3,0,18,0,1,85,0,3323,0,2,0,0,0,LEADER,1,3323000,0,5984,3317016,4,1,88,1,3,0,0,0,0,0,0,0,0,0
3047,17,bully,3047,1,1,3047,3,0,18,0,1,17,0,3047,0,2,0,0,0,LEADER,1,3047000,0,5984,3041016,4,1,20,1,3,0,0,0,0,0,0,0,0,0
3320,11,bully,3320,1,1,3320,3,0,18,0,1,11,0,3320,0,2,0,0,0,LEADER,1,3320000,0,5984,3314016,4,1,14,1,3,0,0,0,0,0,0,0,0,0
3099,69,bully,3099,1,1,3099,3,0,18,0,1,69,0,3099,0,2,0,0,0,LEADER,1,3099000,0,5984,3093016,4,1,72,1,3,0,0,0,0,0,0,0,0,0
