trial,algorithm,node_count,convergence_time_ms
10,prasle,100,2789
9,prasle,100,2895
6,prasle,100,2791
3,prasle,100,2800
1,prasle,100,2824
7,prasle,100,2754
4,prasle,100,2937
8,prasle,100,2764
5,prasle,100,2844
11,prasle,100,2865
2,prasle,100,2789
12,prasle,100,2858
13,prasle,100,2815
14,prasle,100,2803
15,prasle,100,2799
22,prasle,100,2921
16,prasle,100,2778
17,prasle,100,2808
28,prasle,100,2916
20,prasle,100,2873
23,prasle,100,2759
27,prasle,100,2862
25,prasle,100,2802
24,prasle,100,2851
26,prasle,100,2739
18,prasle,100,2741
19,prasle,100,2802
21,prasle,100,2830
29,prasle,100,2715
30,prasle,100,2789
31,prasle,100,2776
35,prasle,100,2873
33,prasle,100,2824
36,prasle,100,2852
41,prasle,100,2776
40,prasle,100,2841
39,prasle,100,2786
42,prasle,100,2772
37,prasle,100,2866
32,prasle,100,2811
38,prasle,100,2789
34,prasle,100,2809
43,prasle,100,2826
47,prasle,100,2777
53,prasle,100,2838
55,prasle,100,2879
45,prasle,100,2814
52,prasle,100,2865
51,prasle,100,2807
44,prasle,100,2859
54,prasle,100,2832
48,prasle,100,2872
56,prasle,100,2796
49,prasle,100,2782
50,prasle,100,2823
46,prasle,100,2831
57,prasle,100,2862
59,prasle,100,2812
60,prasle,100,2787
67,prasle,100,2770
61,prasle,100,2908
65,prasle,100,2747
64,prasle,100,2882
58,prasle,100,2799
62,prasle,100,2810
69,prasle,100,2727
63,prasle,100,2776
70,prasle,100,2874
68,prasle,100,2772
66,prasle,100,2883
71,prasle,100,2850
78,prasle,100,2773
72,prasle,100,2840
79,prasle,100,2762
73,prasle,100,2857
80,prasle,100,2971
77,prasle,100,2755
83,prasle,100,2865
74,prasle,100,2862
84,prasle,100,2780
75,prasle,100,2926
81,prasle,100,2836
76,prasle,100,2768
82,prasle,100,2754
85,prasle,100,2840
87,prasle,100,2757
88,prasle,100,2839
89,prasle,100,2743
90,prasle,100,2798
86,prasle,100,2860
92,prasle,100,2945
94,prasle,100,2731
93,prasle,100,2805
91,prasle,100,2829
96,prasle,100,2882
97,prasle,100,2814
95,prasle,100,2817
98,prasle,100,2729
99,prasle,100,2731
100,prasle,100,2836
