timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
2796,42,adaptive-prasle,2796,1,1,2796,3,13,18,78,1,1,0,2796,0,2,0,0,0,NORMAL,0,3,1,1,3,6
2707,23,adaptive-prasle,2707,1,1,2707,3,14,18,84,1,1,0,2707,0,2,0,0,0,NORMAL,0,3,1,1,3,6
2775,43,adaptive-prasle,2775,1,1,2775,3,13,18,78,1,1,0,2775,0,2,0,0,0,NORMAL,0,3,1,1,3,6
2757,1,adaptive-prasle,2757,1,1,2757,3,14,18,84,1,1,0,2757,0,2,0,0,0,LEADER,1,3,1,1,1,6
2981,10,adaptive-prasle,2981,1,1,2981,3,15,18,90,1,1,0,2981,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3015,27,adaptive-prasle,3015,1,1,3015,3,14,18,84,1,1,0,3015,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2911,40,adaptive-prasle,2911,1,1,2911,3,15,18,90,1,1,0,2911,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2948,7,adaptive-prasle,2948,1,1,2948,3,17,18,102,1,1,0,2948,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3081,17,adaptive-prasle,3081,1,1,3081,3,17,18,102,1,1,0,3081,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2966,49,adaptive-prasle,2966,1,1,2966,3,18,18,108,1,1,0,2966,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3103,46,adaptive-prasle,3103,1,1,3103,3,18,18,108,1,1,0,3103,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3081,47,adaptive-prasle,3081,1,1,3081,3,18,18,108,1,1,0,3081,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3062,5,adaptive-prasle,3062,1,1,3062,3,19,18,114,1,1,0,3062,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3286,21,adaptive-prasle,3286,1,1,3286,3,19,18,114,1,1,0,3286,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3266,22,adaptive-prasle,3266,1,1,3266,3,19,18,114,1,1,0,3266,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2945,50,adaptive-prasle,2945,1,1,2945,3,19,18,114,1,1,0,2945,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2763,32,adaptive-prasle,2763,1,1,2763,3,21,18,126,1,1,0,2763,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3424,18,adaptive-prasle,3424,1,1,3424,3,22,18,132,1,1,0,3424,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2878,30,adaptive-prasle,2878,1,1,2878,3,21,18,126,1,1,0,2878,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3184,34,adaptive-prasle,3184,1,1,3184,3,21,18,126,1,1,0,3184,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2933,39,adaptive-prasle,2933,1,1,2933,3,21,18,126,1,1,0,2933,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3434,29,adaptive-prasle,3434,1,1,3434,3,21,18,126,1,1,0,3434,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3218,44,adaptive-prasle,3218,1,1,3218,3,21,18,126,1,1,0,3218,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3354,41,adaptive-prasle,3354,1,1,3354,3,21,18,126,1,1,0,3354,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3456,28,adaptive-prasle,3456,1,1,3456,3,21,18,126,1,1,0,3456,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2926,8,adaptive-prasle,2926,1,1,2926,3,22,18,132,1,1,0,2926,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3368,9,adaptive-prasle,3368,1,1,3368,3,22,18,132,1,1,0,3368,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3232,12,adaptive-prasle,3232,1,1,3232,3,22,18,132,1,1,0,3232,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3620,4,adaptive-prasle,3620,1,1,3620,3,23,18,138,1,1,0,3620,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2861,31,adaptive-prasle,2861,1,1,2861,3,22,18,132,1,1,0,2861,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3096,15,adaptive-prasle,3096,1,1,0,3,24,18,144,1,1,0,3096,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3402,19,adaptive-prasle,3402,1,1,3402,3,24,18,144,1,1,0,3402,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3048,37,adaptive-prasle,3048,1,1,3048,3,23,18,138,1,1,0,3048,0,2,0,0,0,NORMAL,0,3,1,1,2,6
2845,20,adaptive-prasle,2845,1,1,2845,3,23,18,138,1,1,0,2845,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3539,16,adaptive-prasle,3539,1,1,3539,3,26,18,156,1,1,0,3539,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3505,6,adaptive-prasle,3505,1,1,3505,3,27,18,162,1,1,0,3505,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3593,25,adaptive-prasle,3593,1,1,3593,3,25,18,150,1,1,0,3593,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3118,14,adaptive-prasle,3118,1,1,3118,3,26,18,156,1,1,0,3118,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3150,24,adaptive-prasle,3150,1,1,3150,3,25,18,150,1,1,0,3150,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3627,35,adaptive-prasle,3627,1,1,3627,3,25,18,150,1,1,0,3627,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3571,26,adaptive-prasle,3571,1,1,3571,3,25,18,150,1,1,0,3571,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3524,48,adaptive-prasle,3524,1,1,3524,3,26,18,156,1,1,0,3524,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3675,13,adaptive-prasle,3675,1,1,3675,3,28,18,168,1,1,0,3675,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3199,2,adaptive-prasle,3199,1,1,3199,3,28,18,168,1,1,0,3199,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3399,45,adaptive-prasle,3399,1,1,3399,3,26,18,156,1,1,0,3399,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3482,36,adaptive-prasle,3482,1,1,3482,3,28,18,168,1,1,0,3482,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3489,38,adaptive-prasle,3489,1,1,3489,3,28,18,168,1,1,0,3489,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3604,11,adaptive-prasle,3604,1,1,3604,3,32,18,192,1,1,0,3604,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3660,33,adaptive-prasle,3660,1,1,3660,3,30,18,180,1,1,0,3660,0,2,0,0,0,NORMAL,0,3,1,1,2,6
3642,3,adaptive-prasle,3642,1,1,3642,3,33,18,198,1,1,0,3642,0,2,0,0,0,NORMAL,0,3,1,1,2,6
5098,42,adaptive-prasle,2796,1,1,2796,6,35,36,210,1,1,2302,2796,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5010,23,adaptive-prasle,2707,1,1,2707,6,36,36,216,1,1,2303,2707,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5078,43,adaptive-prasle,2775,1,1,2775,6,35,36,210,1,1,2303,2775,0,2,0,0,0,NORMAL,0,3,1,1,3,12
5060,1,adaptive-prasle,2757,1,1,2757,6,38,36,228,1,1,2303,2757,0,2,0,0,0,LEADER,1,3,1,1,1,12
5284,10,adaptive-prasle,2981,1,1,2981,6,39,36,234,1,1,2303,2981,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5318,27,adaptive-prasle,3015,1,1,3015,6,37,36,222,1,1,2303,3015,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5214,40,adaptive-prasle,2911,1,1,2911,6,38,36,228,1,1,2303,2911,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5253,7,adaptive-prasle,2948,1,1,2948,6,41,36,246,1,1,2305,2948,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5384,17,adaptive-prasle,3081,1,1,3081,6,41,36,246,1,1,2303,3081,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5269,49,adaptive-prasle,2966,1,1,2966,6,41,36,246,1,1,2303,2966,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5406,46,adaptive-prasle,3103,1,1,3103,6,41,36,246,1,1,2303,3103,0,2,0,0,0,NORMAL,0,3,1,1,2,12
5384,47,adaptive-prasle,3081,1,1,3081,6,41,36,246,1,1,2303,3081,0,2,0,0,0,NORMAL,0,3,1,1,2,12
