trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle,100,70,2825,NA
2,prasle,100,70,2892,NA
3,prasle,100,70,2874,NA
4,prasle,100,70,2784,NA
5,prasle,100,70,2832,NA
6,prasle,100,70,2790,NA
7,prasle,100,70,2726,NA
8,prasle,100,70,2851,NA
9,prasle,100,70,2879,NA
10,prasle,100,70,2812,NA
11,prasle,100,70,2861,NA
12,prasle,100,70,2729,NA
13,prasle,100,70,3046,NA
14,prasle,100,70,2799,NA
15,prasle,100,70,2851,NA
16,prasle,100,70,2736,NA
17,prasle,100,70,2752,NA
18,prasle,100,70,2763,NA
19,prasle,100,70,2839,NA
20,prasle,100,70,2924,NA
21,prasle,100,70,2901,NA
22,prasle,100,70,2814,NA
23,prasle,100,70,2739,NA
24,prasle,100,70,2789,NA
25,prasle,100,70,2833,NA
26,prasle,100,70,2750,NA
27,prasle,100,70,2766,NA
28,prasle,100,70,2850,NA
29,prasle,100,70,2821,NA
30,prasle,100,70,2864,NA
31,prasle,100,70,2845,NA
32,prasle,100,70,2739,NA
33,prasle,100,70,3010,NA
34,prasle,100,70,2873,NA
35,prasle,100,70,2893,NA
36,prasle,100,70,2811,NA
37,prasle,100,70,2789,NA
38,prasle,100,70,2896,NA
39,prasle,100,70,2798,NA
40,prasle,100,70,2830,NA
41,prasle,100,70,2836,NA
42,prasle,100,70,2809,NA
43,prasle,100,70,2744,NA
44,prasle,100,70,2761,NA
45,prasle,100,70,2865,NA
46,prasle,100,70,2810,NA
47,prasle,100,70,2821,NA
48,prasle,100,70,2736,NA
49,prasle,100,70,2804,NA
50,prasle,100,70,2733,NA
51,prasle,100,70,2806,NA
52,prasle,100,70,2772,NA
53,prasle,100,70,2798,NA
54,prasle,100,70,2779,NA
55,prasle,100,70,2934,NA
56,prasle,100,70,2769,NA
57,prasle,100,70,2822,NA
58,prasle,100,70,2828,NA
59,prasle,100,70,2898,NA
60,prasle,100,70,2826,NA
61,prasle,100,70,2935,NA
62,prasle,100,70,2826,NA
63,prasle,100,70,2938,NA
64,prasle,100,70,2896,NA
65,prasle,100,70,2887,NA
66,prasle,100,70,2830,NA
67,prasle,100,70,2880,NA
68,prasle,100,70,2925,NA
69,prasle,100,70,2820,NA
70,prasle,100,70,2778,NA
71,prasle,100,70,2746,NA
72,prasle,100,70,2824,NA
73,prasle,100,70,2745,NA
74,prasle,100,70,2840,NA
75,prasle,100,70,2867,NA
76,prasle,100,70,2802,NA
77,prasle,100,70,2844,NA
78,prasle,100,70,2727,NA
79,prasle,100,70,2779,NA
80,prasle,100,70,2800,NA
81,prasle,100,70,2741,NA
82,prasle,100,70,2940,NA
83,prasle,100,70,2732,NA
84,prasle,100,70,2823,NA
85,prasle,100,70,2850,NA
86,prasle,100,70,2816,NA
87,prasle,100,70,2767,NA
88,prasle,100,70,2800,NA
89,prasle,100,70,2878,NA
90,prasle,100,70,2815,NA
91,prasle,100,70,2819,NA
92,prasle,100,70,2873,NA
93,prasle,100,70,2876,NA
94,prasle,100,70,2882,NA
95,prasle,100,70,2835,NA
96,prasle,100,70,2754,NA
97,prasle,100,70,2790,NA
98,prasle,100,70,2793,NA
99,prasle,100,70,2880,NA
100,prasle,100,70,2881,NA
