timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
10677,7,adaptive-prasle,1580,0,0,0,6,8,84,112,1,10,9097,355,0,2,0,4,4,NORMAL,0,0,6,1,1,10
10541,10,adaptive-prasle,1181,1,1,641,6,8,84,112,1,10,9360,641,0,2,0,4,4,LEADER,1,6,6,1,1,10
10119,8,adaptive-prasle,994,0,0,0,6,8,84,112,1,10,9125,354,0,2,0,4,4,NORMAL,0,0,6,1,1,10
10813,4,adaptive-prasle,1521,0,0,0,6,8,84,112,1,10,9292,679,0,2,0,4,4,NORMAL,0,0,6,1,1,10
10258,5,adaptive-prasle,653,0,0,0,6,8,84,112,1,10,9605,396,0,2,0,4,4,NORMAL,0,0,6,1,1,10
11234,6,adaptive-prasle,1468,0,0,0,6,8,84,112,1,10,9766,371,0,2,0,4,4,NORMAL,0,0,6,1,1,10
10949,1,adaptive-prasle,872,0,0,0,7,9,98,126,1,10,10077,693,0,2,0,5,5,NORMAL,0,0,7,1,1,12
11098,9,adaptive-prasle,1071,0,0,0,7,9,98,126,1,10,10027,340,0,2,0,5,5,NORMAL,0,0,7,1,1,12
11370,3,adaptive-prasle,709,0,0,0,7,9,98,126,1,10,10661,646,0,2,0,5,5,NORMAL,0,0,7,1,1,12
11928,2,adaptive-prasle,1095,0,0,0,7,9,98,126,1,10,10833,662,0,2,0,5,5,NORMAL,0,0,7,1,1,12
20677,7,adaptive-prasle,1580,0,0,0,11,13,154,182,1,10,19097,355,0,2,0,9,9,NORMAL,0,0,11,1,1,20
20541,10,adaptive-prasle,1181,1,1,641,11,13,154,182,1,10,19360,641,0,2,0,9,9,LEADER,1,11,11,1,1,20
20119,8,adaptive-prasle,994,0,0,0,11,13,154,182,1,10,19125,354,0,2,0,9,9,NORMAL,0,0,11,1,1,20
20813,4,adaptive-prasle,1521,0,0,0,11,13,154,182,1,10,19292,679,0,2,0,9,9,NORMAL,0,0,11,1,1,20
20258,5,adaptive-prasle,653,0,0,0,11,13,154,182,1,10,19605,396,0,2,0,9,9,NORMAL,0,0,11,1,1,20
21234,6,adaptive-prasle,1468,0,0,0,11,13,154,182,1,10,19766,371,0,2,0,9,9,NORMAL,0,0,11,1,1,20
20949,1,adaptive-prasle,872,0,0,0,12,14,168,196,1,10,20077,693,0,2,0,10,10,NORMAL,0,0,12,1,1,22
21098,9,adaptive-prasle,1071,0,0,0,12,14,168,196,1,10,20027,340,0,2,0,10,10,NORMAL,0,0,12,1,1,22
21370,3,adaptive-prasle,709,0,0,0,12,14,168,196,1,10,20661,646,0,2,0,10,10,NORMAL,0,0,12,1,1,22
21928,2,adaptive-prasle,1095,0,0,0,12,14,168,196,1,10,20833,662,0,2,0,10,10,NORMAL,0,0,12,1,1,22
30677,7,adaptive-prasle,1580,0,0,0,16,18,224,252,1,10,29097,355,0,2,0,14,14,NORMAL,0,0,16,1,1,30
