timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,energest_cpu,energest_lpm,energest_tx,energest_rx,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10011,8,bully,1312,0,0,0,6,8,84,112,1,10,8699,450,0,2,0,4,4,NORMAL,0,10011000,0,25984,9985016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
10284,2,bully,954,0,0,0,6,8,84,112,1,10,9330,447,0,2,0,4,4,NORMAL,0,10284000,0,25984,10258016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
10148,5,bully,751,0,0,0,6,8,84,112,1,10,9397,407,0,2,0,4,4,NORMAL,0,10148000,0,25984,10122016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
10433,10,bully,841,1,1,409,6,8,84,112,1,10,9592,409,0,2,0,4,4,LEADER,1,10433000,0,25984,10407016,7,6,2,2,8,1,2,5,6,4,0,0,0,0
10569,7,bully,1011,0,0,0,6,8,84,112,1,10,9558,452,0,2,0,4,4,NORMAL,0,10569000,0,25984,10543016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
10705,4,bully,781,0,0,0,6,8,84,112,1,10,9924,405,0,2,0,4,4,NORMAL,0,10705000,0,25984,10679016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
11262,3,bully,1225,0,0,0,7,9,98,126,1,10,10037,402,0,2,0,5,5,NORMAL,0,11262000,0,29232,11232768,0,7,2,2,10,1,2,6,7,4,0,0,0,0
11454,9,bully,1647,0,0,0,6,8,84,112,1,10,9807,437,0,2,0,4,4,NORMAL,0,11454000,0,25984,11428016,0,6,2,2,8,1,2,5,6,4,0,0,0,0
10841,1,bully,501,0,0,0,7,9,98,126,1,10,10340,425,0,2,0,5,5,NORMAL,0,10841000,0,29232,10811768,0,7,2,2,10,1,2,6,7,4,0,0,0,0
11126,6,bully,685,0,0,0,7,9,98,126,1,10,10441,408,0,2,0,5,5,NORMAL,0,11126000,0,29232,11096768,0,7,2,2,10,1,2,6,7,4,0,0,0,0
20011,8,bully,1312,0,0,0,11,13,154,182,1,10,18699,450,0,2,0,9,9,NORMAL,0,20011000,0,42224,19968776,0,11,2,2,18,1,2,10,11,4,0,0,0,0
20284,2,bully,954,0,0,0,11,13,154,182,1,10,19330,447,0,2,0,9,9,NORMAL,0,20284000,0,45024,20238976,0,11,2,2,18,1,2,10,11,4,0,0,0,0
