trial,algorithm,node_count,convergence_time_ms
1,ring,50,2704
2,ring,50,2742
4,ring,50,2556
7,ring,50,6013
6,ring,50,3093
3,ring,50,3737
9,ring,50,3865
10,ring,50,2720
13,ring,50,3223
5,ring,50,2904
11,ring,50,2360
12,ring,50,3134
14,ring,50,2704
8,ring,50,2547
15,ring,50,2992
16,ring,50,2406
17,ring,50,3889
18,ring,50,3457
20,ring,50,3841
21,ring,50,4138
19,ring,50,3855
23,ring,50,2988
22,ring,50,2884
24,ring,50,2472
25,ring,50,3698
26,ring,50,3831
27,ring,50,3527
28,ring,50,2726
29,ring,50,2694
30,ring,50,2911
31,ring,50,3171
32,ring,50,2453
33,ring,50,2808
35,ring,50,3627
34,ring,50,3569
36,ring,50,2525
37,ring,50,2741
39,ring,50,3736
38,ring,50,4218
40,ring,50,2385
42,ring,50,2242
41,ring,50,4235
45,ring,50,2613
44,ring,50,2526
46,ring,50,3285
43,ring,50,3857
47,ring,50,2872
49,ring,50,2616
48,ring,50,2863
51,ring,50,3269
50,ring,50,2561
53,ring,50,3839
52,ring,50,2763
54,ring,50,5889
56,ring,50,2723
55,ring,50,2514
57,ring,50,2700
58,ring,50,3114
59,ring,50,3170
60,ring,50,2530
61,ring,50,2430
65,ring,50,3530
62,ring,50,2895
63,ring,50,3844
64,ring,50,3958
68,ring,50,2853
67,ring,50,2738
66,ring,50,4706
70,ring,50,3788
69,ring,50,3832
72,ring,50,2753
71,ring,50,4250
73,ring,50,2511
74,ring,50,31650
75,ring,50,2754
76,ring,50,2408
78,ring,50,4073
79,ring,50,3087
77,ring,50,2500
85,ring,50,3193
84,ring,50,4237
86,ring,50,2631
81,ring,50,4253
87,ring,50,3451
83,ring,50,2775
82,ring,50,2359
80,ring,50,2640
88,ring,50,3096
90,ring,50,2330
89,ring,50,3893
91,ring,50,2829
94,ring,50,2518
96,ring,50,3698
95,ring,50,3232
92,ring,50,2408
93,ring,50,2955
98,ring,50,2822
97,ring,50,4453
100,ring,50,2522
99,ring,50,3568
