trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,ring,5,60,718,65900,5900
2,ring,5,60,2799,66024,6024
3,ring,5,60,1024,66209,6209
4,ring,5,60,2858,66106,6106
5,ring,5,60,1554,66605,6605
6,ring,5,60,1542,66713,6713
7,ring,5,60,2150,67360,7360
8,ring,5,60,1278,66561,6561
9,ring,5,60,1684,NA,NA
10,ring,5,60,2106,67391,7391
11,ring,5,60,1474,66832,6832
12,ring,5,60,966,66137,6137
13,ring,5,60,2061,NA,NA
14,ring,5,60,1054,66300,6300
15,ring,5,60,3147,66391,6391
16,ring,5,60,1366,NA,NA
17,ring,5,60,1876,67155,7155
18,ring,5,60,1591,66822,6822
19,ring,5,60,2844,NA,NA
20,ring,5,60,2710,65976,5976
21,ring,5,60,1505,66640,6640
22,ring,5,60,1578,66793,6793
23,ring,5,60,973,NA,NA
24,ring,5,60,2238,NA,NA
25,ring,5,60,2626,NA,NA
26,ring,5,60,1619,66821,6821
27,ring,5,60,1554,66786,6786
28,ring,5,60,1342,66565,6565
29,ring,5,60,1880,NA,NA
30,ring,5,60,1325,66514,6514
31,ring,5,60,2454,65686,5686
32,ring,5,60,2700,65944,5944
33,ring,5,60,2080,67308,7308
34,ring,5,60,2136,65414,5414
35,ring,5,60,1805,NA,NA
36,ring,5,60,1507,66774,6774
37,ring,5,60,1375,66560,6560
38,ring,5,60,1065,NA,NA
39,ring,5,60,1244,66370,6370
40,ring,5,60,1480,66660,6660
41,ring,5,60,1582,66842,6842
42,ring,5,60,2561,65772,5772
43,ring,5,60,1265,66491,6491
44,ring,5,60,2415,65729,5729
45,ring,5,60,2399,65671,5671
46,ring,5,60,2879,66059,6059
47,ring,5,60,1011,NA,NA
48,ring,5,60,2673,NA,NA
49,ring,5,60,1140,66341,6341
50,ring,5,60,668,65917,5917
51,ring,5,60,1189,66455,6455
52,ring,5,60,1641,66809,6809
53,ring,5,60,1296,66479,6479
54,ring,5,60,1586,66755,6755
55,ring,5,60,3317,66549,6549
56,ring,5,60,2665,65947,5947
57,ring,5,60,1167,66377,6377
58,ring,5,60,2657,65842,5842
59,ring,5,60,2074,67326,7326
60,ring,5,60,1731,NA,NA
61,ring,5,60,1134,NA,NA
62,ring,5,60,2379,NA,NA
63,ring,5,60,2421,65640,5640
64,ring,5,60,2246,65403,5403
65,ring,5,60,1147,66369,6369
66,ring,5,60,1113,66335,6335
67,ring,5,60,1297,66562,6562
68,ring,5,60,1614,NA,NA
69,ring,5,60,1613,66821,6821
70,ring,5,60,2460,65716,5716
71,ring,5,60,979,NA,NA
72,ring,5,60,1880,67001,7001
73,ring,5,60,1262,66445,6445
74,ring,5,60,1196,66431,6431
75,ring,5,60,2258,65507,5507
76,ring,5,60,1390,NA,NA
77,ring,5,60,2213,65462,5462
78,ring,5,60,2179,67470,7470
79,ring,5,60,2242,67511,7511
80,ring,5,60,2928,66215,6215
81,ring,5,60,1632,66859,6859
82,ring,5,60,1216,NA,NA
83,ring,5,60,1240,66408,6408
84,ring,5,60,1247,66442,6442
85,ring,5,60,1259,66508,6508
86,ring,5,60,1361,66597,6597
87,ring,5,60,1379,66574,6574
88,ring,5,60,1709,NA,NA
89,ring,5,60,1284,66508,6508
90,ring,5,60,2076,65274,5274
91,ring,5,60,2586,65790,5790
92,ring,5,60,1159,NA,NA
93,ring,5,60,1595,66898,6898
94,ring,5,60,1501,66796,6796
95,ring,5,60,2783,66014,6014
96,ring,5,60,2488,65677,5677
97,ring,5,60,2451,65687,5687
98,ring,5,60,2099,65322,5322
99,ring,5,60,1509,66847,6847
100,ring,5,60,1590,66785,6785
