trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,ring,5,9260,3590,2,5,true
2,ring,5,7879,3000,2,5,true
3,ring,5,8096,3702,2,5,true
4,ring,5,7923,4383,2,5,true
5,ring,5,8180,3714,2,5,true
6,ring,5,8793,3345,2,5,true
7,ring,5,8005,2582,2,5,true
8,ring,5,9100,3306,2,5,true
9,ring,5,8077,2920,2,5,true
10,ring,5,8979,2520,2,5,true
11,ring,5,7837,2568,2,5,true
12,ring,5,7763,2444,2,5,true
13,ring,5,8267,3286,2,5,true
14,ring,5,8646,3538,2,5,true
15,ring,5,8738,3475,2,5,true
16,ring,5,7556,3832,2,5,true
17,ring,5,7814,4109,2,5,true
18,ring,5,7794,2880,2,5,true
19,ring,5,7796,3216,2,5,true
20,ring,5,8763,4099,2,5,true
21,ring,5,7403,3089,2,5,true
22,ring,5,7842,3094,2,5,true
23,ring,5,8561,3804,2,5,true
24,ring,5,8118,3732,2,5,true
25,ring,5,8389,3768,2,5,true
26,ring,5,8737,4414,2,5,true
27,ring,5,7912,3001,2,5,true
28,ring,5,8171,3255,2,5,true
29,ring,5,8480,2960,2,5,true
30,ring,5,8614,4408,2,5,true
31,ring,5,8498,2871,2,5,true
32,ring,5,8247,2937,2,5,true
33,ring,5,7308,4411,2,5,true
34,ring,5,7931,3113,2,5,true
35,ring,5,7473,2400,2,5,true
36,ring,5,7513,3957,2,5,true
37,ring,5,7596,3444,2,5,true
38,ring,5,8566,2792,2,5,true
39,ring,5,7648,4406,2,5,true
40,ring,5,7910,4539,2,5,true
41,ring,5,8222,4713,2,5,true
42,ring,5,8284,4289,2,5,true
43,ring,5,8095,2956,2,5,true
44,ring,5,7632,2350,2,5,true
45,ring,5,8625,3338,2,5,true
46,ring,5,8433,3459,2,5,true
47,ring,5,9054,4194,2,5,true
48,ring,5,8107,3980,2,5,true
49,ring,5,7648,2857,2,5,true
50,ring,5,7727,4178,2,5,true
51,ring,5,8869,3241,2,5,true
52,ring,5,8467,3379,2,5,true
53,ring,5,8351,3073,2,5,true
54,ring,5,8177,3482,2,5,true
55,ring,5,7653,3082,2,5,true
56,ring,5,7351,2873,2,5,true
57,ring,5,8206,3335,2,5,true
58,ring,5,8277,2780,2,5,true
59,ring,5,7570,4287,2,5,true
60,ring,5,7491,2573,2,5,true
61,ring,5,8816,2966,2,5,true
62,ring,5,7704,4594,2,5,true
63,ring,5,7387,4368,2,5,true
64,ring,5,7258,3252,2,5,true
65,ring,5,8764,3474,2,5,true
66,ring,5,8181,3917,2,5,true
67,ring,5,8366,3810,2,5,true
68,ring,5,8530,3207,2,5,true
69,ring,5,7873,3052,2,5,true
70,ring,5,7608,4237,2,5,true
71,ring,5,7973,3029,2,5,true
72,ring,5,7491,4257,2,5,true
73,ring,5,7848,3899,2,5,true
74,ring,5,7691,4569,2,5,true
75,ring,5,8656,3183,2,5,true
76,ring,5,8467,3751,2,5,true
77,ring,5,8321,4144,2,5,true
78,ring,5,8653,2863,2,5,true
79,ring,5,8751,3583,2,5,true
80,ring,5,7940,3916,2,5,true
81,ring,5,8505,4680,2,5,true
82,ring,5,8739,3954,2,5,true
83,ring,5,8047,4068,2,5,true
84,ring,5,7319,4903,2,5,true
85,ring,5,7274,3614,2,5,true
86,ring,5,9016,3476,2,5,true
87,ring,5,8091,4951,2,5,true
88,ring,5,8158,3332,2,5,true
89,ring,5,9346,3823,2,5,true
90,ring,5,8580,3195,2,5,true
91,ring,5,8164,2974,2,5,true
92,ring,5,8505,3902,2,5,true
93,ring,5,8643,3400,2,5,true
94,ring,5,8106,3688,2,5,true
95,ring,5,8386,3140,2,5,true
96,ring,5,8159,2182,2,5,true
97,ring,5,8127,2845,2,5,true
98,ring,5,7456,4220,2,5,true
99,ring,5,8712,3925,2,5,true
100,ring,5,7857,2310,2,5,true
