trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,ring,50,50,53926,NA
2,ring,50,50,53295,NA
3,ring,50,50,53983,NA
4,ring,50,50,53926,NA
5,ring,50,50,53807,NA
6,ring,50,50,54375,NA
7,ring,50,50,53961,NA
8,ring,50,50,54117,NA
9,ring,50,50,51198,NA
10,ring,50,50,53821,NA
11,ring,50,50,53957,NA
12,ring,50,50,53846,NA
13,ring,50,50,53842,NA
14,ring,50,50,53751,NA
15,ring,50,50,53614,NA
16,ring,50,50,54224,NA
17,ring,50,50,52239,NA
18,ring,50,50,53488,NA
19,ring,50,50,53454,NA
20,ring,50,50,54276,NA
21,ring,50,50,53685,NA
22,ring,50,50,54059,NA
23,ring,50,50,53574,NA
24,ring,50,50,54612,NA
25,ring,50,50,53576,NA
26,ring,50,50,53736,NA
27,ring,50,50,54404,NA
28,ring,50,50,53291,NA
29,ring,50,50,55212,NA
30,ring,50,50,53695,NA
31,ring,50,50,53257,NA
32,ring,50,50,53361,NA
33,ring,50,50,53663,NA
34,ring,50,50,54260,NA
35,ring,50,50,53539,NA
36,ring,50,50,51736,NA
37,ring,50,50,52334,NA
38,ring,50,50,53668,NA
39,ring,50,50,54158,NA
40,ring,50,50,53628,NA
41,ring,50,50,54155,NA
42,ring,50,50,53637,NA
43,ring,50,50,54264,NA
44,ring,50,50,51657,NA
45,ring,50,50,53568,NA
46,ring,50,50,53474,NA
47,ring,50,50,53875,NA
48,ring,50,50,53908,NA
49,ring,50,50,54110,NA
50,ring,50,50,50641,NA
51,ring,50,50,51134,NA
52,ring,50,50,50937,NA
53,ring,50,50,53792,NA
54,ring,50,50,54342,NA
55,ring,50,50,51598,NA
56,ring,50,50,53572,NA
57,ring,50,50,51482,NA
58,ring,50,50,54603,NA
59,ring,50,50,50302,NA
60,ring,50,50,53831,NA
61,ring,50,50,53514,NA
62,ring,50,50,53720,NA
63,ring,50,50,53778,NA
64,ring,50,50,54019,NA
65,ring,50,50,53929,NA
66,ring,50,50,50385,NA
67,ring,50,50,53791,NA
68,ring,50,50,53701,NA
69,ring,50,50,53736,NA
70,ring,50,50,50184,NA
71,ring,50,50,53737,NA
72,ring,50,50,53330,NA
73,ring,50,50,54203,NA
74,ring,50,50,53391,NA
75,ring,50,50,53787,NA
76,ring,50,50,53457,NA
77,ring,50,50,53979,NA
78,ring,50,50,54250,NA
79,ring,50,50,51615,NA
80,ring,50,50,53648,NA
81,ring,50,50,52321,NA
82,ring,50,50,50253,NA
83,ring,50,50,51832,NA
84,ring,50,50,54452,NA
85,ring,50,50,53667,NA
86,ring,50,50,53664,NA
87,ring,50,50,54047,NA
88,ring,50,50,54066,NA
89,ring,50,50,53339,NA
90,ring,50,50,54117,NA
91,ring,50,50,53745,NA
92,ring,50,50,51276,NA
93,ring,50,50,53527,NA
94,ring,50,50,50676,NA
95,ring,50,50,53798,NA
96,ring,50,50,53519,NA
97,ring,50,50,54274,NA
98,ring,50,50,50860,NA
99,ring,50,50,53977,NA
100,ring,50,50,53557,NA
