Algorithm,Nodes,Conv. Mean (ms),Conv. Std (ms),Conv. 95% CI,Messages Mean,Messages Std,Elections Mean,Leader Changes Mean,Trials
Bully,5,5524.90,548.60,±340.03,N/A,N/A,N/A,N/A,10
Bully,10,4949.30,452.73,±280.60,N/A,N/A,N/A,N/A,10
Bully,50,5078.70,346.17,±214.56,N/A,N/A,N/A,N/A,10
Bully,100,4538.30,142.42,±88.28,N/A,N/A,N/A,N/A,10
Ring,5,9868.50,272.48,±168.88,N/A,N/A,N/A,N/A,10
Ring,10,2308.90,572.26,±354.69,N/A,N/A,N/A,N/A,10
Ring,50,10321.30,1848.17,±1145.51,N/A,N/A,N/A,N/A,10
Ring,100,9539.80,700.85,±434.39,N/A,N/A,N/A,N/A,10
PraSLE,5,3269.00,255.63,±158.44,N/A,N/A,N/A,N/A,10
PraSLE,10,3014.30,173.53,±107.56,N/A,N/A,N/A,N/A,10
PraSLE,50,2879.60,61.27,±37.98,N/A,N/A,N/A,N/A,10
PraSLE,100,2832.50,47.20,±29.25,N/A,N/A,N/A,N/A,10
Adaptive-PraSLE,5,1914.80,201.62,±124.96,N/A,N/A,N/A,N/A,10
Adaptive-PraSLE,10,1812.70,199.04,±123.37,N/A,N/A,N/A,N/A,10
Adaptive-PraSLE,50,1636.20,99.65,±61.76,N/A,N/A,N/A,N/A,10
Adaptive-PraSLE,100,1635.60,124.27,±77.02,N/A,N/A,N/A,N/A,10
