trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-line,100,150,2770,152617,2617
2,prasle-line,100,150,2849,152544,2544
3,prasle-line,100,150,2933,152709,2709
4,prasle-line,100,150,2722,152656,2656
5,prasle-line,100,150,3042,152737,2737
6,prasle-line,100,150,2795,152770,2770
7,prasle-line,100,150,2711,152803,2803
8,prasle-line,100,150,2767,152462,2462
9,prasle-line,100,150,2753,152448,2448
10,prasle-line,100,150,2824,152759,2759
