trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-line,100,2881,2801,36,70,true
2,prasle-line,100,2925,2865,1,85,true
3,prasle-line,100,2937,2811,1,71,true
4,prasle-line,100,3018,2994,44,73,true
5,prasle-line,100,3030,2965,1,84,true
6,prasle-line,100,2729,2880,1,79,true
7,prasle-line,100,2829,2898,42,64,true
8,prasle-line,100,2845,2773,46,81,true
9,prasle-line,100,2856,3005,1,56,true
10,prasle-line,100,2762,2900,1,51,true
