trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-mesh,100,120,2751,120204,204
2,prasle-mesh,100,120,2756,120209,209
3,prasle-mesh,100,120,2916,120368,368
4,prasle-mesh,100,120,2803,120256,256
5,prasle-mesh,100,120,2757,120210,210
6,prasle-mesh,100,120,2766,120219,219
7,prasle-mesh,100,120,2917,120368,368
8,prasle-mesh,100,120,2737,120190,190
9,prasle-mesh,100,120,2949,120402,402
10,prasle-mesh,100,120,2895,120210,210
