trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-mesh,100,2948,2939,1,77,true
2,prasle-mesh,100,2837,3024,1,97,true
3,prasle-mesh,100,2817,2822,1,61,true
4,prasle-mesh,100,2867,2925,38,92,true
5,prasle-mesh,100,2743,3061,1,100,true
6,prasle-mesh,100,2929,2874,45,96,true
7,prasle-mesh,100,2860,2988,26,94,true
8,prasle-mesh,100,2969,2820,1,54,true
9,prasle-mesh,100,2956,2819,40,92,true
10,prasle-mesh,100,2813,2723,36,90,true
