timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2703,15,ring,2703,1,1,2703,3,0,18,0,1,15,0,2703,0,2,0,0,0,LEADER,1,3,1,18,1,3,0,0,0,0,0,0,0,0,0
2785,3,ring,2785,1,1,2785,3,3,18,18,1,1,0,2785,0,2,0,0,0,NORMAL,0,3,1,2,5,3,3,0,0,0,0,0,0,0,0
2806,2,ring,2806,1,1,2806,3,5,18,30,1,1,0,2806,0,2,0,0,0,NORMAL,0,3,1,3,3,3,5,0,0,0,0,0,0,0,0
2803,45,ring,2803,1,1,2803,3,0,18,0,1,45,0,2803,0,2,0,0,0,LEADER,1,3,1,48,1,3,0,0,0,0,0,0,0,0,0
2906,32,ring,2906,1,1,2906,3,0,18,0,1,32,0,2906,0,2,0,0,0,LEADER,1,3,1,35,1,3,0,0,0,0,0,0,0,0,0
3124,17,ring,3124,1,1,3124,3,0,18,0,1,17,0,3124,0,2,0,0,0,LEADER,1,3,1,20,1,3,0,0,0,0,0,0,0,0,0
2840,12,ring,2840,1,1,2840,3,0,18,0,1,12,0,2840,0,2,0,0,0,LEADER,1,3,1,15,1,3,0,0,0,0,0,0,0,0,0
2873,22,ring,2873,1,1,2873,3,0,18,0,1,22,0,2873,0,2,0,0,0,LEADER,1,3,1,25,1,3,0,0,0,0,0,0,0,0,0
2976,9,ring,2976,1,1,2976,3,1,18,6,1,6,0,2976,0,2,0,0,0,NORMAL,0,3,1,7,3,3,1,0,0,0,0,0,0,0,0
3146,16,ring,3146,1,1,3146,3,0,18,0,1,16,0,3146,0,2,0,0,0,LEADER,1,3,1,19,1,3,0,0,0,0,0,0,0,0,0
2961,41,ring,2961,1,1,2961,3,0,18,0,1,41,0,2961,0,2,0,0,0,LEADER,1,3,1,44,1,3,0,0,0,0,0,0,0,0,0
3213,36,ring,3213,1,1,3213,3,0,18,0,1,36,0,3213,0,2,0,0,0,LEADER,1,3,1,39,1,3,0,0,0,0,0,0,0,0,0
2737,25,ring,2737,1,1,2737,3,0,18,0,1,25,0,2737,0,2,0,0,0,LEADER,1,3,1,28,1,3,0,0,0,0,0,0,0,0,0
2770,35,ring,2770,1,1,2770,3,0,18,0,1,35,0,2770,0,2,0,0,0,LEADER,1,3,1,38,1,3,0,0,0,0,0,0,0,0,0
3349,33,ring,3349,1,1,3349,3,0,18,0,1,33,0,3349,0,2,0,0,0,LEADER,1,3,1,36,1,3,0,0,0,0,0,0,0,0,0
3009,19,ring,3009,1,1,3009,3,0,18,0,1,19,0,3009,0,2,0,0,0,LEADER,1,3,1,22,1,3,0,0,0,0,0,0,0,0,0
3109,49,ring,3109,1,1,3109,3,0,18,0,1,49,0,3109,0,2,0,0,0,LEADER,1,3,1,52,1,3,0,0,0,0,0,0,0,0,0
3179,26,ring,3179,1,1,3179,3,0,18,0,1,26,0,3179,0,2,0,0,0,LEADER,1,3,1,29,1,3,0,0,0,0,0,0,0,0,0
3431,21,ring,3431,1,1,3431,3,0,18,0,1,21,0,3431,0,2,0,0,0,LEADER,1,3,1,24,1,3,0,0,0,0,0,0,0,0,0
2940,42,ring,2940,1,1,2940,3,0,18,0,1,42,0,2940,0,2,0,0,0,LEADER,1,3,1,45,1,3,0,0,0,0,0,0,0,0,0
3316,23,ring,3316,1,1,3316,3,0,18,0,1,23,0,3316,0,2,0,0,0,LEADER,1,3,1,26,1,3,0,0,0,0,0,0,0,0,0
3364,1,ring,3364,1,1,3364,3,4,18,24,1,1,0,3364,0,2,0,0,0,LEADER,1,3,1,4,1,3,4,0,0,0,0,0,0,0,0
3113,6,ring,3113,1,1,3113,3,4,18,24,1,2,0,3113,0,2,0,0,0,NORMAL,0,3,1,3,5,3,4,0,0,0,0,0,0,0,0
2776,50,ring,2776,1,1,2776,3,3,18,18,1,1,0,2776,0,2,0,0,0,NORMAL,0,3,1,4,2,3,3,0,0,0,0,0,0,0,0
3485,30,ring,3485,1,1,3485,3,0,18,0,1,30,0,3485,0,2,0,0,0,LEADER,1,3,1,33,1,3,0,0,0,0,0,0,0,0,0
3294,24,ring,3294,1,1,3294,3,0,18,0,1,24,0,3294,0,2,0,0,0,LEADER,1,3,1,27,1,3,0,0,0,0,0,0,0,0,0
3464,31,ring,3464,1,1,3464,3,0,18,0,1,31,0,3464,0,2,0,0,0,LEADER,1,3,1,34,1,3,0,0,0,0,0,0,0,0,0
2955,10,ring,2955,1,1,2955,3,0,18,0,1,10,0,2955,0,2,0,0,0,LEADER,1,3,1,13,1,3,0,0,0,0,0,0,0,0,0
3246,46,ring,3246,1,1,3246,3,0,18,0,1,46,0,3246,0,2,0,0,0,LEADER,1,3,1,49,1,3,0,0,0,0,0,0,0,0,0
3670,5,ring,3670,1,1,3670,3,5,18,30,1,1,0,3670,0,2,0,0,0,NORMAL,0,3,1,2,5,3,5,0,0,0,0,0,0,0,0
3131,28,ring,3131,1,1,3131,3,0,18,0,1,28,0,3131,0,2,0,0,0,LEADER,1,3,1,31,1,3,0,0,0,0,0,0,0,0,0
3634,38,ring,3634,1,1,3634,3,0,18,0,1,38,0,3634,0,2,0,0,0,LEADER,1,3,1,41,1,3,0,0,0,0,0,0,0,0,0
2825,44,ring,2825,1,1,2825,3,0,18,0,1,44,0,2825,0,2,0,0,0,LEADER,1,3,1,47,1,3,0,0,0,0,0,0,0,0,0
3091,7,ring,3091,1,1,3091,3,5,18,30,1,2,0,3091,0,2,0,0,0,NORMAL,0,3,1,3,6,3,5,0,0,0,0,0,0,0,0
3282,13,ring,3282,1,1,3282,3,0,18,0,1,13,0,3282,0,2,0,0,0,LEADER,1,3,1,16,1,3,0,0,0,0,0,0,0,0,0
3043,29,ring,3043,1,1,3043,3,0,18,0,1,29,0,3043,0,2,0,0,0,LEADER,1,3,1,32,1,3,0,0,0,0,0,0,0,0,0
3261,14,ring,3261,1,1,3261,3,0,18,0,1,14,0,3261,0,2,0,0,0,LEADER,1,3,1,17,1,3,0,0,0,0,0,0,0,0,0
3076,39,ring,3076,1,1,3076,3,0,18,0,1,39,0,3076,0,2,0,0,0,LEADER,1,3,1,42,1,3,0,0,0,0,0,0,0,0,0
3490,20,ring,3490,1,1,3490,3,0,18,0,1,20,0,3490,0,2,0,0,0,LEADER,1,3,1,23,1,3,0,0,0,0,0,0,0,0,0
3622,27,ring,3622,1,1,3622,3,0,18,0,1,27,0,3622,0,2,0,0,0,LEADER,1,3,1,30,1,3,0,0,0,0,0,0,0,0,0
