timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2706,17,ring,2706,1,1,2706,3,13,18,78,1,1,0,2706,0,2,0,0,0,NORMAL,0,3,1,2,5,3,13,0,0,0,0,0,0,0,0
2909,34,ring,2909,1,1,2909,3,14,18,84,1,1,0,2909,0,2,0,0,0,NORMAL,0,3,1,3,4,3,14,0,0,0,0,0,0,0,0
2924,2,ring,2924,1,1,2924,3,14,18,84,1,1,0,2924,0,2,0,0,0,NORMAL,0,3,1,3,3,3,14,0,0,0,0,0,0,0,0
2842,14,ring,2842,1,1,2842,3,16,18,96,1,1,0,2842,0,2,0,0,0,NORMAL,0,3,1,3,4,3,16,0,0,0,0,0,0,0,0
2809,4,ring,2809,1,1,2809,3,17,18,102,1,1,0,2809,0,2,0,0,0,NORMAL,0,3,1,3,4,3,17,0,0,0,0,0,0,0,0
2794,36,ring,2794,1,1,2794,3,17,18,102,1,1,0,2794,0,2,0,0,0,NORMAL,0,3,1,3,4,3,17,0,0,0,0,0,0,0,0
2897,23,ring,2897,1,1,2897,3,18,18,108,1,1,0,2897,0,2,0,0,0,NORMAL,0,3,1,3,4,3,18,0,0,0,0,0,0,0,0
3066,30,ring,3066,1,1,3066,3,19,18,114,1,1,0,3066,0,2,0,0,0,NORMAL,0,3,1,3,4,3,19,0,0,0,0,0,0,0,0
3274,20,ring,3274,1,1,3274,3,19,18,114,1,1,0,3274,0,2,0,0,0,NORMAL,0,3,1,3,4,3,19,0,0,0,0,0,0,0,0
3115,8,ring,3115,1,1,3115,3,19,18,114,1,1,0,3115,0,2,0,0,0,NORMAL,0,3,1,3,4,3,19,0,0,0,0,0,0,0,0
3180,28,ring,3180,1,1,3180,3,19,18,114,1,1,0,3180,0,2,0,0,0,NORMAL,0,3,1,3,4,3,19,0,0,0,0,0,0,0,0
3185,44,ring,3185,1,1,3185,3,20,18,120,1,1,0,3185,0,2,0,0,0,NORMAL,0,3,1,3,4,3,20,0,0,0,0,0,0,0,0
3351,35,ring,3351,1,1,3351,3,20,18,120,1,1,0,3351,0,2,0,0,0,NORMAL,0,3,1,3,4,3,20,0,0,0,0,0,0,0,0
3454,22,ring,3454,1,1,3454,3,22,18,132,1,1,0,3454,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3133,50,ring,3133,1,1,3133,3,22,18,132,1,1,0,3133,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
2978,11,ring,2978,1,1,2978,3,22,18,132,1,1,0,2978,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
2875,24,ring,2875,1,1,2875,3,21,18,126,1,1,0,2875,0,2,0,0,0,NORMAL,0,3,1,3,4,3,21,0,0,0,0,0,0,0,0
3263,16,ring,3263,1,1,3263,3,22,18,132,1,1,0,3263,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3284,15,ring,3284,1,1,3284,3,22,18,132,1,1,0,3284,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
2930,33,ring,2930,1,1,2930,3,22,18,132,1,1,0,2930,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3070,18,ring,3070,1,1,3070,3,22,18,132,1,1,0,3070,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3488,32,ring,3488,1,1,3488,3,22,18,132,1,1,0,3488,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3569,5,ring,3569,1,1,3569,3,22,18,132,1,1,0,3569,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
2827,46,ring,2827,1,1,2827,3,21,18,126,1,1,0,2827,0,2,0,0,0,NORMAL,0,3,1,3,4,3,21,0,0,0,0,0,0,0,0
3406,26,ring,3406,1,1,3406,3,22,18,132,1,1,0,3406,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
2963,43,ring,2963,1,1,2963,3,21,18,126,1,1,0,2963,0,2,0,0,0,NORMAL,0,3,1,3,4,3,21,0,0,0,0,0,0,0,0
2739,27,ring,2739,1,1,2739,3,21,18,126,1,1,0,2739,0,2,0,0,0,NORMAL,0,3,1,3,4,3,21,0,0,0,0,0,0,0,0
3269,47,ring,3269,1,1,3269,3,22,18,132,1,1,0,3269,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3148,25,ring,3148,1,1,3148,3,22,18,132,1,1,0,3148,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3248,48,ring,3248,1,1,3248,3,22,18,132,1,1,0,3248,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3656,39,ring,3656,1,1,3656,3,22,18,132,1,1,0,3656,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3236,37,ring,3236,1,1,3236,3,22,18,132,1,1,0,3236,0,2,0,0,0,NORMAL,0,3,1,3,4,3,22,0,0,0,0,0,0,0,0
3365,3,ring,3365,1,1,3365,3,23,18,138,1,1,0,3365,0,2,0,0,0,NORMAL,0,3,1,3,4,3,23,0,0,0,0,0,0,0,0
3100,40,ring,3100,1,1,3100,3,23,18,138,1,1,0,3100,0,2,0,0,0,NORMAL,0,3,1,3,4,3,23,0,0,0,0,0,0,0,0
3215,38,ring,3215,1,1,3215,3,24,18,144,1,1,0,3215,0,2,0,0,0,NORMAL,0,3,1,3,4,3,24,0,0,0,0,0,0,0,0
3012,21,ring,3012,1,1,3012,3,24,18,144,1,1,0,3012,0,2,0,0,0,NORMAL,0,3,1,3,4,3,24,0,0,0,0,0,0,0,0
2945,1,ring,2945,1,1,2945,3,24,18,144,1,1,0,2945,0,2,0,0,0,LEADER,1,3,1,4,1,3,24,0,0,0,0,0,0,0,0
3093,9,ring,3093,1,1,3093,3,24,18,144,1,1,0,3093,0,2,0,0,0,NORMAL,0,3,1,3,4,3,24,0,0,0,0,0,0,0,0
3421,12,ring,3421,1,1,3421,3,25,18,150,1,1,0,3421,0,2,0,0,0,NORMAL,0,3,1,4,3,3,25,0,0,0,0,0,0,0,0
3045,31,ring,3045,1,1,3045,3,23,18,138,1,1,0,3045,0,2,0,0,0,NORMAL,0,3,1,4,3,3,23,0,0,0,0,0,0,0,0
3399,13,ring,3399,1,1,3399,3,27,18,162,1,1,0,3399,0,2,0,0,0,NORMAL,0,3,1,4,3,3,27,0,0,0,0,0,0,0,0
3385,45,ring,3385,1,1,3385,3,25,18,150,1,1,0,3385,0,2,0,0,0,NORMAL,0,3,1,4,3,3,25,0,0,0,0,0,0,0,0
3078,41,ring,3078,1,1,3078,3,25,18,150,1,1,0,3078,0,2,0,0,0,NORMAL,0,3,1,4,3,3,25,0,0,0,0,0,0,0,0
3230,6,ring,3230,1,1,3230,3,29,18,174,1,1,0,3230,0,2,0,0,0,NORMAL,0,3,1,4,3,3,29,0,0,0,0,0,0,0,0
3521,42,ring,3521,1,1,3521,3,27,18,162,1,1,0,3521,0,2,0,0,0,NORMAL,0,3,1,4,3,3,27,0,0,0,0,0,0,0,0
3691,49,ring,3691,1,1,3691,3,28,18,168,1,1,0,3691,0,2,0,0,0,NORMAL,0,3,1,4,3,3,28,0,0,0,0,0,0,0,0
3591,19,ring,3591,1,1,3591,3,31,18,186,1,1,0,3591,0,2,0,0,0,NORMAL,0,3,1,4,3,3,31,0,0,0,0,0,0,0,0
3536,10,ring,3536,1,1,3536,3,30,18,180,1,1,0,3536,0,2,0,0,0,NORMAL,0,3,1,4,3,3,30,0,0,0,0,0,0,0,0
3623,29,ring,3623,1,1,3623,3,28,18,168,1,1,0,3623,0,2,0,0,0,NORMAL,0,3,1,4,3,3,28,0,0,0,0,0,0,0,0
3672,7,ring,3672,1,1,3672,3,33,18,198,1,1,0,3672,0,2,0,0,0,NORMAL,0,3,1,4,3,3,33,0,0,0,0,0,0,0,0
5009,17,ring,2706,1,1,2706,6,37,36,222,1,1,2303,2706,0,2,0,0,0,NORMAL,0,3,1,5,5,6,37,0,0,0,0,0,0,0,0
5212,34,ring,2909,1,1,2909,6,35,36,210,1,1,2303,2909,0,2,0,0,0,NORMAL,0,3,1,6,4,6,35,0,0,0,0,0,0,0,0
5227,2,ring,2924,1,1,2924,6,39,36,234,1,1,2303,2924,0,2,0,0,0,NORMAL,0,3,1,6,3,6,39,0,0,0,0,0,0,0,0
5145,14,ring,2842,1,1,2842,6,40,36,240,1,1,2303,2842,0,2,0,0,0,NORMAL,0,3,1,6,4,6,40,0,0,0,0,0,0,0,0
5112,4,ring,2809,1,1,2809,6,41,36,246,1,1,2303,2809,0,2,0,0,0,NORMAL,0,3,1,6,4,6,41,0,0,0,0,0,0,0,0
