timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
10197,3,ring,1297,0,0,0,6,8,84,112,1,5,8900,303,0,2,0,4,4,NORMAL,0,0,6,2,2,8,2,2,8,2,2,0,0,0,0
10619,5,ring,862,1,1,244,6,8,84,112,1,5,9757,244,0,2,0,4,4,LEADER,1,6,6,2,2,8,2,2,8,2,2,0,0,0,0
10770,2,ring,306,0,0,0,7,9,98,126,1,5,10464,281,0,2,0,5,5,NORMAL,0,0,7,2,2,10,2,2,10,2,2,0,0,0,0
11776,1,ring,1123,0,0,0,7,9,98,126,1,5,10653,260,0,2,0,5,5,NORMAL,0,0,7,2,2,10,2,2,10,2,2,0,0,0,0
11640,4,ring,839,0,0,0,7,9,98,126,1,5,10801,293,0,2,0,5,5,NORMAL,0,0,7,2,2,10,2,2,10,2,2,0,0,0,0
20197,3,ring,1297,0,0,0,11,13,154,182,1,5,18900,303,0,2,0,9,9,NORMAL,0,0,11,2,2,18,2,2,18,2,2,0,0,0,0
20619,5,ring,862,1,1,244,11,13,154,182,1,5,19757,244,0,2,0,9,9,LEADER,1,11,11,2,2,18,2,2,18,2,2,0,0,0,0
20770,2,ring,306,0,0,0,12,14,168,196,1,5,20464,281,0,2,0,10,10,NORMAL,0,0,12,2,2,20,2,2,20,2,2,0,0,0,0
21776,1,ring,1123,0,0,0,12,14,168,196,1,5,20653,260,0,2,0,10,10,NORMAL,0,0,12,2,2,20,2,2,20,2,2,0,0,0,0
21640,4,ring,839,0,0,0,12,14,168,196,1,5,20801,293,0,2,0,10,10,NORMAL,0,0,12,2,2,20,2,2,20,2,2,0,0,0,0
30197,3,ring,1297,0,0,0,16,18,224,252,1,5,28900,303,0,2,0,14,14,NORMAL,0,0,16,2,2,28,2,2,28,2,2,0,0,0,0
30619,5,ring,862,1,1,244,16,18,224,252,1,5,29757,244,0,2,0,14,14,LEADER,1,16,16,2,2,28,2,2,28,2,2,0,0,0,0
30770,2,ring,306,0,0,0,17,19,238,266,1,5,30464,281,0,2,0,15,15,NORMAL,0,0,17,2,2,30,2,2,30,2,2,0,0,0,0
31776,1,ring,1123,0,0,0,17,19,238,266,1,5,30653,260,0,2,0,15,15,NORMAL,0,0,17,2,2,30,2,2,30,2,2,0,0,0,0
31640,4,ring,839,0,0,0,17,19,238,266,1,5,30801,293,0,2,0,15,15,NORMAL,0,0,17,2,2,30,2,2,30,2,2,0,0,0,0
40197,3,ring,1297,0,0,0,21,23,294,322,1,5,38900,303,0,2,0,19,19,NORMAL,0,0,21,2,2,38,2,2,38,2,2,0,0,0,0
40619,5,ring,862,1,1,244,21,23,294,322,1,5,39757,244,0,2,0,19,19,LEADER,1,21,21,2,2,38,2,2,38,2,2,0,0,0,0
40770,2,ring,306,0,0,0,22,24,308,336,1,5,40464,281,0,2,0,20,20,NORMAL,0,0,22,2,2,40,2,2,40,2,2,0,0,0,0
41776,1,ring,1123,0,0,0,22,24,308,336,1,5,40653,260,0,2,0,20,20,NORMAL,0,0,22,2,2,40,2,2,40,2,2,0,0,0,0
41640,4,ring,839,0,0,0,22,24,308,336,1,5,40801,293,0,2,0,20,20,NORMAL,0,0,22,2,2,40,2,2,40,2,2,0,0,0,0
50197,3,ring,1297,0,0,0,26,28,364,392,1,5,48900,303,0,2,0,24,24,NORMAL,0,0,26,2,2,48,2,2,48,2,2,0,0,0,0
50619,5,ring,862,1,1,244,26,28,364,392,1,5,49757,244,0,2,0,24,24,LEADER,1,26,26,2,2,48,2,2,48,2,2,0,0,0,0
50770,2,ring,306,0,0,0,27,29,378,406,1,5,50464,281,0,2,0,25,25,NORMAL,0,0,27,2,2,50,2,2,50,2,2,0,0,0,0
51776,1,ring,1123,0,0,0,27,29,378,406,1,5,50653,260,0,2,0,25,25,NORMAL,0,0,27,2,2,50,2,2,50,2,2,0,0,0,0
51640,4,ring,839,0,0,0,27,29,378,406,1,5,50801,293,0,2,0,25,25,NORMAL,0,0,27,2,2,50,2,2,50,2,2,0,0,0,0
60197,3,ring,1297,0,0,0,31,33,434,462,1,5,58900,303,0,2,0,29,29,NORMAL,0,0,31,2,2,58,2,2,58,2,2,0,0,0,0
60619,5,ring,862,1,1,244,31,33,434,462,1,5,59757,244,0,2,0,29,29,LEADER,1,31,31,2,2,58,2,2,58,2,2,0,0,0,0
60770,2,ring,306,0,0,0,32,34,448,476,1,5,60464,281,0,2,0,30,30,NORMAL,0,0,32,2,2,60,2,2,60,2,2,0,0,0,0
61776,1,ring,1123,0,0,0,32,34,448,476,1,5,60653,260,0,2,0,30,30,NORMAL,0,0,32,2,2,60,2,2,60,2,2,0,0,0,0
61640,4,ring,839,0,0,0,32,34,448,476,1,5,60801,293,0,2,0,30,30,NORMAL,0,0,32,2,2,60,2,2,60,2,2,0,0,0,0
70197,3,ring,1297,0,0,0,36,38,504,532,1,5,68900,303,0,2,0,34,34,NORMAL,0,0,36,2,2,68,2,2,68,2,2,0,0,0,0
70619,5,ring,862,1,1,244,36,38,504,532,1,5,69757,244,0,2,0,34,34,LEADER,1,36,36,2,2,68,2,2,68,2,2,0,0,0,0
70770,2,ring,306,0,0,0,37,39,518,546,1,5,70464,281,0,2,0,35,35,NORMAL,0,0,37,2,2,70,2,2,70,2,2,0,0,0,0
71776,1,ring,1123,0,0,0,37,39,518,546,1,5,70653,260,0,2,0,35,35,NORMAL,0,0,37,2,2,70,2,2,70,2,2,0,0,0,0
71640,4,ring,839,0,0,0,37,39,518,546,1,5,70801,293,0,2,0,35,35,NORMAL,0,0,37,2,2,70,2,2,70,2,2,0,0,0,0
80197,3,ring,1297,0,0,0,41,43,574,602,1,5,78900,303,0,2,0,39,39,NORMAL,0,0,41,2,2,78,2,2,78,2,2,0,0,0,0
80619,5,ring,862,1,1,244,41,43,574,602,1,5,79757,244,0,2,0,39,39,LEADER,1,41,41,2,2,78,2,2,78,2,2,0,0,0,0
80770,2,ring,306,0,0,0,42,44,588,616,1,5,80464,281,0,2,0,40,40,NORMAL,0,0,42,2,2,80,2,2,80,2,2,0,0,0,0
81776,1,ring,1123,0,0,0,42,44,588,616,1,5,80653,260,0,2,0,40,40,NORMAL,0,0,42,2,2,80,2,2,80,2,2,0,0,0,0
81640,4,ring,839,0,0,0,42,44,588,616,1,5,80801,293,0,2,0,40,40,NORMAL,0,0,42,2,2,80,2,2,80,2,2,0,0,0,0
90197,3,ring,1297,0,0,0,46,48,644,672,1,5,88900,303,0,2,0,44,44,NORMAL,0,0,46,2,2,88,2,2,88,2,2,0,0,0,0
90619,5,ring,862,1,1,244,46,48,644,672,1,5,89757,244,0,2,0,44,44,LEADER,1,46,46,2,2,88,2,2,88,2,2,0,0,0,0
90770,2,ring,306,0,0,0,47,49,658,686,1,5,90464,281,0,2,0,45,45,NORMAL,0,0,47,2,2,90,2,2,90,2,2,0,0,0,0
91776,1,ring,1123,0,0,0,47,49,658,686,1,5,90653,260,0,2,0,45,45,NORMAL,0,0,47,2,2,90,2,2,90,2,2,0,0,0,0
91640,4,ring,839,0,0,0,47,49,658,686,1,5,90801,293,0,2,0,45,45,NORMAL,0,0,47,2,2,90,2,2,90,2,2,0,0,0,0
